mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
9.586139657060074e-9,1.1269467623399073e-6,0.0,0.0,0.0,0.0,0.0,0.0,378.81328078872355
1.428482508939564e-8,1.0706247816519093e-6,0.0,0.0,0.0,0.0,0.0,0.0,484.65656451979726
1.1363210950617451e-8,7.020363119543792e-7,0.0,0.0,0.0,0.0,0.0,0.0,366.21536499406955
1.0073915647558338e-8,1.1097884876736375e-6,0.0,0.0,0.0,0.0,0.0,0.0,368.0226197731363
1.1327722562475752e-8,1.116194279802955e-6,0.0,0.0,0.0,0.0,0.0,0.0,424.6606337923718
1.0238766342467803e-8,8.848508464605876e-7,0.0,0.0,0.0,0.0,0.0,0.0,389.56413527930806
7.043581850790599e-9,1.173726584783117e-6,0.0,0.0,0.0,0.0,0.0,0.0,357.5780465772954
7.1608283038748675e-9,1.119485165002446e-6,0.0,0.0,0.0,0.0,0.0,0.0,333.6577197200502
1.139898744163396e-8,1.0882311858303421e-6,0.0,0.0,0.0,0.0,0.0,0.0,432.4677371465484
1.2147403644761902e-8,1.0330958105653845e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.33787269274865
1.0867413798385135e-8,1.064525387834163e-6,0.0,0.0,0.0,0.0,0.0,0.0,405.2129712452904
1.1413851921582156e-8,8.397289057203506e-7,0.0,0.0,0.0,0.0,0.0,0.0,406.09997672996064
9.09674627699391e-9,9.461223088678349e-7,0.0,0.0,0.0,0.0,0.0,0.0,362.51694923545847
9.843648642286428e-9,1.2036552130780798e-6,0.0,0.0,0.0,0.0,0.0,0.0,426.90300966087773
9.16514500443694e-9,1.1954974859864848e-6,0.0,0.0,0.0,0.0,0.0,0.0,375.92285286220675
1.1174829539686158e-8,1.0965461859290845e-6,0.0,0.0,0.0,0.0,0.0,0.0,419.7171574616816
9.815034303734672e-9,1.1431710635341912e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.2871973278252
8.725385187063748e-9,8.167927146176601e-7,0.0,0.0,0.0,0.0,0.0,0.0,337.42488486819565
1.0894524611212403e-8,7.326320090161966e-7,0.0,0.0,0.0,0.0,0.0,0.0,366.7280974889708
1.130462196437288e-8,8.46641971501624e-7,0.0,0.0,0.0,0.0,0.0,0.0,425.0656376901594
9.855714227100942e-9,9.937215670304935e-7,0.0,0.0,0.0,0.0,0.0,0.0,394.5867581169042
8.233700829890105e-9,9.242430669140159e-7,0.0,0.0,0.0,0.0,0.0,0.0,374.79484909013263
1.04806607937323e-8,1.0380690290129478e-6,0.0,0.0,0.0,0.0,0.0,0.0,363.32365927058
6.31395416398711e-9,8.707478178282733e-7,0.0,0.0,0.0,0.0,0.0,0.0,337.2096713470262
9.401934388322401e-9,1.198116540446073e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.6130127099817
9.741215931015205e-9,8.930887332055804e-7,0.0,0.0,0.0,0.0,0.0,0.0,364.97305950290547
1.22732285038655e-8,1.017526281742617e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.44507051903963
9.506822488208069e-9,9.265251338181761e-7,0.0,0.0,0.0,0.0,0.0,0.0,368.8797645555618
9.17129011503628e-9,1.1866328562492953e-6,0.0,0.0,0.0,0.0,0.0,0.0,455.46143322562403
8.033667738322586e-9,6.494059240576483e-7,0.0,0.0,0.0,0.0,0.0,0.0,345.59586484870255
1.0348012881016632e-8,1.1139392725095585e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.9100848948376
8.557462953304239e-9,1.0045385280749295e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.3885633318645
9.64604694382117e-9,9.515004325863052e-7,0.0,0.0,0.0,0.0,0.0,0.0,384.0684168983088
9.43738196702199e-9,8.300866696361132e-7,0.0,0.0,0.0,0.0,0.0,0.0,368.4464683394584
9.762885217810334e-9,1.0237297475466313e-6,0.0,0.0,0.0,0.0,0.0,0.0,398.98253089428147
1.2433773018746941e-8,6.796115281861532e-7,0.0,0.0,0.0,0.0,0.0,0.0,410.85054938014093
8.243492818886325e-9,1.0255109210095273e-6,0.0,0.0,0.0,0.0,0.0,0.0,373.4344343981287
1.1156326481968062e-8,4.7468599085071784e-7,0.0,0.0,0.0,0.0,0.0,0.0,385.75642308895146
1.4167557971307993e-8,6.023962791065117e-7,0.0,0.0,0.0,0.0,0.0,0.0,431.4851549934192
7.943671633346002e-9,8.509446890352513e-7,0.0,0.0,0.0,0.0,0.0,0.0,336.1964716683569
1.2096344077407499e-8,9.095833296028222e-7,0.0,0.0,0.0,0.0,0.0,0.0,482.30556567396104
