1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
2,7,0,1,4,0,0,3,1,1,1,0,2,3,0,0,3,2,0,0,0,0,0,0,0,0,2
0,0,0,1,2,0,0,0,23,1,0,3,0,2,1,0,1,6,0,34,1,1,1,6,0,0,1
0,1,3,1,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,0,7
3,1,1,29,0,1,0,0,0,2,0,3,0,0,5,0,0,0,1,0,0,0,21,0,34,2,2
3,0,4,1,3,1,1,1,2,2,0,1,0,5,1,0,0,1,0,7,2,11,0,13,0,2,0
0,1,3,0,0,1,4,5,0,1,0,0,3,0,1,1,2,1,2,1,0,57,0,9,1,0,0
0,1,0,0,2,0,13,3,2,0,2,0,0,32,0,1,3,0,2,0,3,0,0,1,0,0,0
1,9,1,0,3,0,1,0,0,1,0,6,3,1,5,0,0,0,0,0,0,0,1,2,0,0,1
0,8,1,1,0,1,3,1,0,8,1,1,1,0,0,1,3,4,0,5,0,0,0,0,1,1,0
0,0,1,17,0,0,1,13,0,4,3,0,2,0,0,0,1,1,0,0,0,0,22,1,0,1,1
1,0,3,1,1,0,0,0,1,0,28,1,0,1,0,0,2,0,5,0,0,4,0,1,0,1,5
0,0,0,0,1,0,0,1,0,1,0,0,2905,0,0,1,0,0,5,123,0,8,0,0,1,0,6
0,0,20,4,0,2,0,0,0,2,1,1,22,0,0,1,1,0,1,0,1,1,0,1,2,1,2
0,2,14,3,0,0,0,1,3,0,0,0,1,1,0,11,32,0,1,3,1,0,1,2,0,2,0
0,0,0,3,3,0,0,0,1,9,37,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,13
1,1,3,0,0,0,645,1,2,4,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2
0,1,3,1,1,0,0,0,0,0,3,23,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0
2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,1,0,0,1299,1,0
55,1,0,2,2,4,1,1,9,2,14,0,0,1,0,3,4,1,0,0,0,3,0,0,0,1,0
1,5,0,2,0,0,1,5,1,1,0,7,12,0,0,1,0,0,0,4,0,1,13,1,0,0,0
0,11,1,32,1,12,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0
1,2,11,0,0,0,22,0,0,1,2,1,1,0,0,0,0,2,0,1,76,0,0,3,1,0,56
5,0,9,1,9,2,0,0,0,1,0,4,0,2,2,2,0,0,0,2,0,0,1,2,4,0,0
19,0,0,1,154,0,0,6,3,0,4,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
0,0,0,13,2,2,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,4
0,0,5,0,1,1,1,128,15,0,3,1,0,1,1,1,0,5,0,0,0,1,0,0,16,11,2
0,0,1,1,0,0,0,0,1,0,0,0,29,0,0,0,1,0,0,0,6,4,0,0,1,8,3
1,3,0,9,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,5,0,1,2,10
0,0,3,1,1,0,1,0,2,0,1,2,0,1,5,0,1,1,0,1,0,0,0,0,0,0,13
