1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6310011,6643316,7016684,7429716,7900814,8429879,9037812,9741707,10551866,11508626,12669697,14105731,15849671,18005017,20824913,24699920,29590424,37292573,45824601,60276265,82233791
6310103,6643856,7015532,7430715,7898277,8429725,9034005,9734756,10552950,11504014,12671764,14098312,15845888,18054262,20891743,24816844,29496510,36940148,46945447,61009129,83051037
6310160,6643048,7015930,7432513,7898299,8428663,9034981,9739445,10564538,11520257,12669506,14111405,15824303,17949159,20861150,24331342,29546116,36073612,45940517,61043371,81192504
6309359,6643722,7017198,7432676,7900449,8427645,9035803,9740599,10547771,11523024,12663136,14092264,15831072,17963257,20815701,24623372,29720845,36557341,46158533,60378213,82487368
6309825,6644486,7014236,7430532,7900162,8428340,9036855,9733979,10562242,11530798,12666757,14067753,15807152,17956217,20815938,24554835,29782720,36595018,45975687,60232911,84626248
6309324,6643767,7015327,7432202,7898082,8432666,9041733,9738989,10556932,11511811,12683735,14073162,15859892,18008447,20853346,24381983,29534978,36424607,46559098,60176100,82948149
6309626,6644257,7013813,7430813,7898991,8429464,9037093,9740727,10549756,11514209,12671900,14071436,15816562,18044918,20774670,24526508,29681155,37485032,47336245,59400082,82670984
6309028,6644084,7015612,7430803,7900603,8429237,9034926,9742569,10561018,11517717,12691327,14048767,15812535,18019751,20895259,24500449,29516491,36834003,45164980,60983121,80167370
6309502,6643308,7014927,7430534,7896846,8429543,9037967,9744720,10557631,11525620,12671802,14088012,15839112,17940350,20843327,24544225,29558763,36672891,45457978,62732299,82769559
6309501,6644354,7016623,7429722,7901663,8427500,9038980,9736078,10557106,11519144,12688316,14068974,15810498,17999855,20758943,24670511,29554854,37276766,45990709,60301796,83504025
6309997,6643664,7015581,7430474,7901660,8429235,9035479,9745599,10550160,11528787,12698515,14076490,15831463,18016712,20861010,24444165,29434514,36298382,45602454,61271768,82109427
6310054,6643778,7015220,7430394,7899809,8430482,9037486,9738455,10549733,11529146,12663065,14087921,15839410,17954330,20765103,24510765,29721947,36365885,46435280,60734967,84275434
6309956,6643219,7016171,7432382,7898512,8431799,9038415,9739556,10552410,11519111,12671704,14090525,15836248,17987172,20868073,24541754,29758770,37189004,46386656,59663801,85077154
6309503,6644326,7015790,7431307,7900901,8433235,9036144,9736353,10556128,11521450,12683822,14076431,15832182,18076299,20844542,24485725,29669127,36446172,46782645,61013397,83899992
6309987,6642742,7016081,7430730,7897414,8430727,9039970,9735451,10555626,11534481,12676378,14101492,15808676,17992679,20895796,24603872,29687251,36835684,45934033,61220380,81669616
