1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
464973,491022,520200,553426,590726,636625,683177,745838,809049,889746,985405,1096570,1242115,1398675,1616902,1875819,2197374,2647966,3145123,3841722,4641704
463346,490486,519724,553803,591136,635571,682687,741431,811986,891384,976703,1095942,1233143,1412327,1628347,1889347,2209819,2632346,3127945,3849428,4786106
463571,489638,519398,553179,591774,634663,686474,743678,811566,889310,981975,1101027,1232112,1410497,1615285,1872822,2229635,2608743,3184211,3832028,4758590
463006,490804,520518,554062,592082,634577,684632,740702,809264,892010,985946,1096585,1230200,1406423,1610085,1874533,2223793,2628770,3143482,3846633,4716392
462811,490444,520573,552748,591835,633850,683205,741478,811487,890021,987514,1098711,1232789,1402599,1622898,1859527,2193951,2640018,3148671,3826384,4749554
463561,490435,520319,553498,591916,634733,686351,745431,810400,893682,984047,1101601,1241958,1401566,1616820,1886419,2190787,2601409,3202214,3899579,4701187
464661,490044,520372,554251,592776,633847,684520,742751,810863,885397,988035,1094018,1235666,1408106,1615699,1889317,2179122,2633360,3143170,3812730,4704139
462928,489662,521152,554125,592515,635954,685889,743106,813220,883227,985401,1099324,1238840,1405221,1622183,1874634,2164228,2591202,3160984,3869020,4810674
463609,490173,518557,553717,590359,634870,684278,740161,811882,889576,985990,1096278,1239628,1412295,1612999,1872394,2185153,2622464,3167535,3856131,4782345
463153,489996,519456,552488,590961,634670,684218,742019,809334,885982,988522,1098457,1239139,1404571,1613753,1869106,2214769,2624075,3121540,3835044,4718397
463537,489693,519824,552330,590403,633755,685109,740184,811767,885915,985573,1101046,1234578,1397571,1620909,1886962,2181660,2601294,3188798,3843981,4661327
463859,488756,518795,554461,590839,633829,686159,743746,812159,890581,985267,1099588,1240076,1397165,1605530,1872726,2210505,2610550,3137824,3832719,4699288
464287,491555,520458,551347,591511,634626,682959,743058,809313,891244,983948,1096582,1241860,1409995,1607909,1884289,2210485,2622298,3124986,3883649,4787055
465031,489355,520398,554684,591790,634638,684972,741789,808784,889725,981349,1097925,1238312,1408676,1620605,1902488,2199575,2582782,3160697,3847919,4736559
464316,489489,518649,552901,590291,632142,684564,744637,808301,887503,986111,1100334,1235590,1408350,1618006,1862800,2214156,2652485,3176921,3852823,4733104
463423,490533,519199,555806,592543,633739,684881,742219,809904,888393,986712,1103085,1238306,1406351,1614761,1868510,2191245,2601936,3143545,3825641,4648610
464091,489621,520495,552884,592165,635707,684207,743671,808889,890098,982195,1098191,1242807,1393576,1618443,1865014,2206039,2620813,3203414,3857584,4768015
463807,489461,520711,552660,590300,637652,686232,744265,806463,887510,981905,1104238,1242994,1406267,1622937,1890816,2189827,2621230,3152712,3833518,4767133
463417,490658,520992,554129,591245,633216,684097,742048,807094,891376,989003,1097741,1239578,1412057,1624445,1881041,2209337,2612280,3121715,3820969,4754240
463361,489670,520296,552778,591777,636018,685327,741677,812802,891912,991064,1097399,1229840,1397021,1605458,1870744,2190641,2599966,3162957,3876616,4800291
463744,490382,520212,553114,592205,635518,684839,742343,812391,895184,984935,1093232,1237049,1407687,1622156,1883404,2191144,2608257,3148468,3836926,4740353
463719,490653,520399,552477,590584,634187,683141,741784,807633,886980,979736,1094252,1246337,1401152,1625189,1874753,2215616,2632891,3133285,3871894,4774717
463650,489992,520333,553554,592510,635714,682665,743580,809122,892710,986324,1101071,1238132,1398914,1612980,1874180,2190720,2618736,3172380,3827626,4790052
462425,490479,519183,552141,591224,632786,684277,744440,813627,894962,983531,1105718,1239220,1422152,1608691,1878820,2219532,2594492,3125379,3926732,4742402
462863,489705,519805,553856,591288,633411,685436,742735,808874,892633,987529,1097325,1250479,1406141,1617883,1884804,2211831,2610828,3165999,3909796,4821213
464217,489349,521454,553547,591965,635015,683646,741970,810195,891064,979349,1096270,1239326,1414488,1621739,1887265,2197196,2635764,3167960,3859954,4808258
463385,491055,519682,552903,593368,633068,684251,744161,810599,887864,981833,1097223,1238870,1429327,1599803,1885159,2215380,2632403,3154808,3879916,4675887
464422,489247,520673,552173,591163,634481,685507,743723,811003,890855,982795,1095221,1231060,1413728,1617176,1870531,2193537,2665038,3165370,3880769,4713334
463005,490595,520047,552930,590472,635003,683409,742188,809130,889138,980111,1096956,1230277,1400644,1617315,1886813,2206223,2624200,3172010,3817488,4757507
464362,489434,520866,553579,590794,633637,686495,743873,812477,890065,984999,1092725,1239436,1402153,1619734,1859788,2209861,2629815,3121713,3835841,4782184
464262,489958,520665,553658,591269,634143,685510,739955,809988,888254,979320,1098337,1236523,1426014,1612304,1870379,2205359,2610455,3162320,3774594,4732784
463486,489312,519113,553542,591276,634874,686261,742965,811470,891075,992305,1095838,1237670,1402905,1612384,1872850,2189257,2634166,3157793,3831339,4691148
464792,490431,519143,553478,592709,634445,684947,742595,810716,888271,990320,1097775,1235393,1405512,1617750,1881434,2203683,2603810,3166280,3837061,4742722
463588,491050,519608,553387,591454,633712,684098,744443,810857,886381,990767,1098983,1240601,1410034,1606262,1880671,2207497,2616249,3153631,3801847,4740253
