1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2,0,2,0,0,0,5,4,1,0,3,0,4,1,1,0,1,0,0,0,0,1,3,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,2,0,0,1,7,0,1,3,13,1,2,1,0,0,0,1,0,3,5,10,0,0,1,0,1,0,0,0,0,0,0,1,9,0,1,0,1,0,1,1,15,0,2,5,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
11,0,5,0,0,0,0,4,5,0,0,2,0,0,2,0,0,23,3,0,0,1,3,1,3,0,0,2,0,7,0,0,5,0,0,0,9,0,0,0,1,1,0,13,0,1,2,0,0,0,2,0,0,2,0,0,5,0,0,0,0,1,2,0,2,2,0,1,1,8,0,0,2,0,1,0,0,1,0,1,2,1,4,1,54,0,0,1,0,0,2,3,1,2,245,0,0,5,0,0
0,1,0,0,1,3,0,4,0,0,1,0,1,1,2,0,3,0,1,5,0,3,1,0,4,6,1,0,0,0,0,2,1,1,0,0,0,1,15,1,0,1,0,31,2,4,4,1,0,0,0,0,4,1,7,0,5,0,0,2,2,0,3,1,4,2,11,5,78,0,0,1,0,2,0,0,5,2,11,1,5,0,10,0,3,1,0,0,1,1,2,10,0,1,1,1,1,1,1,2
0,2,0,2,2,0,0,4,1,0,1,1,1,3,15,2,1,50,3,0,1,1,15,0,1,0,0,0,1,0,2,0,0,3,0,6,1,0,3,0,1,0,0,1,0,2,0,2,1,0,0,1,0,0,1,1,1,4,1,0,1,69,0,0,3,0,2,1,2,0,1,1,3,0,0,0,0,1,0,0,3,0,1,0,0,2,0,1,3,0,5,1,0,2,1,2,0,1,5,0
0,0,1,2,0,0,0,2,1,1,0,2,4,2,2,0,0,4,0,52,1,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,1,1,0,1,0,0,37,2,3,3,1,1,10,0,0,0,2,9,7,1,2,0,1,0,0,3,3,6,0,6,0,2,0,0,1,3,0,3,2,0,1,0,1,0,0,1,0,0,1,0,3,0,67,2,1,0,0,0,0,0,1,1,0
0,1,0,7,0,0,0,1,0,0,3,1,0,0,5,0,1,1,0,48,61,0,0,2,0,20,0,1,0,1,1,0,0,2,4,8,1,2,3,0,1,0,0,0,0,1,1,6,0,0,1,2,7,1,1,1,0,1,1,0,1,0,0,1,0,2,3,0,1,0,0,0,27,2,4,2,0,2,1,2,0,0,0,1,1,3,0,0,1,3,1,0,0,1,2,1,0,12,0,0
0,0,1,0,8,1,0,0,0,0,2,3,0,2,3,0,0,1,0,2,0,0,1,1,0,1,18,0,0,19,1,0,0,0,1,0,15,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,15,24,20,0,0,2,0,0,0,0,6,0,0,0,1,1,3,0,0,3,0,3,0,3,0,0,1,0,11,0,1,0,0,0,0,0,0,5,2,0,0,1,1,9
1,0,2,0,0,0,3,7,2,2,1,0,0,0,0,1,2,1,0,1,0,2,69,11,4,1,1,0,1,1,1,1,0,5,0,1,4,1,0,1,3,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,2,0,0,11,0,4,1,1,0,5,2,0,1,1,0,0,5,0,0,0,1,0,1,0,0,1,0,2,2,1,0,0,2,0,8,4,0,0,0,3
0,0,4,0,0,2,62,0,2,0,4,2,1,3,2,1,0,0,0,1,0,0,0,0,0,10,0,0,13,0,1,0,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,1,3,0,1,0,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,9,0,1,10,2,0,0,4,3,0,0,0,5,0,0,17,2,2,0
1,1,4,1,0,1,2,0,3,0,1,8,0,0,1,8,0,0,2,1,0,1,17,0,1,1,0,1,19,0,3,0,2,0,2,3,0,0,9,0,0,0,3,2,0,0,3,0,0,0,2,1,1,4,0,0,3,0,0,0,1,0,0,3,0,3,2,0,1,1,5,0,9,1,1,0,1,0,0,13,1,0,2,0,1,0,0,56,0,2,2,3,4,0,2,1,0,17,2,0
