1,2,3
2212173,1111606,989340
2217901,1111955,989520
2240284,1118760,995094
2231685,1136107,999172
2237828,1127675,982952
2221375,1108534,990771
2227481,1114010,992806
2213320,1120009,976584
2214893,1117556,992501
2249219,1105677,989264
2214098,1111322,999764
2237084,1138702,1000750
2230967,1116016,991919
2209382,1115870,1007292
2232235,1116654,996639
2223921,1110094,989640
2234173,1117755,985008
2240180,1121015,984795
2221465,1104393,985121
2220973,1115014,989759
2240435,1115252,990029
2228399,1142542,978891
2233031,1097644,988702
2239876,1120274,983143
2244185,1114997,988228
2245462,1110592,989326
2243794,1104170,992423
2231857,1115510,988333
2225478,1134419,982582
2227091,1120359,985852
2249612,1127022,988641
2231721,1105719,982673
2233869,1106898,1000044
2252987,1109274,981623
2231193,1105647,992547
2235293,1109360,991511
2240293,1110208,991537
2224646,1111955,986182
2219815,1123553,993721
2238916,1104414,994156
2253687,1116991,981868
2238123,1106963,987089
2252523,1105519,985543
2225106,1099419,995923
2223782,1110388,989967
2228730,1132086,991736
2225844,1103336,991507
2237113,1134041,978573
2233610,1108193,986752
2211910,1119750,984279
2222574,1120167,978630
2227800,1121355,989671
2212269,1110663,975175
2224845,1122569,989532
2221134,1114585,985422
2239542,1109802,976912
2228520,1101077,988181
2249623,1130516,982459
2222999,1115885,986821
2231443,1120620,983624
2221845,1119414,988721
2210811,1114049,986974
2226241,1112241,993212
2220703,1116219,985315
2228314,1114476,988530
2240143,1120881,996458
2237611,1109740,991156
2221694,1108382,980652
2233964,1128764,991458
2226946,1119325,989817
2228671,1108986,988693
2216824,1107873,1001314
2226333,1126564,990398
2241995,1111194,989034
2245257,1118904,992090
2240843,1121727,981960
2242124,1126871,991142
2237638,1125615,998449
2229232,1116606,983048
2230537,1129026,975481
2235017,1109083,988571
2235658,1128602,995449
2226020,1121129,988896
2234422,1118727,992409
2226983,1104974,990124
2222342,1121034,992912
2233085,1116765,998502
2230638,1105687,991980
2226257,1114422,997153
2231642,1115009,995632
2226549,1105143,987076
2225325,1116682,988384
2237740,1117455,989148
2233958,1116551,982859
2246529,1118209,977200
2239711,1130583,990129
2238874,1106265,984862
2224063,1111998,989924
2235999,1129925,982571
2239154,1108640,999028
