1,2
696985,365721
703181,362946
693332,356198
689334,357282
709658,364422
703520,370473
691149,359358
693091,360346
687600,363839
692274,362729
694630,368213
698143,359751
688181,366628
696323,364288
695281,365387
685181,361417
689144,359373
691136,364485
690381,372241
686092,362872
701208,363468
691193,373931
683652,366122
684524,367790
695061,368739
703453,362549
697593,366849
687630,362992
692520,372266
695237,364868
689027,363187
682270,368845
695070,350662
693053,364022
690230,364761
691046,378795
690369,368992
693990,371832
703212,364919
698428,364992
692487,364846
679788,366811
686737,364773
703329,366473
700614,367295
696454,368756
698989,363440
693056,367486
691144,368647
688441,368142
687485,370277
695599,367826
693775,367404
697810,365458
687947,368638
684331,368407
698378,361747
695003,360380
689746,372470
704954,362568
698540,359044
682183,364002
698116,365428
697497,375839
694539,367959
697272,363384
687902,368658
691592,365719
703206,372725
689817,357784
696703,361763
692445,359970
701322,363839
699807,359739
692330,360314
688153,369218
693735,370062
699125,360760
689944,364254
698275,363350
694392,363676
690529,358936
688598,371962
685179,372287
699781,364570
695984,370143
696155,365042
699138,365231
691983,358306
695420,367248
697981,369580
693170,371626
697623,367818
692748,358818
700472,360772
701577,363182
688189,363718
705621,370760
701155,368061
703123,366521
