1,2,3
44463878,47099637,47012060
44570585,48247090,46883178
44761269,48431212,46047745
44132355,48157855,46218006
44538816,46845324,45699385
44246490,47812372,47530490
44463755,47724766,46083552
44180753,47928517,46333455
43506963,47466277,46336972
44923365,47771993,45678410
44671627,48096625,46193958
44317332,46794278,47174057
44590340,47062492,46138554
44012732,48067525,46311589
44853806,47681434,46414453
44449079,47607984,46901547
45077051,48252258,46735651
44523635,47809215,45771888
44716639,48222216,46917798
44282259,46714106,45892994
45026018,47519385,46820506
43647024,47952703,46754000
43699695,46982677,46544204
44359191,47312885,46682154
44281931,47070232,46427907
44688993,47523433,47667084
44318261,46841174,46660373
44583610,47672371,46599397
44815797,46997265,46734974
44364857,47189381,46554480
44188972,47712342,45888756
44146991,46590119,46665818
44765283,47063179,45689363
44531703,48287850,46299831
45175253,47400210,46571874
44258190,46973308,46753110
44531649,46934406,45945369
44051355,46852427,46927396
44951038,47018498,45710063
44813476,47730112,46841566
45189178,49088496,46355680
44024228,47655109,46216268
44356733,47283963,46354896
45106704,48187719,46201501
45085706,47323654,46441615
44608962,46776023,46095988
44188248,48002451,47014751
45492904,47331521,46762602
44996911,48494835,45908482
44479619,47126217,46664759
45260458,47159339,46812010
44543431,47693756,46684506
45376271,47361181,45468995
45541521,48001534,46263643
44015818,47027562,45631650
44452232,47349495,45576075
44535485,48033002,46064801
43868248,46965288,46888920
44701867,47371441,45610399
44976773,46774318,46044970
44918750,47581048,46851651
44125174,48111621,46613910
45292336,48702507,46314852
44590873,47286611,46419390
44689444,47451613,46141562
44644827,48084939,46545327
44688065,47027104,45660761
44512644,46704941,46356358
44403684,46924553,46255549
44310479,46686050,46321103
46012858,47881926,45659151
44525751,46643457,46942608
44697976,47577535,46364261
44173968,47810284,46738448
44864059,47292059,46430280
43897820,47799667,46788302
44623502,48473449,47072253
43825516,48081961,46502274
45265523,47526005,46803514
45040721,47441862,46710841
44275979,47523688,47276836
44200617,47963498,47031976
45104997,48219008,46548018
43907554,48694869,45811211
44776164,47841752,46075225
44613017,47890990,46880996
44312827,48117018,46218684
44884264,46985961,46276482
43717443,47147246,45865111
44325428,48174658,46513376
44787932,47335798,46180547
44534857,47269553,47031594
44874093,47086373,46339196
44760068,47108548,46631728
44758266,47205319,46922862
44067110,47669010,46301801
44750702,46867957,46663551
44782294,47855576,46643169
44380953,46216682,45621204
45084955,46832238,46428204
