1,2
1998905,1979627
1999036,1979021
1999069,1979500
1999421,1979392
1998685,1979303
1999373,1979104
1999189,1979703
1999435,1979183
1998893,1979307
1999402,1979157
1999260,1979400
1998537,1979424
1998947,1979683
1998969,1979583
1999270,1979119
1999433,1979463
1999153,1979113
1999925,1979460
1999197,1979399
1999365,1979361
1999270,1979207
1998763,1979267
1999453,1979216
1999239,1979498
1998916,1979626
1999724,1979214
1998922,1979307
1999450,1979356
1999119,1979807
1999901,1979306
1999698,1979308
1999112,1979385
1999663,1979226
1999156,1978841
1999775,1979467
1999720,1979613
1999369,1979488
1999191,1979375
1999177,1979435
1999307,1979287
1999225,1979354
1999143,1979706
1998854,1979550
1998773,1979621
1998590,1979458
1999696,1979065
1999224,1979538
1998776,1979116
1998777,1979248
1999429,1979266
1998909,1979267
1999697,1979415
1998503,1979145
1998970,1978933
1999506,1979237
1999211,1978986
1999257,1979024
1999193,1979253
1999548,1979083
1999209,1979504
1999612,1978934
1999618,1979371
1999543,1979256
1999628,1979544
1998961,1979233
1999210,1979324
1999322,1979322
1999225,1979023
1999137,1979078
1999600,1979683
1999184,1979450
1999753,1979254
1999579,1979115
1998927,1979044
1998633,1979538
1999194,1979443
1999325,1979338
1998988,1979221
1998987,1979812
1999648,1979227
1999215,1979557
1999333,1979594
1999246,1979526
1999625,1979415
1999616,1979715
1999196,1979589
1999291,1979659
1999234,1979339
1999206,1979283
1999487,1979808
1999831,1979344
1998810,1979295
1999879,1979349
1998862,1979268
1999490,1979360
1999119,1979264
1999005,1979578
1999990,1979131
1999142,1979421
1998421,1979263
