1,2,3
445171,221415,247608
445583,221807,248526
445461,221311,247581
446021,222107,247661
445414,221360,248055
447531,222107,248042
444681,222088,247706
445759,221281,248193
446007,222295,247121
446010,222638,247792
445865,222241,248369
445732,221286,247609
446226,221601,248169
446143,222109,247548
445702,221618,248401
444664,222224,247247
446766,222076,248126
445487,222267,246969
446215,221465,246868
446161,221778,247229
445901,222274,247336
445889,221857,247885
445951,221897,247581
447366,222987,247519
446178,221849,247463
445841,221742,247164
447223,221301,247901
446284,221788,247737
445356,221521,247508
445329,221272,248635
445637,222401,248335
446043,221976,247506
444711,221899,248364
446460,221747,247969
446299,221540,247393
447053,221931,247311
447271,221448,248157
446258,221835,247841
446744,222104,247629
446319,221483,246317
444856,221839,247781
445122,221963,247544
446109,221441,248282
445854,221727,248590
445078,221641,248124
446159,221389,246846
446308,222139,247143
446739,222794,246976
445937,222834,248023
445529,221973,248245
445875,221880,246974
445935,222212,246611
444993,221923,247204
444897,222734,247622
444813,221716,246170
445418,222035,247263
445972,221540,247786
446722,222496,247779
445398,222032,247189
445100,221596,248555
445173,222469,247729
447015,222637,247818
445505,222405,248330
445678,222095,247344
445383,222395,247143
445997,221781,247255
446187,221674,248072
446121,221536,247613
446404,221658,248847
445107,222452,248097
445540,221741,247665
445462,223503,246964
445967,222519,247244
445598,222021,248298
445715,222124,247367
445278,222461,248498
446578,220916,247719
445910,222005,249688
446616,221964,248053
444766,222586,248006
446032,220981,248847
445380,221929,247054
446254,221397,246954
446783,221573,247913
447224,221319,248169
446228,222715,247885
445756,222174,247266
445428,222501,247917
446372,221723,248291
446394,221005,247291
446665,221295,247261
446308,221414,247890
445945,222320,247321
445889,221526,247427
446158,221645,247915
445043,221878,248467
445880,221667,248176
446175,221377,247399
444661,222384,247544
444752,221958,248507
