1,2,3
4828897,5395731,4973581
4748334,5243138,4905052
4813531,5348586,4777936
4739485,5335079,4805249
4808606,5195862,4844421
4799984,5294177,4865908
4813644,5281195,4892176
4766476,5336450,4801153
4741408,5178941,4870023
4790560,5281530,4844792
4790717,5364004,4846949
4782599,5244276,4809706
4773358,5268154,4856776
4755808,5311506,4841399
4835171,5295213,4799423
4751432,5212505,4806836
4793580,5313709,4881275
4784348,5209982,4932603
4766032,5320113,4896205
4686522,5312542,4874670
4767189,5324401,4821300
4775412,5198473,4813498
4799331,5289072,4797105
4768112,5241810,4882511
4701027,5256106,4847748
4762204,5347828,4958480
4751771,5147433,4895530
4718690,5368030,4854333
4726843,5216313,4854733
4747055,5300056,4776787
4742522,5238280,4839831
4816437,5173967,4728975
4828245,5308078,4799110
4888108,5258702,4828323
4701923,5294411,4848014
4770235,5305701,4821889
4818560,5355705,4876353
4809242,5231264,4829634
4739398,5335604,4856814
4713661,5285921,4777803
4729296,5254238,4791184
4737510,5325058,4930683
4759367,5268694,4779609
4702662,5369081,4724233
4831638,5403258,4826964
4808076,5312732,4903998
4761777,5366703,4922444
4747116,5263851,4782707
4766441,5357863,4864464
4901055,5265164,4922881
4774603,5315357,4892337
4738154,5173690,4832381
4699286,5351985,4792571
4702976,5273245,4918433
4722014,5315955,4813184
4767146,5297474,4832590
4798035,5392536,4855227
4777744,5294556,4895530
4742713,5211382,4921807
4737493,5269336,4785796
4745898,5236034,4791878
4790987,5206685,4863561
4763465,5281997,4798302
4799453,5205299,4884022
4798261,5188072,4800497
4817316,5357951,4836078
4749961,5248535,4817926
4775307,5209821,4802084
4775473,5237493,4803339
4785140,5391851,4871496
4759794,5368877,4862316
4691621,5246712,4826156
4745393,5266010,4784560
4831412,5207969,4836410
4802072,5099078,4881266
4767007,5299399,4880391
4762473,5218384,4846218
4822371,5334116,4861565
4783486,5340418,4927442
4816890,5216954,4902781
4770713,5315868,4910583
4703889,5226319,4803538
4757888,5264785,4901726
4709667,5358680,4883471
4763404,5391530,4889353
4765910,5279109,4838368
4635055,5377789,4782755
4853904,5400676,4805420
4808441,5190056,4814657
4807554,5315241,4833920
4769687,5387766,4830328
4860030,5285104,4792781
4739616,5236413,4890788
4751710,5225021,4888564
4756722,5245676,4868883
4808258,5361350,4854733
4720891,5369285,4955629
4761499,5196693,4819817
4782468,5269044,4771360
4776465,5202499,4852575
