1,2,3
10088210,10020884,10056843
10083310,10023196,10063903
10085398,10023907,10053811
10088492,10028989,10049079
10079304,10015663,10050190
10082240,10035457,10050707
10077352,10011315,10063892
10093669,10021956,10047138
10087861,10029706,10049726
10083293,10019342,10054030
10101268,10030717,10074735
10079133,10027183,10049861
10100100,10020282,10062175
10081094,10031175,10042718
10089280,10019005,10045781
10085530,10006528,10063605
10095280,10026020,10045651
10089698,10022907,10043464
10095084,10031109,10042071
10081844,10014296,10053613
10089877,10013315,10052721
10100300,10025864,10064873
10097773,10023985,10047571
10099725,10022335,10062097
10102469,10021751,10067764
10090073,10033198,10044931
10089642,10019421,10060433
10084737,10004113,10068766
10093840,10030139,10059786
10086501,10038991,10044555
10086310,10034240,10059165
10074390,10038799,10054385
10086889,10031374,10054907
10097858,10030808,10057813
10104106,10022522,10066459
10096367,10017831,10060610
10107187,10043779,10071181
10079977,10023371,10060788
10104864,10021137,10065249
10080015,10023269,10049267
10088274,10024768,10056587
10089523,10004980,10053076
10090533,9995556,10060970
10103121,10020739,10058800
10085398,10017367,10057944
10086284,10038239,10052883
10088244,10024870,10054813
10096712,10031488,10057490
10088185,10029519,10059692
10089987,10008949,10076446
10068765,10032795,10047837
10105427,10023058,10059186
10088283,10028532,10048625
10112156,10030242,10042530
10083987,10013182,10071061
10080182,10019258,10063016
10106019,10030127,10055486
10097939,10031193,10051500
10084818,10035836,10046684
10095723,10027833,10058168
10084375,10032638,10065186
10095097,10038479,10047373
10091539,10013128,10047920
10104673,10015759,10058335
10091675,10035535,10035079
10111384,10025683,10053733
10088607,10030446,10049423
10083864,10040304,10067247
10094667,10028706,10062588
10092953,10022630,10055737
10082402,10003884,10049741
10088415,10030254,10037777
10082061,10021679,10036353
10079257,10016518,10057610
10097454,10017361,10039494
10078213,10028465,10041393
10083514,10021570,10072788
10097351,10013333,10056885
10091794,10020529,10055935
10077369,10022522,10069026
10090281,10011966,10041054
10089357,10004734,10055585
10089301,10028977,10052966
10081349,10027568,10063026
10085943,10032903,10061309
10086007,10033451,10056645
10106198,10018764,10058862
10103347,10028363,10074469
10077518,10032229,10053430
10090648,10018788,10055570
10085572,10018812,10054208
10099393,10023654,10059092
10089685,10032572,10067503
10078422,10020727,10048854
10077429,10020751,10058466
10085419,10017638,10052173
10073265,10010364,10064294
10081098,10036739,10056796
10089472,10025111,10054719
10081324,10013688,10052987
