assay_ID,calib,block,date,plate_ID,stock_number,External_Treatment,genotype,Selective_marker,stock,coculture_strain,coculture_ID,Media,LB_perc,GlcMedia,Mut_to_WT_ratio,glucose,N0_ul,N0_CFU,N0,N0_coculture,N0_gen_to_co_ratio,LUM_gross1,LUM_gross2,LUM_gross3,LUM_background1,LUM_background2,LUM_background3,Nt1_CFU,Nt2_CFU,Nt3_CFU,Nt1,Nt2,Nt3,environment,CI_range_coculture_strain,CI_range_genotype,fluctuation_volume_t0,culture_volume_final,coculture,culture_volume_initial,D_coculture_strain,D_genotype,D_total,generation_time,generations,generations_coculture_strain,genotype2,incubation_mins,LUM,LUM_background,LUM_CV,LUM_per_cell,LUM_SD,LUM1,LUM2,LUM3,m_coculture_strain,m_genotype,m_lower_genotype,m_upper_genotype,m_lower_coculture_strain,m_upper_coculture_strain,mut_fitness_genotype,mutation_rate_coculture_strain,mutation_rate_genotype,mutation_rate_genotype_lower,mutation_rate_genotype_upper,Mutations_per_generation,N_cultures,Nt_genotype,Nt_coculture_strain,Nt_CV,Nt_dilution,Nt_N0_ratio,Nt_SD,Nt_total,sd_m_coculture_strain,sd_m_genotype,Sel_CFU1,Sel_CFU10,Sel_CFU11,Sel_CFU12,Sel_CFU13,Sel_CFU14,Sel_CFU15,Sel_CFU16,Sel_CFU17,Sel_CFU18,Sel_CFU2,Sel_CFU3,Sel_CFU4,Sel_CFU5,Sel_CFU6,Sel_CFU7,Sel_CFU8,Sel_CFU9,strain,Treatment,Weight0,Weight24,Abs_670_res,Abs_670_res1,Abs_670_res2,Abs_670_res3,Abs_670_res4,Layout,Layout_num,Oxygen,Notes,w_relative,GF_mutrate,GF_mutrate_low,GF_mutrate_up,GF_m,GF_m_low,GF_m_up,p0_mutrate,p0_mutrate_low,p0_mutrate_up,p0_m_genotype,p0_m_lower_genotype,p0_m_upper_genotype,Experimentor,N0_rep1,Difference_N0,N0_rep2,N0_rep3,N0_mean_of_3
RG3_1100nudJ1243750000,y,RG3,30/11/20,RG3_1,1,Control,nudJ1,rif,nudJ11,none,nudJ1,DM,,y,,100,10,55,5500,,,1664940,1200860,1056540,41878,36204.8,37772.4,52,192,76,1.18828125e+8,438750000,173671875,100,,23.809427692,1000,914.0625,n,1000,0,2.66666666666667e+8,266666666.666667,93.2907672417209,15.4356110746618,,nudJ1_none,1440,1268828.26666667,38618.4,0.202915165450234,0.04758106,257464.497658601,1623062,1164655.2,1018767.6,,6.131221,3.229447,9.032995,,,3.233478294,,25.153727179,13.249013333,37.058441026,0.397212716123994,16,2.4375e+8,0e+0,0.573094669317382,100000,44318.1818181818,1.39691825646112e+8,2.4375e+8,,0.542192359288494,7,8,8,8,8,8,12,6,11,8,5,30,7,9,8,3,,,keio,nudJ1_none+Controly,221.1,212.85,,,,,,RG3A,A,+,,,30.560043971,18.475364496,42.644723446,7.449010718,4.503370096,10.39465134,,,,,,,RG,,,,,
RG3_1100nudJ2153105468.75,y,RG3,30/11/20,RG3_1,1,Control,nudJ2,rif,nudJ21,none,nudJ2,DM,,y,,100,10,56,5600,,,1415890,1404000,923992,43301.8,40872,46099.8,71,89,41,1.6224609375e+8,203378906.25,93691406.25,100,,35.278785559,1000,914.0625,n,1000,0,1.675e+8,167500000,97.7017066942253,14.7387394624204,,nudJ2_none,1440,1204536.13333333,43424.533333,0.191778744556081,0.071912605,231004.427423103,1372588.2,1363128,877892.2,,6.103793,3.403106,8.804481,,,3.172932287,,39.86659033,22.227200816,57.505986376,0.414132634311296,16,1.5310546875e+8,0e+0,0.295507311540647,100000,27340.2622767857,4.5243785452483e+7,1.5310546875e+8,,0.541427154469391,4,6,8,8,4,10,5,6,3,10,12,17,10,20,13,6,,,keio,nudJ2_none+Controly,221.1,212.85,,,,,,RG3A,A,+,,,42.668912589,25.205844876,60.131980302,6.532843863,3.859152695,9.206535031,,,,,,,RG,,,,,
RG3_1100nudJ1_MG304687500,n,RG3,30/11/20,RG3_1,1,Control,nudJ1,rif,nudJ11,MG1655,nudJ1_MG,DM,,y,,100,10,55,2750,,,1592110,1857730,1317890,54817.9,44958.8,55127.5,121,104,88,2.7650390625e+8,237656250,201093750,100,2.960621,16.131229622,1000,914.0625,y,500,72500000,2.60833333333333e+8,333333333.333333,87.7850631042027,16.403701826707,14.5830986869843,nudJ1_MG1655,1440,1537608.6,51634.733333,0.146032106639939,0.046128258,224540.223045687,1537292.1,1812771.2,1262762.5,3.040774,4.864109,2.941122,6.787097,1.560463,4.521084,5.780253177,45.88494807,20.401604063,12.335991349,28.467220972,0.296525080215778,17,2.3841796875e+8,6.626953125e+7,0.129146216814107,100000,86697.4431818182,3.07907786845665e+7,3.046875e+8,0.4217466418,0.489009917495292,7,10,1,3,5,3,5,9,5,6,6,4,5,6,8,3,14,,keio,nudJ1_MG1655+Controly,221.1,212.85,,,,,,RG3A,A,+,,1.1248433669,21.27322364,12.119032979,30.427414297,5.071918769,2.889395226,7.254442311,,,,,,,RG,,,,,
RG3_1100nudJ1_MG304687500,n,RG3,30/11/20,RG3_1,1,Control,MG1655,rif,MG16551,nudJ1,nudJ1_MG,DM,,y,,100,10,54,2700,,,1592110,1857730,1317890,54817.9,44958.8,55127.5,18,31,38,4.11328125e+7,70839843.75,86835937.5,100,3.845975,44.67544804,1000,914.0625,y,500,260833333.333333,7.25e+7,333333333.333333,98.7444459444841,14.5830986869843,16.403701826707,MG1655_nudJ1,1440,1537608.6,51634.733333,0.146032106639939,0.046128258,224540.223045687,1537292.1,1812771.2,1262762.5,4.864109,3.040774,1.560463,4.521084,2.941122,6.787097,7.244106602,20.401604063,45.88494807,23.547216505,68.222664545,0.208513572133606,17,6.626953125e+7,2.3841796875e+8,0.285742595279449,100000,24544.2708333333,1.89360278473276e+7,3.046875e+8,0.4890099175,0.421746641757815,3,4,2,3,1,6,3,2,3,2,5,4,1,10,6,1,4,,MG1655,MG1655_nudJ1+Controly,221.1,212.85,,,,,,RG3A,A,+,,0.8890126656,20.811044729,8.9138787744,32.708210683,1.379138179,0.590718568,2.16755779,,,,,,,RG,,,,,
RG3_1100nudJ1_MG304687500,y,RG3,30/11/20,RG3_1,1,Control,combined,rif,combined1,combined,nudJ1_MG,DM,,y,,100,20,109,5450,,,1592110,1857730,1317890,54817.9,44958.8,55127.5,139,135,126,3.1763671875e+8,308496093.75,287929687.5,100,,19.122353231,1000,914.0625,y,1000,0,3.33333333333333e+8,333333333.333333,91.308481595872,15.7707145582969,,combined_combined,1440,1537608.6,51634.733333,0.146032106639939,0.046128258,224540.223045687,1537292.1,1812771.2,1262762.5,,7.366165,4.452994,10.279336,,,4.580701068,,24.176131282,14.614954667,33.737307897,0.467078709260178,17,3.046875e+8,0e+0,0.0407737660757502,100000,55905.9633027523,1.24232568512051e+7,3.046875e+8,,0.557304670216879,10,14,3,6,6,9,8,11,8,8,11,8,6,16,14,4,18,,combined,combined_combined+Controly,221.1,212.85,,,,,,RG3A,A,+,,,24.338315776,15.079111752,33.597519787,7.415580588,4.594416862,10.23674431,,,,,,,RG,,,,,
RG3_1500nudJ2487500000,y,RG3,30/11/20,RG3_1,1,Control,nudJ2,rif,nudJ21,none,nudJ2,DM,,y,,500,10,78,7800,,,4059550,5147690,5299980,60104.9,75607.4,63575.4,222,333,85,5.073046875e+8,760957031.25,194238281.25,500,,7.1089271795,1000,914.0625,n,1000,0,5.33333333333333e+8,533333333.333333,90.3865801872568,15.9315685693242,,nudJ2_none,1440,4769310.76666667,66429.233333,0.115005105029522,0.0894245769,548495.085638928,3999445.1,5072082.6,5236404.6,,4.36585,2.633049,6.098651,,,3.778702418,,8.9555897436,5.4011261538,12.510053333,0.274037674382316,16,4.875e+8,0e+0,0.475457222379154,100000,62500,2.31785395909837e+8,4.875e+8,,0.487189334979697,4,2,5,8,2,6,6,11,4,6,1,5,7,7,16,5,,,keio,nudJ2_none+Controly,221.1,212.85,,,,,,RG3A,A,+,,,9.2731642318,4.9534036144,13.592924849,4.520667563,2.414784262,6.626550864,,,,,,,RG,,,,,
RG3_1500nudJ1_MG410566406.25,n,RG3,30/11/20,RG3_1,1,Control,nudJ1,rif,nudJ11,MG1655,nudJ1_MG,DM,,y,,500,10,35,1750,,,5957450,5800450,7532710,57743.6,59716.7,58550.1,111,143,102,2.5365234375e+8,326777343.75,233085937.5,500,1.818956,16.69977021,1000,914.0625,y,500,152500000,2.96666666666667e+8,449166666.666667,83.5194487528807,17.2414931073205,15.7960326874679,nudJ1_MG1655,1440,6371533.2,58670.133333,0.122791689693429,0.1418523161,782371.327565784,5899706.4,5740733.3,7474159.9,1.978309,3.659923,1.395669,5.924177,1.068831,2.887787,2.480350864,14.19215648,13.496690982,5.1468058773,21.846576088,0.212274132943048,16,2.71171875e+8,1.3939453125e+8,0.14826565416176,100000,154955.357142857,4.0205475437146e+7,4.1056640625e+8,0.379672155,0.460860791268072,2,18,5,4,10,7,4,7,17,4,4,5,2,4,2,3,,,keio,nudJ1_MG1655+Controly,221.1,212.85,,,,,,RG3A,A,+,,1.0915078139,16.753864382,8.9130240295,24.594704731,4.543176818,2.416961438,6.669392197,,,,,,,RG,,,,,
RG3_1500nudJ1_MG410566406.25,n,RG3,30/11/20,RG3_1,1,Control,MG1655,rif,MG16551,nudJ1,nudJ1_MG,DM,,y,,500,10,49,2450,,,5957450,5800450,7532710,57743.6,59716.7,58550.1,44,66,73,1.00546875e+8,150820312.5,166816406.25,500,4.528508,13.048976769,1000,914.0625,y,500,296666666.666667,1.525e+8,449166666.666667,91.162130928132,15.7960326874679,17.2414931073205,MG1655_nudJ1,1440,6371533.2,58670.133333,0.122791689693429,0.1418523161,782371.327565784,5899706.4,5740733.3,7474159.9,3.659923,1.978309,1.068831,2.887787,1.395669,5.924177,1.699582127,13.496690982,14.19215648,7.6676680958,20.716644865,0.125240877829376,16,1.3939453125e+8,2.71171875e+8,0.202554677517493,100000,56895.7270408163,2.82350143250459e+7,4.1056640625e+8,0.4608607913,0.37967215497462,0,5,0,8,10,16,5,2,7,0,2,2,2,5,1,2,,,MG1655,MG1655_nudJ1+Controly,221.1,212.85,,,,,,RG3A,A,+,,0.916163849,12.944665446,5.991773046,19.897557846,1.804415572,0.8352203951,2.773610749,12.008910385,4.6915673882,19.326253375,1.673976434,0.6539788369,2.69397403,RG,,,,,
RG3_1500nudJ1_MG410566406.25,y,RG3,30/11/20,RG3_1,1,Control,combined,rif,combined1,combined,nudJ1_MG,DM,,y,,500,20,84,4200,,,5957450,5800450,7532710,57743.6,59716.7,58550.1,155,209,175,3.5419921875e+8,477597656.25,399902343.75,500,,12.751669207,1000,914.0625,y,1000,0,4.49166666666667e+8,449166666.666667,86.868044677566,16.5768667332728,,combined_combined,1440,6371533.2,58670.133333,0.122791689693429,0.1418523161,782371.327565784,5899706.4,5740733.3,7474159.9,,4.722215,2.104512,7.339919,,,1.721517049,,11.501708197,5.1258748109,17.877544018,0.284867766386856,16,4.1056640625e+8,0e+0,0.124068671594067,100000,97753.90625,5.09384286245874e+7,4.1056640625e+8,,0.49938099534771,2,23,5,12,20,23,9,9,24,4,6,7,4,9,3,5,,,combined,combined_combined+Controly,221.1,212.85,,,,,,RG3A,A,+,,,12.47606563,7.3064745735,17.645656687,5.12225343,2.999793008,7.244713852,,,,,,,RG,,,,,
RG3_2100MG1655156794444.444444,y,RG3,30/11/20,RG3_2,1,Control,MG1655,rif,MG16551,none,MG1655,DM,,y,,100,10,54,5400,,,2564000,2354630,1665820,62537.2,70240,74704.9,53,78,77,1.19857291666667e+8,176393750,174132291.666667,100,,26.073328137,1000,904.583333333333,n,1000,0,1.73333333333333e+8,173333333.333333,97.1295813534213,14.8255555098125,,MG1655_none,1440,2125655.96666667,69160.7,0.182638800598301,0.1226339981,388227.256236622,2501462.8,2284390,1591115.1,,3.842882,1.798805,5.886958,,,3.69456301,,24.509044396,11.472377139,37.545705276,0.25920661100736,16,1.56794444444444e+8,0e+0,0.166682075224613,100000,29036.0082304527,2.61348233836902e+7,1.56794444444444e+8,,0.467996998636798,9,5,2,4,2,5,3,4,3,5,3,8,6,17,6,3,,,MG1655,MG1655_none+Controly,221.77,212.61,,,,,,RG3B,B,+,,,30.842685505,16.346085629,45.339285376,4.835961739,2.562975415,7.108948062,,,,,,,RG,,,,,
