1,2,3,4,p
1,2,49,6,0
56,1,1,1,133
1,12,0,15,1
8,1,3,0,2
92,2,7,0,4
0,2,1,0,87
0,2,5,0,1
3,4,0,0,0
0,3,9,29,10
1,2,0,9,3
0,0,2,0,108
11,4,0,5,0
19,0,11,7,6
2,0,6,3,0
7,0,0,2,6
1,233,4,1,1
6,1,7,0,1
0,0,7,0,0
70,1,0,0,0
0,0,2,2,0
4,4,0,32,0
1,0,3,0,0
1,3,83,0,3
0,1,0,2,0
1,0,0,5,2
2,0,0,8,11
2,1,16,21,5
0,0,36,1,12
0,0,4,0,19
0,11,0,9,0
8,1,12,0,1
7,0,1,1,0
38,35,24,0,14
3,0,0,1,3
27,48,3,0,232
0,0,0,6,17
0,0,0,0,189
0,1,11,3,6
3,0,0,11,1
1,0,0,0,4
1,10,0,0,0
1,2,3,0,0
7,1077,10,0,1
0,7,6,0,1
1,1,0,0,1
4,0,2,7,6
0,0,1,3,1
2,7,0,0,4
4,2,0,0,1
1,13,0,0,0
14,0,1,8,1
1,0,2,0,1
4,1,0,2,0
1,0,0,6,230
13,2,11,0,0
0,0,0,3,0
3,1,0,2,0
2,74,20,2,4
2,85,1,1,16
0,1,1,0,0
17,8,0,0,2
1,6,8,4,0
1,0,1,3,1
0,4,2,1,0
0,0,0,4,0
5,0,8,0,4
0,0,4,0,40
5,1,232,0,1
8,12,10,1,2
3,12,1,1,12
0,2,0,0,0
1,1,0,0,27
0,3,0,2,15
6,1,2,1,7
1,39,11,0,0
0,201,1,0,26
4,0,1020,2,0
1,5,0,1,0
1,2,2,12,5
29,2,3,0,6
1,1,0,0,28
0,0,5,2,4
5,6,13,0,21
8,0,13,5,0
0,2,0,3,0
6,0,0,8,0
3,14,6,2,2
115,1,0,13,5
7,1,350,0,8
2,63,0,1,1
13,3,6,3,2
11,1,31,3,4
2,7,1,3,0
0,0,7,0,1
2,0,0,0,5
9,2,0,267,1
0,6,0,0,3
0,2,0,3,1
0,21,0,3,0
0,1,6,1,5
4,1,1,0,12
13,0,0,0,6
4,46,0,0,25
0,0,0,56,0
0,21,7,0,11
4,0,1,23,6
1,2,0,0,9
1,3,0,5,0
0,2,1,0,0
0,7,5,7,7
0,0,0,1,1
69,0,12,0,3
11,0,0,282,52
49,98,2,0,1
30,0,0,2,1
0,1,2,1,60
41,358,0,8,6
5,3,2,0,1
0,0,0,2,0
1,0,1,0,0
2,0,1,1,2
6,0,8,4,14
1,5,1,7,0
14,2,0,1,3
3,0,5,14,1
10,0,3,0,10
0,0,1,12,0
1,0,1,9,121
1,0,20,0,2
15,0,26,37,5
1,14,0,4,903
4,1,3,0,0
0,0,0,72,12
0,1,7,0,1
0,2,7,1,0
0,5,2,3,0
0,1,1,0,0
1,0,0,0,11
7,0,30,1,1
0,0,0,2,14
36,0,3,7,0
0,1,0,0,1
5,3,3,3,2
2,2,7,0,11
39,1,0,1,0
1,3,1,5,26
32,6,0,0,9
9,10,0,2,14
29,0,1,0,12
1,1,0,9,0
41,0,9,0,15
0,0,5,5,8
1,4,1,0,0
0,614,0,2,3
0,1,5,5,7
0,1,1,0,0
