1,2,3,4,p
0,4,5,0,0
4,12,3,1,21
0,4,2,0,3
12,0,0,0,1
3,33,0,0,2
0,5,25,3,5
1,0,4,1,6
0,22,1,10,0
23,0,8,2,1
3,3,10,0,2
3,0,90,8,0
2,11,0,8,1
0,0,6,2,14
4,3,2,1,1
0,1,0,0,4
1,1,4,4,7
0,9,0,6,8
2,1,2,16,4
1,0,0,1,10
45,5,0,4,2
1,0,3,1,3
0,4,0,1,3
29,6,0,0,0
20,6,1,1,0
17,0,17,0,0
3,0,18,7,0
1,1,2,19,1
3,0,0,0,0
4,269,2,0,2
10,2,1,27,1
8,10,0,0,1
8,1,3,11,7
8,1,2,0,0
0,0,2,23,5
0,1,2,17,7
39,0,5,12,0
31,0,2,0,0
2,1,0,6,8
29,0,1,1,157
0,1,13,0,1
0,3,75,5,0
65,1765,1,0,1
0,4,0,0,0
0,6,0,0,58
0,33,0,0,2
0,80,3,7,189
0,12,2,6,2
2,3,6,1,4
0,3,0,46,4
1,3,0,6,41
2,6,0,0,2
0,2,3,1,0
1,0,7,7,8
0,29,2,14,2
1,1,0,10,3
24,0,5,4,0
0,1,1,0,5
35,0,5,0,2
0,0,0,3,1
12,1,0,0,2
0,4,0,25,1
2,0,0,18,0
2,0,0,0,12
0,4,242,1,3
5,0,3,0,11
2,0,1,7,0
14,1,2,0,10
2,0,4,6,0
0,1,1,0,0
0,0,20,28,7
0,0,0,0,132
1,2,0,0,5
2,7,1,9,0
2,78,5,1,0
0,4,44,1,20
4,11,0,29,14
1,0,31,6,2
2,0,1,0,3
1,15,4,1,1
4,0,7,4,0
0,7,4,0,2
6,20,0,552,0
1,2,0,19,0
1,1,8,1,1
0,0,0,6,50
5,0,2,12,0
1,0,0,11,2
2,1,3,1,4
1,5,0,3,0
3,1,1,1,23
5,0,0,0,17
83,1,10,8,0
0,1,48,0,4
5,2,1,0,2
1,8,2,3,3
35,5,16,0,2
0,127,2,3,15
5,1,10,29,0
0,2,2,5,3
0,0,0,4,6
0,0,5,5,2
221,0,5,0,15
1,328,0,2,0
18,4,0,0,6
1,1,2,2,2
0,17,2,6,0
0,0,1,0,1
6,0,2,0,2
0,5,272,2,13
1,0,12,49,0
1,0,0,0,4
0,2,6,9,8
27,0,8,3,6
2,0,0,1,1
0,0,3,0,3
0,3,0,0,0
2,0,0,6,0
0,0,0,3,2
0,1,6,0,1
1,5,8,1,1
0,0,0,0,111
30,2222,0,1,3
10,6,0,13,3
0,0,29,2,0
2,5,5,2,11
2,4,7,2,1
5,3,1,0,0
1,5,0,0,16
2,6,3,2,11
15,4,7,9,70
1,16,1,0,2
2,22,0,124,0
0,1,1,0,2
10,2,31,0,4
0,0,2,6,4
2,2,6,28,0
464,1,9,1,3
5,12,17,10,3
0,4,4,0,1
1,3,2,1,0
2,1,0,4,0
2,1,0,0,0
0,168,0,5,2
0,0,0,11,1
2,0,7,1,0
14,2,4,5,0
11,0,31,0,9
34,0,1,1,1
2,2,4,0,1
19,0,0,1,0
4,0,0,1,2
2,16,0,0,0
0,10,0,22,18
1,11,23,24,3
2,0,0,1,27
0,0,1,0,0
0,0,0,5,3
1,3,2,0,0
0,1,63,1,0
0,10,0,9,3
0,1,0,6,0
1,2,0,2,0
1,0,2,0,2
2,0,0,4,1
0,4,0,2,0
37,0,10,5,0
0,1,82,0,4
1,0,0,0,0
3,1,2,7,0
3,33,0,0,0
13,1,0,0,2
7,7,0,6,0
0,0,0,0,0
0,4,0,5,0
0,1,1,0,1
0,7,34,238,0
1,0,1,0,2
0,0,0,0,0
9,0,0,5,0
0,3,4,0,2
9,0,1,0,0
17,0,26,1,1
0,0,1,3,0
1,1,3,0,1
14,0,5,2,4
2,2,0,0,45
0,1,3,0,1
0,0,0,0,0
3,5,2,1,0
4,1,1,15,21
2,0,4,8,0
11,0,2,0,0
0,0,38,0,0
3,1,2,0,7
10,0,1,0,0
0,29,0,3,12
1,1,0,0,0
26,2,2,0,0
0,0,7,2,2
0,0,1,1,3
437,11,2,0,3
19,2,0,2,3
1,2,1,1,1
5,41,2,0,3
0,16,0,2,63
4,1,0,2,0
1,30,0,3,14
2,0,4,3,26
2,10,3,0,10
0,0,0,4,20
0,1,0,2,4
0,2,22,0,0
3,7,0,0,6
2,3,8,0,0
2,23,0,0,0
0,1,33,3,0
61,4,1,3,21
9,6,3,1,0
0,28,1,0,0
0,3,0,4,0
17,1,2,7,10
0,0,1,0,0
12,0,0,72,1
51,42,0,5,4
22,8,0,4,1
2,0,5,21,9
1,0,3,3,0
9,0,1,0,5
0,0,15,0,5
0,641,0,0,0
3,5,47,0,1
2,1,8,4,1
3,0,14,0,0
1,1,10,0,24
0,8,0,1,3
0,2,0,491,3
4,0,16,1,3
0,4,5,3,3
8,6,4,3,1
2,7,0,2,2
4,0,2,0,0
2,4,4,0,1
2,1,0,2,0
17,4,0,1,0
0,1,1,0,2
0,0,0,0,1
8,10,1,12,2
0,2,2,7,0
5,0,2,2,1
1,1,25,1,0
1,77,7,1,0
17,0,1,1,0
357,0,8,4,0
15,1,16,0,0
5,1,9,0,4
1,3,3,0,2
0,2,0,5,1
1,0,3,35,0
28,3,12,6,1
5,14,3,80,0
169,1,1,0,1
0,1,0,0,1
0,0,0,0,63
0,0,1,7,1
1,2,1,9,1
3,13,1,0,1
3,4,0,3,0
2,14,0,1,2
0,10,0,1,0
0,0,30,0,1
0,3,3,4,4
0,0,4,0,0
3,8,1,263,0
2,19,318,0,134
1,1,59,0,54
0,4,7,37,0
1,0,0,7,23
2,0,2,1,317
0,0,1,0,1
0,2,79,0,0
1,1,1,27,0
17,2,0,1,78
0,0,3,2,3
0,24,1,0,15
1,3,14,0,9
0,1,0,14,32
4,0,2,102,0
1,4,0,0,0
2,2,36,84,32
7,4,3,0,2
0,5,0,0,0
0,0,5,0,3
2,14,5,2,1
1,4,3,0,2
0,12,6,0,15
17,0,1,4,1
103,0,12,0,10
0,0,3,166,0
0,0,1,0,5
35,0,2,1,72
55,0,6,1,2
0,2,1,2,1
0,1,0,0,0
1,1,5,0,1
44,0,1,11,2
0,80,2,0,15
1,3,2,0,0
0,0,1,1,1
13,0,9,1,2
5,1,3,0,5
1,0,1,2,2
4,0,0,66,3
5,0,0,1,0
0,2,0,17,23
6,1,10,7,1
4,50,0,5,1
1,0,0,3,1
0,1,1,3,0
3,6,6,1,3
2,2,0,772,1
1,3,0,5,4
0,1,19,6,26
6,0,1,0,5
1,1,5,10,1
22,15,18,0,3
5,59,0,27,0
0,6,1,59,0
1,14,0,0,2
0,2,2,12,0
1,1,1,0,0
0,186,1,2,2
1,0,1,3,0
0,1,1,0,17
2,0,0,5,2
23,5,1,2,0
10,1,0,5,83
140,7,45,12,0
0,0,0,0,2
0,1,42,14,25
1,0,3,1,1
0,3,0,1,1
0,2,3,0,16
1,0,1,0,0
0,6,4,0,0
0,0,0,2,28
7,0,60,2,4
2,22,9,0,4
1,1,13,0,0
1,1,21,12,0
2,0,143,2,1
90,1,0,1,5
0,1,0,0,2
0,2,0,0,13
0,7,5,2,5
0,6,5,0,0
0,0,1,0,0
0,5,0,0,0
1,0,0,12,22
0,2,5,1,34
0,0,3,125,33
4,2,4,2,0
0,6,8,1,1
1,0,3,0,0
50,15,0,0,1
0,3,1,4,1
0,52,15,1,1
1,1,4,0,0
59,0,3,1,0
1,0,3,4,0
3,1,1,1,0
0,0,0,1,0
1,0,46,3,1
0,6359,0,0,0
3,7,1,0,0
2,1,18,0,1
63,1,4,0,1
2,0,1,1,0
6,0,0,1,10
1,1,0,0,3
0,5,0,3,5
6,0,9,1,1
0,0,0,78,2
0,0,2,79,3
347,0,0,0,1
0,0,4,0,0
0,2,6,14,0
33,0,0,0,7
3,0,3,28,0
0,0,0,0,66
2,0,9,3,3
0,8,0,2,40
0,0,0,0,3
1,0,377,0,5
22,0,1,10,9
5,2,4,1,7
1,0,3,0,1
3,4,6,3,1
0,1,1,5,0
0,2,0,1,3
2,4,1,0,0
3,3,44,0,1507
1,4,9,1,1
0,0,3,0,1
11,0,3,0,40
1,0,19,5,2
0,0,0,475,4
3,1,4,0,4
1,0,5,4,1
0,0,0,1,1
0,0,12,5,0
0,1,0,1,0
0,7,4,0,0
0,0,2,19,2
1,6,14,1,1
11,54,0,0,0
0,0,9,0,2
11,14,0,3,0
15,2,2,0,0
3,23,1,9,7
97,1,2,14,6
0,1,0,3,0
44,6,0,0,0
0,0,3,0,2
10,9,2,4,0
1,0,7,5,0
577,0,1,5,1
48,13,0,4,0
11,0,6,0,1
3,1,2,1,1
0,0,2,0,1
5,15,24,34,7
2,2,2,30,1
9,2,7,0,3
0,2,7,0,2
3,0,2,32,0
4,1,0,4,1
234,6,0,1,4
0,1,1,4,88
0,4,0,5,8
0,1,0,4,6
0,2,1,11,0
118,0,3,9,0
2,1,0,5,0
6,0,1,8,0
0,6,0,1,2
0,3,0,0,58
8,2,2,1,0
135,0,0,0,1
1,67,26,3,0
0,0,3,2,5
0,0,2,0,0
2,4,0,0,9
2,2,13,16,6
2,3,3,1,13
0,0,1,5,4
0,2,20,0,0
1,4,0,0,1
0,29,97,70,1
0,1,0,1,4
0,1,0,0,3
0,23,78,0,0
1,5,2,10,2
22,3,0,1,0
0,2,0,0,4
0,76,1,0,3
0,0,0,0,0
1,0,0,1,0
3,5,0,4,18
43,3,1,137,4
5,6,0,0,53
4,0,2,30,0
1,1,0,2,0
2,0,7,0,0
1,76,0,0,2
4,4,1,18,1
1,3,2,3,8
0,0,12,0,1
5,0,7,0,1
64,0,25,1,0
48,0,6,1,6
0,3,0,5,1
0,0,0,5,1
2,0,18,1,1394
2,51,36,26,37
1,3,24,4,7
5,1,0,5,2
4,8,1,1,0
3,0,11,2,75
1,0,1,0,0
2,0,11,3,3
0,1,5,57,0
0,6,0,1,1
172,12,1,2,0
2,1,0,3,0
3,3,15,6,0
0,2,0,0,7
0,4,115,0,5
2,1,39,0,0
1,50,0,9,0
0,2,4,1,0
0,0,0,425,3
0,1,27,3,21
1,3,3,0,0
6,0,3,12,1
0,1,0,0,0
1,0,0,0,1
0,0,2,53,6
0,4,7,2,9
0,2,0,0,1
2,0,0,2,1
0,0,3,0,3
1,9,11,2,1
1,6,0,2,0
0,0,17,0,0
0,0,1,1,6
0,1,0,2,3
1,0,17,7,1
1,2,1,1,0
8,57,4,0,0
0,2,0,4,0
2,0,8,0,4
0,0,0,3,0
5,0,0,0,0
1,14,4,0,2
0,0,13,50,0
641,6,12,1,1
10,3,21,2,2
8,0,11,25,9
0,1,1,0,0
20,0,5,8,0
1,0,0,1,1
2,0,0,0,0
0,3,16,16,0
143,3,0,12,0
3,5,0,0,2
12,0,5,3,15
0,0,3,1,1
69,2,0,0,0
3,31,6,0,0
15,0,12,2,16
1,0,0,0,0
8,0,0,0,1
0,0,0,1,1
0,4,0,1,3
2,0,0,1,15
0,4,554,0,0
0,0,11,0,19951
0,14,6,0,0
0,0,11,0,13
9,2,2,4,1
1,0,5,0,1
599,0,1,1,11
0,1,6,0,13
3,0,0,1,1
1,0,2,0,6
1,0,0,1,1
6,11,0,0,0
2,3,7,5,2
0,1,7,0,11
2,1,0,0,2
2,107,0,0,0
141,0,406,0,0
7,0,0,1,4
3,42,3,5,1
1,0,10,0,89
17,6,4,1,0
0,12,0,0,13
4,8,0,1,0
4,0,0,0,206
8,1,0,0,0
0,4,0,0,6
0,0,1,2,3
1,4,0,1,3
0,1,5,0,0
373,0,0,17,12
1,0,0,1,1
5,0,7,1,0
0,1,2,0,2
0,5,0,19,10
