1,2,3,4,p
1,4,3,8,7
9,0,0,29,0
6,0,8,9,0
0,0,3,0,2
3,50,13,3079,2
10,8786,2,0,1
0,0,3,4,2
0,0,0,2,4
0,1,6,2,0
1,0,0,1,3
0,1,1,1,2
42,0,7,3,5
10,0,0,19,0
0,8,3,448,11
0,10,2,0,0
1,1,0,0,0
0,0,5,1,26
7,7,1,1,3
1,0,1,0,5
5,7,0,421,4
4,0,1,0,0
0,480,1,1,1
1,10,22,1,96
2,0,2,0,1
1,0,1,5,6
4,3,0,0,0
0,42,2,22,5
6,0,7,115,3
0,5,0,37,0
0,4,6,0,20
0,1,6,2,0
6,79,3,0,0
0,5,2,0,1
1,8,0,47,1
15,2,1,1,0
0,2,0,0,16
2,0,1,0,1
7,3,3,0,0
0,1,0,0,0
5,1,0,1,4
7,0,8,0,0
6,9,0,10,3
28,7,2,1,2
0,5,74,0,2
2,4,2,1,63
0,0,3,3,0
2,0,1,4,4
12,0,0,1,0
4,0,2,14,1
0,1,1,16,1
1,2,2,0,0
2,0,0,0,2
2,0,1,0,17
2,108,4,0,0
0,1,20,37,0
0,0,0,4,0
25,0,2,0,36
1,23,2,0,0
43,6,0,13,0
1,0,5,0,0
3,0,0,1,1
1,0,0,0,3
0,0,0,0,0
1,37,6,1,0
8,0,6,0,4
0,611,2,1,0
4,2,0,2,4
0,0,41,0,33
70,3,0,2,1
0,5,0,0,5
816,0,2,0,0
342,0,3,58,0
0,1,15,6,0
3,1,51,0,1
0,16,2,48,0
0,0,3,6,2
3,0,0,1,0
0,2,11,10,5
0,0,0,1,4
0,4,0,0,15
1,0,0,7,3
5,0,14,6,0
2322,0,0,2,2
0,0,1,6,5
44,51,3,15,4
3,0,0,11,0
1,0,1,1,1
0,0,0,5,0
6,1,5,0,0
1,1,5,1,1
6,6,1,0,0
26,0,0,0,53
0,0,1,4,3
1,65,29,0,60
0,1,4,0,0
1,5,0,6,0
308,25,0,13,18
5,20,2,0,11
2,40,3,0,3
142,0,5,4,220
0,0,0,1386,1
0,1,5,76,6
0,1,0,8,0
0,0,4,0,20
3,0,2,0,1
1,0,4,70,0
6895,3,0,0,0
6,5,12,16,1
1,0,8,0,0
0,0,1,1,34
0,0,11,0,8
9,0,7,35,87
2,4,0,0,0
0,30,13,97,0
0,1,0,0,1
0,0,0,4,3
1,0,5,1,20
1,152,0,0,5
4,0,12,1,13
0,10,1,73,0
0,5,1,0,0
4,1,0,1,2
0,147,31,0,1
1,1,0,2,0
2006,1,3,16,5
0,1,1,3,0
3,11,0,2,0
2,1,0,1,1
1,0,0,0,2
8,7,1,0,8
7,0,590,0,2
2,1,5,4,360
1,11,1,2,1
1,4,1,11,0
0,3,0,0,7
3,0,11,0,0
0,0,0,1,3
0,3,12,8,7
1,17,7,2,1
54,6,1,193,12
0,1,2,52,0
1,0,1,1,4
4,11,1,892,4
0,117,8,0,0
0,22,0,1,1
3,26,0,0,0
6,0,4,2,0
1300,3,2,0,0
2,5,6,1,2
13,0,3,5,4
3,120,1,6,57
2,1,0,1,0
0,6,1,1,0
73,0,3,2,40
17,0,0,12,39
8,2,10,20,0
3,2,3,0,1
4,0,20,0,2
7,10,0,1449,10
0,30,0,20,0
1,0,3,0,2
3,9,0,1,0
236,0,38,2,2
1,0,2,0,17
7,0,0,0,3
3,15,0,4,7
2,3,0,0,5
6,0,0,1,6
2,0,7,136,15
0,0,2,1,0
731,1,0,0,0
5,7,3,68,4
8,0,19,0,13
1,17,0,0,1
0,381,4,0,21
101,2,2,0,1
0,1,4,11,0
0,0,1,0,13
0,11,0,130,3
0,0,0,2,0
2,51,2,0,45
6,0,0,3,1
2,16,3,1,2
9,3,0,0,0
0,0,0,8,0
11,1,7,4,0
3,3,20,15,0
1,1,1,2,0
161,1,12,17,1
40,2,5,0,4
