1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
1,2,1,8,8,0,1,3,2,24,2,1,0,3,2,3,3,4,4,0,1,0
2,4,1,18,0,1,4,4,3,0,1,0,12,5,3,1,5,0,0,2,0,14
1,1,2,0,0,1,3,0,0,0,0,1,0,1,1,0,0,0,4,0,5,0
3,6,12,3,4,18,2,7,6,0,0,4,0,3,0,4,0,0,0,3,0,1
0,0,3,1,0,0,8,2,3,0,0,5,2,45,0,3,0,3,2,1,3,6
2,15,0,26,0,1,1,0,1,0,2,1,0,4,0,0,1,6,3,1,4,0
0,3,1,0,1,3,0,1,8,0,5,11,0,1,2,1,1,2,9,0,18,0
0,4,0,0,4,1,1,0,2,0,4,1,3,1,0,1,0,1,0,1,0,0
2,0,2,0,2,10,0,11,1,0,3,0,0,1,8,1,2,3,0,0,0,0
1,0,16,1,5,9,8,0,2,3,0,1,3,0,7,0,0,0,27,0,1,1
0,1,0,11,11,2,1,0,0,1,1,0,0,1,0,7,0,0,1,4,0,0
0,7,2,2,3,1,0,0,6,212,2,4,9,3,0,1,0,2,0,7,1,1
3,1,0,7,12,0,5,1,2,0,5,3,3,1,2,0,11,0,0,0,3,4
5,2,2,0,1,0,0,0,1,1,1,14,0,0,0,2,1,0,0,1,8,2
3,0,4,3,2,0,0,1,0,1,1,6,1,3,18,0,0,2,0,2,53,1
2,2,2,0,0,1,1,0,7,4,3,0,1,2,1,2,4,0,2,8,0,0
1,0,0,3,2,0,1,4,5,8,0,3,1,6,5,1,0,2,1,0,12,2
1,0,10,0,0,1,8,0,5,1,6,54,28,3,0,1,10,8,0,0,0,1
1,0,4,1,44,0,3,2,1,1,0,1,3,1,10,1,2,0,0,1,1,1
1,12,51,10,4,0,3,3,1,0,2,0,12,14,1,0,1,1,2,3,0,0
1,1,0,1,0,1,8,0,0,1,1,1,1,10,1,3,2,6,0,1,2,0
16,0,1,0,1,0,13,3,1,0,0,0,1,1,1,0,74,2,4,5,1,2
2,1,0,4,0,0,0,1,14,8,3,0,1,0,1,0,5,13,1,0,0,3
5,0,1,0,13,0,5,0,4,2,1,0,1,1,2,1,0,2,1,16,0,3
2,1,1,6,3,22,0,0,1,3,0,0,0,2,0,2,2,8,0,1,0,6
0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2
0,9,19,1,1,0,1,0,14,0,1,0,18,2,2,0,9,3,2,4,3,22
0,0,6,1,0,1,0,0,3,12,7,9,0,3,0,2,0,0,3,1,0,1
1,0,0,3,0,0,9,3,0,1,8,0,0,12,3,2,9,1,0,2,0,0
0,1,1,2,0,1,3,1,0,5,2,0,2,0,0,0,4,3,4,2,2,24
3,2,3,2,9,2,0,0,1,1,0,0,0,1,2,0,2,2,0,0,2,2
0,1,0,0,0,2,4,3,0,1,0,2,0,0,0,1,1,0,3,0,0,0
0,0,4,2,4,6,0,3,17,0,8,0,2,0,1,1,1,2,2,4,1,7
0,2,3,0,0,2,0,1,4,9,4,3,10,1,0,1,1,0,5,0,3,0
2,2,0,8,2,2,5,1,5,1,3,18,5,1,10,0,1,0,0,1,12,0
7,6,18,7,0,6,1,0,0,17,2,1,5,4,8,0,8,1,0,2,1,1
1,0,0,1,4,0,2,0,0,0,0,3,4,1,2,9,2,0,0,0,119,0
0,1,1,4,2,1,2,0,4,14,1,2,0,0,2,1,1,0,3,9,2,7
1,3,2,1,0,1,8,3,0,0,0,3,1,0,9,12,4,3,5,4,1,1
0,1,0,1,0,3,5,0,2,1,0,18,1,10,1,1,0,1,0,33,4,1
0,3,0,10,0,0,1,1,2,0,0,1,0,3,3,1,1,1,3,2,0,0
3,348,0,0,2,18,0,0,3,0,0,0,1,2,2,4,10,0,0,2,1,0
0,0,7,0,0,2,9,1,2,7,14,2,0,7,0,9,1,0,1,4,0,0
1,23,1,0,1,5,0,0,0,1,5,0,0,0,2,3,0,3,2,5,0,16
4,0,2,0,18,6,3,2,0,1,6,2,1,0,276,0,0,0,6,0,2,12
4,5,1,0,2,0,3,0,2,0,1,1,0,0,3,7,2,5,3,2,1,0
0,1,0,1,6,2,2,5,0,0,1,4,14,1,3,0,1,0,3,14,9,0
0,0,0,3,0,2,0,10,0,2,1,0,7,0,4,3,3,9,0,1,0,0
4,4,3,9,1,0,1,3,5,0,4,2,0,1,2,2,0,1,0,2,3,2
1,1,1,3,4,1,2,2,9,0,1,0,1,1,1,0,1,24,6,0,1,26
