1,2,3,4,p
20,1,11,1,0
6,1,1,2,1
114,0,0,1,20
6,1,1,0,5
0,22,1,0,0
0,8,1,7,4
1,0,0,0,0
2,0,0,0,12
8,0,1,0,1
1,2,0,4,73
4,0,1,7,1
8,0,0,0,35
0,1,29,4,2
1,3,1,0,1
0,0,21,3,3
1,0,0,0,0
4,12,0,0,1
2,6,4,1,5
14,0,0,31,0
0,0,1,0,5
0,2,0,26,15
9,0,15,1,7
0,0,0,4,1
29,92,0,0,0
16,6,3,16,0
3,1,10,0,1
4,0,7,0,5
0,0,0,3,4
0,10,2,3,0
3,5,1,3,2
2,18,3,0,14
3,5,4,0,2
1,0,0,4,8
18,2,3,0,0
3,2,1,3,2
1,3,3,163,1
1,0,2,0,7
0,3,5,2,0
0,47,5,1,3
17,0,1,0,0
0,201,12,1,3
1,5,0,1,0
2,2,1,8,2
2,2,3,0,0
4,1,1,2,0
0,0,0,2,10
1,0,0,1355,2
0,1,0,0,0
6,6,3,456,46
156,0,12,72,5
2,0,0,3,14
4,3,2,0,0
0,4,1,1,1
5,0,1,47,8
0,3,0,9,6
19,2,0,0,3
1,1,0,0,0
3,0,0,0,0
9,0,0,0,1
0,7,5,2,34
1,5,1,0,0
20,1,0,2,1
0,7,36,23,0
0,4,4,1,1
6,5,98,3,0
6,1,0,4,10
7,0,0,0,12
31,6,21,0,5
1,0,7,0,95
9,5,1,8,9
1,3,3,29,2
0,29,1,0,0
0,0,0,0,1
34,21,16,1,95
1,3,2,4,0
7,2,3,0,1
1,1,1,0,2
7,86,0,1,17
4,0,1,6,0
0,5,12,0,0
7,11,24,0,0
6,2,10,14,16
11,0,8,0,1
9,6,0,46,0
1,0,3,0,1
0,1,0,1,10
1,1,1,2,0
0,21,0,2,16
1,4,1,0,0
0,3,2,5,4
0,0,0,9,97
0,41,9,2,0
1,1,5,11,0
1,0,0,0,0
5,1,1,2,20
0,0,55,2,1
1,1,5,1,4
226,1,0,0,0
3,1,0,2,2
11,6,5,0,3
0,11,2,2,40
29,2,2,19,1
4,7,3,0,0
3,3,0,4,1
1,1,1,3,3
1,6,0,1,0
0,5,0,0,0
1,2,0,0,0
0,1,0,0,6
38,0,0,2,1
0,2,1,0,0
9,6,32,1,0
35,6,5,9,5
3,6,28,132,9
0,3,0,1,2
0,3,2,1,6
173,119,1,10,0
7,2,54,0,0
3,6,0,0,2
1,0,3,0,0
2,4,0,0,2
1,2,3,18,3
0,3,1,1,0
0,4,107,17,1
3,2,0,0,1
0,7,1,8,0
0,0,4,6,3
0,1,1,7,3
0,14,1,1,1
1,1,0,31,5
2,1,3,6,0
1,0,0,0,0
0,3,0,0,2
0,1,0,1,5
0,0,0,3,1
0,0,1,0,0
0,1,0,0,0
26,1,0,1,0
3,36,1,0,1
92,0,0,2,3
1,0,14,0,20
11,1,3,0,3
0,10,1,26,6
26,0,13,9,0
0,7,3,8,3
0,1,0,1,10
1,1,10,1,0
2,0,2,0,7
1,9,99,6,6
0,6,2,0,0
0,6,1,0,333
0,4,0,15,1
2,6,4,0,0
54,3,0,3,34
1,0,3,0,1
0,0,0,1,0
3,0,2,2,19
1,0,0,0,3
1,0,0,0,1
0,0,0,3,0
0,0,1,10,4
1,16,0,0,1
0,2,0,0,4
15,1,0,151,0
1,0,1,1,0
9,0,1,0,0
1,1,0,0,0
0,0,10,0,5
0,3,0,2,5
4,1,0,1,1
0,2,0,1,2
2,0,1,2,2
0,1,0,4,1
8,0,3,3,1
1,35,2,0,5
1,1,4,0,0
32,3,15,0,0
12,2,10,17,1
3,0,2,1,2
6,1,0,0,3
8,0,1,0,1
3,3,2,2,0
0,4,1,4,3
0,3,6,22,0
