1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,1,6,5,4,0,1,0,2,4,5,744,10,0,210,11,0,6,178,0,0,0
0,1,1,1,1,0,1,0,0,34,0,0,2,0,1,5,2,0,0,9,1,0
2,53,0,3,40,5,0,7,4,0,3,1,1,0,4,18,4,0,2800,0,1,61
1,0,19,0,3,4,7,2,0,1,0,1,1,0,4,0,1,0,11,2,5,0
34,37,6,0,8,1,0,5,0,1,0,2,0,5,3,34,8,0,1,8,0,9
20,32,2,2,2,17,1,3,0,0,3,0,65,0,13,0,3,1,0,0,0,16
1,4,27,2,2,0,0,0,1,0,1,0,3,6,0,2,0,0,0,0,18,0
0,0,4,0,0,0,35,30,1,0,3,2,1,3,0,0,1,0,1,0,10,0
0,64,0,9,1,0,4,30,17,1,0,1,13,0,8,0,8,0,0,1,0,26
9643,60,0,1,0,1,0,2,0,2,0,0,1,37,0,0,0,3,3,1,0,10
1,1,25,0,1,16,0,66,7,1,51,2,0,11,143,8,4,3,0,0,1,9
3,4,5,1,29,1,1,1,2,26,1,3,19,1,0,12,0,2,0,0,0,0
0,3,0,3,20,0,1,3,0,2,0,0,0,0,0,1,0,8,0,0,2,1
7,0,12,5,0,0,20,1318,1,2,0,7,12,4,1,16,1,4,45,0,5,2
0,2,0,0,10,3,0,0,3,2,0,0,4,0,1,0,7,4,10,0,0,3
7,0,0,7,16,3,26,4,0,0,0,22,0,1,1,0,9,2,0,14,0,5
0,0,3,0,1,0,190,0,0,4,0,2,0,4,1,27,8,3,1,0,0,2
27,1,8,3,4,289,0,0,1,0,1,5,0,0,0,0,1,0,0,0,1,9
2,0,16952,0,24,0,0,0,1,2,1,0,2,0,0,9,0,2,6,28,0,0
34,1,3,1297,7,2,0,1,2,1,1,2,1,0,1,0,0,8,18,0,0,1
0,63,0,1,2,3,1,4,0,0,0,1,1,868,1,0,2,1,5,0,0,0
0,1,2,0,133,4,8,1,0,1,0,3,23,2,0,4,9,0,0,1,0,0
0,2,0,0,0,2,0,5,2,15,1,0,10,8,0,0,0,1,0,57,0,40
50,5,0,3,4,0,0,1,0,39,10,3,3,0,3,0,1,0,3,47,0,0
17,0,15,0,2,0,23,3,9,1,0,0,2,2,0,0,0,0,0,5,2,0
0,3,0,0,2,4,3,0,3,3527,1,86,0,0,0,0,0,5,3,0,0,1
0,390,0,4,0,10,0,0,1,2,0,48,0,0,13,26,5,0,0,0,0,1
3,32,0,3,7,11,0,6,2,2,0,0,18,0,2,0,1,1,2,0,2,2
0,5,0,3,0,5,4,1,1,0,0,0,2,13,1,176,9,0,0,1,0,4
0,1,2,3,0,0,3,0,0,1,1,29,64,0,2,0,2,37,262,0,18,0
0,4,1,1,0,1,0,0,19,148,1,4,5,2,19,2,0,3,0,0,0,0
2,8,0,2,0,44,1,3,408,1,0,4,5,0,0,22,1,0,12,1,0,0
5,19,7,1,4,8,0,53,2,0,8,1,5,0,0,3,0,227,20,0,1,0
2,0,1,4,0,2,15,10,1,90,7,0,1,0,5,0,0,1,0,1,1823,4
0,0,0,0,1,51,73,64,2,2,4,15,0,1,3,0,1,9,1,3,4,0
1,5,0,4,20,7,3,1,0,4,1,10,0,163,1,0,0,1,0,2,3,23
2,2,0,3,0,2,1,3,0,0,75,1,0,2,2,1,117,0,7,4,43,4
3,0,0,0,2,4,0,6,0,1,0,0,0,0,859,1,0,3,0,1,8,5
47,2,0,3,12,0,1,22,0,17,0,1,0,15,0,1,3,1,0,6,19,6
0,0,6,2,13,1,0,2,0,6,23,0,0,0,0,0,0,10,1,5,9,32
10,3,62,0,1,4,4,0,0,0,0,0,10,0,0,3,2,2,0,0,2,0
0,1,2,1,2,1,5,2,2,3,5,0,0,3,0,0,0,0,13,0,241,0
3,0,3,1,8,65,1,0,12,5,0,1,1,9,2,4,6,2,0,25,0,253
4,1,1,3,170,1,0,1,15,4,1,7,0,13,1,20,2,29,0,2,2,6
8,5,0,1,79,0,55,6,3,0,0,5,1,0,0,1,0,0,3,0,10,10
