1,2,3
118203,58639,98291
118003,59038,99129
118755,58645,98065
118182,59208,98620
117782,58738,98323
117406,58706,98113
117925,58753,98319
117579,58938,97779
118081,58020,98038
117809,58945,98297
118277,58755,99142
117740,58792,98012
117975,58689,98062
117971,59146,98402
117643,58920,98145
118252,58978,98404
117745,58949,98501
118757,58730,98227
118241,58761,97690
117862,58359,98278
117736,58837,98401
118330,59005,97843
117818,58517,98573
117542,58782,97652
118064,59017,98298
117871,58633,98228
117813,58378,98138
117598,58659,98528
118296,58977,98090
117429,59053,98185
117600,58851,98387
117920,58638,98758
117573,59310,98037
118101,58585,98633
118017,59053,98132
118914,59014,97731
118888,58393,97831
118115,58793,97224
118027,58597,98132
117870,58481,97938
117914,58241,97775
118020,59660,98157
116954,58652,98377
117756,58682,98630
117802,58348,97826
117878,59064,98746
117975,58602,98310
118078,59092,97889
117766,58791,97999
117972,59154,98269
118421,59222,98391
117260,58529,97891
117777,59166,98111
118188,58584,98218
117836,58528,98499
117965,59102,98035
117888,58403,98448
117906,59130,98157
117597,58725,97606
117459,58878,98426
117521,58752,97678
118510,59156,98195
118035,59126,98403
117961,58884,98021
117972,59058,97707
118360,58942,98608
117467,58397,98474
117913,58862,98189
118287,58617,98489
117576,58744,98028
118144,59038,98169
118497,58917,98291
118233,59077,98375
118005,58693,98365
118414,58792,98375
117684,58969,98433
118116,58564,98171
117725,58646,98262
117618,58542,98417
117560,58613,98658
118088,58202,98201
117838,59103,98490
117114,58671,98513
117738,59251,98919
117814,58616,98542
118473,58628,98072
117868,58648,98208
117986,59001,98233
118122,58278,98184
118225,58572,97701
118220,58644,97899
118099,58950,98914
117677,58774,98166
117899,58475,98237
118285,59096,98272
118554,59038,97931
118019,59045,98327
116797,58681,98028
117873,59042,98081
118264,59023,98327
