1,2,3
16968583,16796400,16697387
16964944,16797001,16698027
16963701,16795239,16696287
16965856,16795839,16697187
16967494,16795688,16697062
16966581,16796679,16697614
16965484,16795224,16696771
16966332,16795156,16696750
16967212,16795798,16698439
16967063,16795497,16696380
16967998,16796151,16697161
16966105,16797529,16698437
16965714,16795275,16696631
16965949,16796544,16697401
16966781,16795210,16697567
16963380,16796030,16697833
16966498,16796045,16696987
16965323,16795955,16697262
16963621,16797417,16697084
16966554,16796989,16695981
16965886,16796810,16696562
16964801,16796708,16697117
16965652,16796229,16695910
16965057,16797018,16695684
16963833,16794668,16696953
16965401,16796394,16696156
16964417,16796420,16697832
16964175,16796547,16697288
16967112,16798200,16698748
16965564,16795272,16698212
16964805,16795900,16697198
16964922,16795826,16695926
16966798,16796556,16697804
16962819,16795402,16696703
16965195,16796403,16696854
16966898,16798133,16697682
16965415,16796951,16696796
16964292,16796915,16698067
16966461,16796520,16698056
16967524,16797388,16697615
16967623,16796020,16695712
16963886,16796977,16697355
16968560,16796388,16696705
16965357,16797283,16697040
16966939,16795535,16697214
16966888,16795586,16696592
16964425,16797908,16696434
16966170,16797324,16697409
16967782,16795216,16696991
16966840,16796253,16695993
16966776,16796997,16697926
16965182,16795220,16696207
16966292,16797763,16697017
16965634,16795624,16696594
16966206,16794901,16698501
16964944,16797217,16698279
16967512,16797028,16697738
16967092,16795219,16697089
16966339,16797387,16696407
16966804,16796636,16697751
16965097,16797481,16697339
16966190,16796804,16696762
16966177,16797231,16697545
16967209,16795355,16696575
16966096,16795641,16697575
16966923,16796686,16698249
16967056,16796757,16696699
16963850,16797913,16697468
16964461,16796085,16696405
16964045,16796656,16697012
16967455,16794904,16697401
16964600,16796060,16698182
16967029,16795688,16697916
16966379,16795929,16696575
16966236,16795557,16697851
16964969,16797070,16697740
16964918,16796304,16697734
16965885,16795713,16696987
16962683,16797139,16697869
16965570,16796246,16698634
16965655,16795635,16696681
16964151,16795934,16696982
16966804,16796218,16696317
16965432,16797028,16696257
16966483,16796879,16697598
16963839,16794786,16698499
16966233,16797408,16697456
16964259,16797497,16696758
16967141,16795080,16696427
16965503,16795239,16697507
16966013,16795104,16696163
16965473,16795901,16696661
16963862,16795365,16696960
16965492,16796884,16697469
16966551,16795967,16696350
16964703,16796188,16697387
16965108,16795738,16698521
16966519,16795867,16697373
16965706,16797840,16698532
16964314,16795035,16696072
