mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
7.722824947025729e-9,1.0892632996681392e-6,0.0,0.0,0.0,0.0,0.0,0.0,328.85688098770447
6.6503393949913e-9,2.357712808772551e-6,0.0,0.0,0.0,0.0,0.0,0.0,335.7491758648914
1.408885282652549e-8,5.395721096305137e-7,0.0,0.0,0.0,0.0,0.0,0.0,420.19751536227443
1.0267983715715965e-8,3.164511357917374e-7,0.0,0.0,0.0,0.0,0.0,0.0,351.93384847312035
1.241098820002202e-8,6.442585431490305e-7,0.0,0.0,0.0,0.0,0.0,0.0,385.57848442641614
1.0806053216437308e-8,6.256020602172125e-7,0.0,0.0,0.0,0.0,0.0,0.0,368.9509052533763
8.533692496269847e-9,1.7196573468316041e-6,0.0,0.0,0.0,0.0,0.0,0.0,329.16139124289396
7.265160581322384e-9,1.3449226494508273e-6,0.0,0.0,0.0,0.0,0.0,0.0,318.464632668831
9.500277695386461e-9,9.05886265944998e-7,0.0,0.0,0.0,0.0,0.0,0.0,375.23780615014914
9.92277196770947e-9,1.6838066810891486e-6,0.0,0.0,0.0,0.0,0.0,0.0,359.4946868261357
1.0745128666974845e-8,5.299491911045923e-7,0.0,0.0,0.0,0.0,0.0,0.0,382.31860765245654
8.538185940751658e-9,2.421516759577951e-6,0.0,0.0,0.0,0.0,0.0,0.0,398.5727596354034
8.784155316072476e-9,2.0349423700063493e-7,0.0,0.0,0.0,0.0,0.0,0.0,361.2868642341265
9.971048053493308e-9,9.896902402194264e-7,0.0,0.0,0.0,0.0,0.0,0.0,404.2644726062265
8.640324552857274e-9,2.9649684384397025e-6,0.0,0.0,0.0,0.0,0.0,0.0,394.5928710098906
1.0010346725751373e-8,1.1574231047951125e-6,0.0,0.0,0.0,0.0,0.0,0.0,367.1143523220926
8.974866434455553e-9,4.6198779842871564e-7,0.0,0.0,0.0,0.0,0.0,0.0,331.27944105447136
7.926834147069497e-9,5.123661543906153e-7,0.0,0.0,0.0,0.0,0.0,0.0,334.97436848101324
1.4440712876511387e-8,5.273778664671066e-7,0.0,0.0,0.0,0.0,0.0,0.0,461.9856546197373
1.0349035070383237e-8,9.433381036058432e-7,0.0,0.0,0.0,0.0,0.0,0.0,392.0070454437775
1.3417691430170118e-8,9.458782182702822e-7,0.0,0.0,0.0,0.0,0.0,0.0,391.9437358715445
1.034331754702969e-8,6.332157496348827e-7,0.0,0.0,0.0,0.0,0.0,0.0,359.1577068943977
7.739930930678115e-9,1.9735975984037044e-6,0.0,0.0,0.0,0.0,0.0,0.0,344.8609891647579
1.1539333521422746e-8,5.267374112602086e-7,0.0,0.0,0.0,0.0,0.0,0.0,366.4334618757537
1.0542740273634571e-8,1.199826874370062e-6,0.0,0.0,0.0,0.0,0.0,0.0,367.89415795102775
8.555636094254774e-9,9.461930089521941e-7,0.0,0.0,0.0,0.0,0.0,0.0,344.04107265255146
9.116376831531807e-9,1.6087587503438257e-6,0.0,0.0,0.0,0.0,0.0,0.0,391.46382423304067
9.419876893988895e-9,1.4500680464507069e-6,0.0,0.0,0.0,0.0,0.0,0.0,401.14271671258314
1.0549125436918344e-8,1.0851887909863781e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.2181192428527
9.517545086972476e-9,7.310282742415815e-7,0.0,0.0,0.0,0.0,0.0,0.0,332.61418181203675
1.2126254958076424e-8,8.673879448464378e-7,0.0,0.0,0.0,0.0,0.0,0.0,426.3128037677148
1.0869630136371167e-8,2.4406799349709603e-6,0.0,0.0,0.0,0.0,0.0,0.0,411.4749810746483
1.187955809276258e-8,3.354300976335363e-8,0.0,0.0,0.0,0.0,0.0,0.0,350.9656158850503
8.379254284614234e-9,5.982720314041111e-7,0.0,0.0,0.0,0.0,0.0,0.0,358.56393004813077
1.001085643133366e-8,1.498579256480545e-7,0.0,0.0,0.0,0.0,0.0,0.0,350.820891190926
1.0074712018942759e-8,2.5402386235576923e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.64109789720317
7.625134941503975e-9,8.756991119918951e-7,0.0,0.0,0.0,0.0,0.0,0.0,300.27094632496903
1.1620647642352948e-8,7.560553088870772e-7,0.0,0.0,0.0,0.0,0.0,0.0,389.5855676447029
9.85031503877288e-9,1.5426859720639766e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.06100312152756
9.007652215238004e-9,8.722161362736179e-7,0.0,0.0,0.0,0.0,0.0,0.0,368.7089791108176
