1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,0,0,2,3,1,5,0,2,1,0,4,0,1,2,2,1,2,2,0,4,0
8,3,0,0,2,6,1,3,0,0,3,1,0,9,2,4,0,0,1,2,19,0
1,7,3,0,0,1,0,2,0,1,1,0,0,2,0,1,2,1,1,1,0,0
0,3,0,36,1,1,2,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0
5,0,0,36,0,1,0,0,1,11,1,0,2,1,2,1,1,3,2,0,2,60
1,0,0,0,0,2,0,1,79,1,0,0,19,3,1,2,4,0,1,1,0,5
2,1,1,0,3,8,0,3,0,0,1,0,2,2,1,2,1,2,0,1,0,14
3,4,6,2,0,5,1,0,3,0,0,3,0,1,1,0,1,2,2,0,1,3
1,1,4,16,2,0,0,1,4,0,84,1,2,0,1,1,1,7,0,2,0,1
5,0,0,11,5,3,0,1,3,3,1,6,1,1,2,0,0,1,1,1,0,0
1,9,2,0,45,0,0,2,0,8,1,0,1,0,71,1,1,2,0,0,2,1
0,100,37,2,1,12,2,0,1,1,0,0,1,0,1,0,0,0,2,0,1,1
13,1,3,2,8,11,0,6,3,2,0,6,0,0,1,1,0,0,1,1,0,1
1,4,0,0,21,0,3,0,1,2,2,1,0,0,4,0,2,1,0,43,2,1
3,8,0,3,0,8,11,2,1,1,0,4,2,0,1,3,0,1,0,2,2,7
3,1,1,4,0,1,4,0,1,4,1,1,2,0,11,0,2,1,1,0,3,2
21,0,7,5,7,5,1,1,0,0,1,2,3,0,1,0,5,0,1,1,2,3
1,2,0,1,4,2,2,0,0,22,0,1,63,2,0,1,0,6,0,1,1,0
0,32,1,0,1,3,1,0,10,0,1,0,0,1,0,0,4,1,4,2,1,1
0,4,0,0,0,1,0,0,0,1,1,3,1,1,0,5,1,0,0,1,0,3
0,3,0,0,0,0,3,1,1,9,2,1,0,0,0,0,1,5,2,2,1,11
2,1,0,0,4,0,0,4,0,2,2,1,0,13,1,0,1,0,6,3,2,0
1,29,0,0,0,5,0,1,2,0,0,0,2,4,3,1,1,1,2,0,1,16
0,1,6,1,15,0,5,15,0,1,6,0,0,2,9,1,1,1,3,2,1,0
0,9,0,4,0,0,1,3,1,0,1,1,0,0,0,18,2,0,7,0,10,0
1,0,3,2,8,2,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,14
3,0,0,0,2,1,0,3,1,1,0,1,1,1,1,2,0,2,2,0,1,1
3,10,0,1,0,4,0,0,0,1,3,17,1,1,1,0,1,2,0,1,2,0
10,0,5,0,13,4,0,0,0,1,1,0,2,0,2,1,3,1,1,3,205,2
2,1,0,1,1,1,4,0,0,0,78,5,0,1,0,1,2,0,3,1,2,4
1,0,4,0,77,1,3,9,9,0,4,3,0,1,3,1,2,0,2,0,1,1
4,25,7,0,7,36,18,2,8,0,45,0,9,1,2,0,1,3,2,1,1,0
1,1,1,3,2,0,0,0,4,1,91,1,0,1,1,3,1,0,0,2,1,30
1,2,5,4,2,12,1,2,4,0,0,0,0,0,1,0,1,0,1,0,2,0
8,0,126,6,1,0,3,0,0,1,8,1,7,3,0,0,0,2,1,1,2,0
2,5,0,0,0,0,0,0,1,0,1,1,2,0,1,0,1,1,5,4,1,4
2,16,0,0,2,0,0,2,6,2,6,29,0,0,6,0,1,0,0,2,0,4
6,1,2,0,9,11,4,13,2,8,3,3,2,0,1,2,3,1,2,1,1,3
1,0,12,5,0,2,11,11,1,0,1,2,7,0,0,1,0,2,2,1,1,0
0,1,0,3,1,2,0,0,2,0,0,1,1,2,1,5,26,0,2,1,0,0
4,37,0,7,0,0,9,0,6,14,0,4,0,1,0,2,0,1,0,0,2,1
0,4,0,0,1,0,0,4,0,3,6,2,1,0,2,0,1,1,0,15,2,6
1,1,2,0,28,3,5,0,2,4,0,5,0,2,6,0,3,2,1,1,1,0
4,3,11,0,3,6,0,4,0,0,1,1,1,0,1,1,1,0,2,2,0,6
0,1,2,14,4,0,1,4,5,0,3,1,2,1,2,0,1,1,1,1,0,0
4,2,1,0,2,0,0,4,1,0,0,4,0,3,0,0,0,0,0,1,1,0
1,1,1,0,0,0,2,2,2,0,1,0,2,0,0,3,0,3,0,2,0,8
1,0,3,1,0,1,0,0,3,1,2,9,3,3,0,0,1,1,0,3,1,2
3,1,11,1,0,11,0,13,0,0,1,1,0,1,4,6,2,1,1,0,0,0
1,1,0,1,7,0,2,2,0,1,0,0,1,1,1,2,29,0,1,0,0,0
0,1,2,0,0,4,1,1,3,1,2,1,2,1,0,0,0,1,0,2,0,4
0,4,2,5,0,0,3,4,1,0,0,1,0,1,0,0,2,2,0,1,0,9
1,0,49,1,1,0,12,0,1,1,1,0,1,2,0,0,3,1,3,2,1,1
2,21,2,3,0,1,0,1,5,1,0,0,4,0,6,2,1,7,3,2,17,1
12,9,6,0,5,0,0,0,22,0,11,1,0,0,2,1,1,1,1,3,0,4
0,0,1,7,1,2,0,2,7,2,1,19,10,2,1,1,0,3,0,1,0,1
3,8,1,2,12,0,0,1,0,1,0,0,5,0,1,2,1,1,3,0,1,2
54,4,1,0,1,3,1,9,1,1,1,0,1,1,0,1,0,2,1,0,3,0
10,3,1,1,2,0,24,0,0,1,3,1,1,1,1,0,2,0,0,0,1,2
2,14,26,1,0,0,0,1,1,0,6,1,3,4,0,0,2,0,4,0,3,0
2,5,1,13,2,1,3,0,3,0,0,1,2,0,2,1,2,0,2,2,1,0
9,1,4,0,3,0,1,0,3,1,0,0,1,3,1,2,0,1,0,2,1,30
0,0,0,1,0,0,1,0,3,2,3,5,4,1,17,0,2,1,2,2,0,4
1,2,6,1,1,0,4,0,0,0,0,0,1,1,0,1,3,1,1,0,1,0
12,0,1,1,3,0,0,0,0,0,1,0,1,1,3,3,2,0,0,1,0,1
1,25,1,0,0,0,4,0,3,0,2,1,7,0,1,0,1,0,12,1,0,7
0,1,18,149,0,3,0,0,2,8,1,0,13,1,0,0,1,2,2,0,3,2
0,8,2,4,2,1,0,1,8,4,0,3,0,4,1,1,2,3,1,0,3,1
6,1,0,16,0,0,1,1,1,1,1,0,1,1,0,1,0,8,1,0,1,0
19,0,36,3,0,3,0,1,16,0,1,1,3,2,0,3,1,0,0,0,1,4
1,0,7,6610,1,2,9,0,3,1,0,5,1,0,0,2,2,0,1,0,0,3
1,0,9,0,6,8,2,2,0,1,0,1,1,0,1,2,1,1,1,0,0,0
0,1,2,2,11,0,1,2,0,0,1,2,0,0,1,0,1,6,1,1,0,0
4,29,2,3,0,1,11,0,1,3,1,5,0,0,2,2,0,0,2,0,1,2
1,1,7,10,2,0,0,1,7,4,2,24,2,1,0,2,2,1,1,2,0,5
1,2,0,8,0,9,0,1,8,5,0,1,0,1,5,1,0,0,2,4,2,3
1,6,19,0,12,2,1,0,14,11,0,1,4,0,1,1,7,2,2,2,0,1
0,0,5,0,3,0,2,1,6,0,1,7,0,0,0,0,1,2,1,0,2,0
0,0,2,5,3,120,1,0,1,1,1,0,1,2,0,2,1,0,0,0,0,11
3,3,0,0,378,6,0,38,0,0,0,2,1,0,0,1,0,4,0,1,1,3
2,2,0,9,0,2,0,3,1,0,2,7,4,0,0,0,2,2,1,2,0,21
0,6,7,49,1,0,1,0,0,2,1,3,0,30,5,0,7,0,1,0,1,0
0,0,0,1,1,2,0,19,0,0,0,0,2,7,0,0,0,1,2,1,0,4
2,0,29,7,0,0,0,3,1,1,0,2,1,3,1,0,0,3,2,1,1,1
0,2,13,37,0,0,0,1,1,0,3,0,2,3,7,1,1,1,2,1,2,0
0,6,0,0,0,1,41,1,7,1,1,1,2,0,1,0,0,0,1,0,0,6
0,1,3,0,1,0,1,3,0,4,2,2,1,1,2,1,1,1,0,1,3,0
0,6,2,1,0,3,0,0,1,8,0,0,4,0,0,1,0,3,0,0,3,0
2,4,1,0,1,1,0,4,1,1,9,22,0,7,4,0,1,3,1,1,1,0
2,1,3,0,0,1,2,0,0,3,4,0,0,1,19,1,5,2,0,0,2,0
46,0,2,0,1,4,0,30,3,4,0,4,0,2,3,0,1,3,0,1,2,2
1,1,3,1,0,2,0,2,1,2,0,4,17,1,1,1,1,1,0,1,0,5
6,3,8,1,0,2,0,1,1,3,47,1,1,1,0,2,5,1,1,0,2,7
12,0,0,2,2,0,6,43,0,0,0,1,0,6,30,1,0,1,1,1,0,4
3,1,0,1,97,0,5,0,3,91,11,1,0,2,1,3,2,1,1,0,3,3
0,3,0,1,9,0,0,5,1,0,1,0,3,0,2,0,1,0,1,0,2,2
1,48,0,0,1,2,3,3,0,1,0,0,0,0,3,0,3,1,3,2,0,12
5,1,5,0,2,3,1,11,11,1,2,0,0,10,2,0,0,0,0,0,0,3
0,0,1,2,0,1,1,1,6,1,1,3,3,1,0,0,2,0,1,2,1,2
0,0,4,6,4,1,1,1,0,1,3,2,0,1,0,2,1,12,1,1,0,1
0,2,2,0,3,0,0,1,0,1,1,1,4,4,2,0,0,0,2,5,1,0
0,0,3,0,96,1,1,1,3,1,0,0,2,1,0,1,0,4,2,2,13,1
1,14,3,1,1,3,0,0,2,1,0,0,0,1,1,0,1,1,3,0,1,4
2,31,1,1,0,5,22,6,0,10,4,1,0,2,11,0,3,1,2,0,2,1
0,1,3,2,14,0,0,1,22,1,1,16,0,1,1,6,0,1,0,1,3,0
4,3,0,1,0,23,2,0,0,0,1,2,1,13,1,2,0,0,567,2,0,0
