1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
1,0,0,0,1,0,0,3,1,1,2,0,1,0,1,0,0,1,0,2577,1,5,5,1,0,0,0
1,0,2,3,1,1,2,0,2,0,1,2,0,2,2,0,0,1,0,9,0,0,0,1,3,0,0
1,3,0,1,2,0,0,1,1,2,18,3,1,0,0,1,0,0,2,2,0,0,0,0,0,0,1
2,1,7,1,1,0,0,0,5,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,0,1,1
2,2,3,0,4,4,2,0,2,1,0,1,0,0,0,3,1,1,0,1,0,0,0,2,1,1,3
0,2,2,0,0,33,1,1,0,0,2,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
2,2,4,2,0,0,1,0,0,1,0,1,0,1,1,0,1,1,3,1,5,1,0,1,1,1,1
1,3,0,3,0,1,0,1,0,1,0,0,1,1,0,0,2,0,1,0,2,0,0,3,0,2,5
0,2,1,0,0,0,1,0,1,1,1,5,0,0,1,31,0,1,0,1,1,2,0,1,0,0,0
1,0,1,0,1,2,0,0,2,0,1,0,0,2,1,2,0,0,3,0,0,1,1,0,3,1,25
2,0,0,1,2,1,0,0,1,1,0,0,0,1,2,0,0,2,1,0,2,0,2,1,8,0,0
0,1,1,1,0,1,1,2,1,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
0,0,1,1,1,1,1,0,0,0,1,1,40,0,1,2,0,5,2,0,0,0,0,3,2,1,15
2,2,0,23,0,1,1,0,0,1,10,1,0,0,0,1,1,0,0,0,1,1,7,0,0,0,1
0,4,1,1,3,3,13,0,0,0,2,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0
0,0,3,1,0,5,0,2,1,0,0,1,0,0,0,0,0,0,3,1,4,0,0,1,1,1,1
2,0,1,1,1,0,0,0,8,0,2,1,0,1,0,1,2,1,1,0,0,0,0,1,0,1,3
15,0,0,1,0,3,1,0,9,18,0,4,2,0,1,2,3,0,0,0,0,1,0,0,0,0,0
0,12,0,0,0,1,0,5,1,1,0,1,1,1,0,0,0,0,3,0,0,1,0,0,1,0,1
0,2,0,3,0,3,1,0,0,1,2,3,0,1,0,0,2,4,0,1,0,0,6,0,0,1,9
1,1,0,2,0,0,2,2,3,0,0,0,0,1,2,1,1,0,1,0,0,0,1,1,0,1,4
0,0,1,1,22,1,1,0,32,0,1,1,2,0,1,0,0,2,0,0,0,1,0,2,1,0,1
2,1,1,1,1,3,0,2,1,0,0,0,1,0,0,0,0,1,91,1,0,4,1,0,0,1,5
14,0,2,0,0,1,2,1,1,1,0,0,1,0,1,0,26,0,1,11,0,1,0,0,2,3,5
1,0,1,0,1,1,1,1,0,3,1,1,9,0,86,0,0,0,1,0,2,0,0,1,0,0,39
1,2,0,3,0,36,1,1,1,5,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0
