1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
1,0,0,8,0,0,1,3,0,1,3,9,2,0,1,0,0,10,4,1,0,5
0,0,1,0,2,1,1,3,11,1,0,3,0,8,9,0,0,1,1,3,1,2
2,0,7,0,0,7,0,0,0,2,2,2,2,0,0,3,0,0,5,0,5,1
0,1,0,3,1,1,2,4,0,0,0,3,0,0,3,3,0,0,5,0,0,0
3,0,1,19,6,2,195,1,2,2,4,1,1,0,10,0,0,5,1,0,8,0
3,0,1,2,0,6,0,0,0,0,0,6,6,17,0,1,0,4,0,1,21,0
2,1,0,0,1,2,0,2,1,0,0,4,0,4,7,0,0,0,1,0,4,0
2,3,3,1,2,11,1,2,60,2,2,5,2,1,0,2,4,1,5,1,1,0
0,3,2,20,2,0,5,1,3,2,0,0,3,5,90,4,2,5,0,2,0,0
0,0,0,1,43,1,0,0,5,1,2,0,0,2,0,1,3,2,9,1,1,1
3,3,0,3,0,0,0,0,0,0,0,1,6,0,0,0,2,5,2,6,139,3
5,8,0,3,2,0,0,2,22,0,0,1,1,2,0,2,0,0,36,0,0,1
2,4,0,0,2,4,0,0,3,8,1,0,1,1,6,1,3,0,0,1,5,1
1,0,2,2,0,2,3,0,0,1,3,3,1,15,0,0,0,12,2,0,2,13
1,30,0,6,2,1,4,2,1,3,3,1,5,1,2,1,0,2,1,0,0,0
3,0,1,1,1,112,0,2,8,1,1,1,0,3,2,0,0,2,3,0,3,1
3,0,0,0,1,3,1,9,1,5,2,11,1,0,17,1,1,0,3,4,11,2
0,0,1,1,0,0,0,4,1,1,2,5,1,0,1,3,1,2,2,1,0,1
1,0,3,0,0,5,1,0,0,4,1,5,2,0,0,0,0,13,1,1,3,0
0,1,3,1,0,6,0,2,8,0,1,0,0,23,0,1,3,13,6,0,3,5
1,0,11,1,0,2,2,0,5,0,24,10,11,0,0,1,12,0,1,2,1,0
8,1,0,0,1,7,0,3,2,30,0,0,1,11,0,19,0,0,4,52,0,0
0,0,2,1,0,2,3,2,0,1,3,0,0,3,7,0,0,1,1,0,2,7
3,0,1,0,0,4,0,4,0,4,4,0,0,0,6,5,6,1,5,0,7,43
0,1,0,2,1,0,2,1,1,1,0,1,1,14,2,0,0,7,0,0,0,0
3,1,0,3,2,0,0,1,0,46,0,0,0,1,4,2,0,0,11,2,1,0
8,5,0,11,4,1,0,2,0,2,0,10,0,1,1,1,0,6,0,3,9,1
38,1,0,0,1,1,2,1,2,1,0,0,1,1,1,0,0,0,1,0,4,0
0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,1,5,1,0,4,3,1
0,0,1,1,1,4,1,0,0,6,2,0,0,2,0,0,2,0,4,0,20,2
0,7,1,1,2,4,0,0,4,0,1,0,125,154,1,0,9,0,0,4,1,0
4,0,5,0,2,0,1,4,0,0,0,6,2,2,5,0,0,7,0,0,0,0
4,1,0,7,4,1,0,4,0,0,2,0,0,17,1,0,1,1,1,0,12,5
5,2,1,3,2,2,0,5,1,2,2,7,5,1,3,0,1,5,4,2,0,1
0,0,2,2,5,1,0,2,1,7,0,0,2,5,0,0,0,4,2,1,5,0
10,1,6,1,3,0,1,0,0,0,0,0,1,1,3,0,0,1,1,2,1,1
36,4,3,1,0,0,5,0,4,1,8,1,5,0,1,0,13,0,1,0,102,5
2,6,0,1,1,0,11,0,2,0,7,25,2,1,3,0,3,1,7,1,2,0
2,1,13,0,0,1,1,1,6,0,2,0,0,0,0,0,4,21,6,1,5,0
0,1,4,0,0,5,0,0,1,2,2,0,0,26,0,2,0,6,0,1,0,15
15,6,2,5,2,2,0,18,2,1,14,1,4,1,0,3,0,3,3,0,7,0
1,7,0,0,1,3,0,2,2,19,1,2,0,0,33,1,0,7,0,12,0,3
1,0,4,32,0,2,1,6,2,2,1,0,0,1,0,0,1,1,0,0,0,0
16,0,1,3,0,1,0,0,0,12,3,2,4,7,2,0,1,4,0,1,0,2
0,0,5,1,6,5,1,0,0,3,1,1,3,0,3,4,1,0,0,1,0,1
2,2,0,1,1,2,6,0,6,1,4,1,0,0,0,0,1,18,4,13,1,2
2,0,4,0,0,1,5,1,5,0,1,0,2,23,4,0,0,0,0,0,0,1
1,2,12,4,0,4,1,0,1,1,1,1,0,0,0,2,197,1,0,1,8,2
