1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,1,2,3,1,1,2,0,1,1,0,1,3,3,2,0,1,2,4,1,3,1,0,1,1,2,0,2,2,1,1,1
0,0,1,1,0,0,1,1,1,1,3,0,1,0,0,2,1,1,1,1,1,2,1,0,2,0,1,2,1,1,1,39
0,1,4,1,1,0,1,1,0,0,3,0,1,2,1,3,0,0,4,3,1,2,1,2,0,1,1,0,1,0,0,2
0,0,1,0,0,3,1,1,3,0,0,0,1,0,0,2,1,0,1,0,2,1,0,0,0,1,1,0,0,1,0,213
0,0,0,1,0,4,1,1,1,5,4,0,5,1,0,2,0,2,1,4,2,2,1,4,1,26,0,2,3,1,2,2
1,1,2,1,0,0,0,1,9,1,0,0,0,1,1,1,1,0,1,1,1,0,0,2,1,1,0,0,0,4,1,12
1,1,0,1,1,1,3,0,2,1,0,1,1,1,1,2,0,0,1,2,0,6,1,1,0,1,1,1,2,3,1,0
0,1,1,2,3,1,2,1,1,3,3,2,0,1,35,0,0,2,1,1,2,2,4,0,1,0,3,0,1,0,2,0
3,1,2,1,0,0,1,2,1,2,1,0,4,2,1,1,0,1,1,1,0,2,2,0,166,0,2,0,1,0,1,7
0,1,0,0,2,0,1,1,0,4,1,2,1,0,1,2,0,1,1,3,5,0,0,2,0,1,0,56,0,0,2,213
2,2,2,2,2,1,1,0,1,3,0,4,7,2,0,2,0,1,7,2,2,1,3,1,1,1,2,1,1,5,1,1
0,1,3,0,2,1,0,0,0,2,0,3,0,0,2,0,2,1,0,3,1,2,1,0,0,0,0,2,7,1,0,1
0,0,1,0,2,1,1,1,4,0,2,0,3,0,1,0,1,0,2,1,1,0,1,0,0,1,1,0,2,1,0,0
3,0,0,3,0,3,1,1,2,0,2,1,1,0,1,2,0,0,2,0,4,1,0,0,1,0,0,1,0,2,0,3
0,0,0,0,2,1,1,0,1,0,0,2,3,0,2,1,1,1,2,0,1,0,0,2,0,2,0,0,1,3,0,3
0,1,1,0,2,0,1,1,5,1,2,0,0,2,2,1,0,1,1,4,1,0,1,0,1,52,0,0,0,1,0,5
3,1,0,4,2,0,1,2,2,1,2,1,0,0,1,2,2,2,3,23,0,4,1,1,1,2,1,3,1,12,0,3
0,2,1,2,0,2,2,2,2,0,0,2,0,3,1,0,1,1,0,0,1,1,1,0,4,1,0,1,0,0,0,0
2,1,3,0,1,1,0,0,3,1,0,0,1,0,0,1,2,1,2,0,0,2,1,2,0,1,2,1,0,0,2,1
1,0,1,1,1,0,2,0,1,0,0,2,0,1,0,0,0,0,3,0,1,1,1,1,1,1,0,1,1,2,0,6
1,0,0,2,2,0,0,2,3,0,1,3,2,1,1,2,0,2,3,2,1,0,0,1,0,0,0,1,1,2,0,5
3,0,0,1,1,0,0,1,1,0,5,1,0,1,2,3,1,0,0,1,5,0,2,2,0,3,0,0,0,0,0,0
2,1,1,2,1,1,1,2,2,1,1,2,1,0,0,0,0,4,1,0,1,0,2,1,0,1,0,1,1,4,1,58
0,1,0,0,2,1,0,2,0,1,5,1,0,2,1,0,1,3,2,0,1,2,17,1,2,1,2,1,1,1,1,5
0,0,1,1,0,2,3,2,0,1,1,4,3,1,2,3,2,0,1,3,1,3,1,2,0,0,0,0,0,1,1,0
4,0,2,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0,0,1,2,2,0,5,4
2,0,1,0,0,0,1,2,0,0,1,2,1,0,1,0,1,1,1,2,1,1,0,7,1,2,3,3,1,0,1,6
0,0,1,0,3,0,3,2,1,1,1,0,2,2,6,0,0,0,0,2,0,0,2,0,3,1,1,1,0,0,1,0
2,0,1,2,2,2,1,1,2,1,0,0,1,1,0,1,0,4,0,1,0,1,0,1,0,2,0,0,0,1,0,0
3,2,0,0,1,1,2,2,0,1,0,1,2,1,1,2,1,0,0,0,2,0,3,0,4,0,0,1,1,1,0,2
1,1,0,1,1,3,1,0,0,3,1,1,2,1,5,0,1,3,1,0,2,0,2,2,2,0,0,1,1,1,2,53
3,0,2,2,0,2,0,2,2,0,0,2,2,3,1,1,0,2,0,1,2,2,3,1,0,2,1,2,0,1,0,2
2,3,3,1,1,0,0,0,2,1,0,4,1,2,0,2,0,0,0,0,0,0,1,3,0,1,0,2,0,1,0,0
0,1,3,1,0,2,3,3,1,0,1,0,2,1,0,1,1,1,2,0,209,0,2,2,1,5,0,1,0,3,1,6
1,2,2,0,1,3,2,1,0,1,1,1,1,1,2,1,3,0,1,2,0,3,2,1,2,2,1,1,0,11,1,0
1,0,0,2,4,0,2,4,0,3,0,3,1,2,3,0,0,1,2,1,0,0,2,1,1,2,2,1,5,3,1,0
4,0,1,0,0,0,1,0,1,2,0,1,0,2,1,0,2,1,2,0,0,0,0,1,0,1,1,1,42,1,1,34
0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,11,1,3,0,0,0
1,0,0,0,3,0,0,0,0,0,2,6,1,1,0,1,0,0,1,4,1,1,2,267,3,1,1,1,2,1,0,0
0,2,0,2,2,3,1,1,3,2,1,0,1,1,0,1,1,2,0,0,0,0,1,2,0,0,0,0,3,0,0,2
0,1,3,2,1,0,0,0,0,0,2,0,0,1,1,1,1,0,1,2,2,1,0,1,1,0,2,2,3,1,1,1
3,2,1,1,0,2,1,0,1,1,1,3,1,1,2,0,0,2,1,1,3,0,2,2,0,3,1,1,3,1,0,2
0,1,1,1,1,1,1,0,2,1,0,2,1,3,1,0,0,1,5,0,0,1,4,0,40,2,2,1,4,1,1,0
1,0,2,2,1,0,2,1,1,1,1,0,1,3,0,1,1,0,0,1,10,0,0,0,1,0,0,1,0,0,1,0
0,2,0,2,6,3,0,0,2,1,1,2,0,1,0,1,1,4,3,1,1,0,0,1,10,2,1,2,1,2,1,0
1,3,1,0,0,0,0,3,0,1,1,1,1,1,0,2,0,0,0,0,6,0,3,0,0,2,0,1,1,0,0,0
1,0,0,0,1,2,0,0,1,0,1,0,0,1,1,1,0,0,1,1,2,0,3,3,2,1,1,2,4,0,1,29
1,2,0,0,2,1,1,0,2,0,0,2,0,5,0,0,17,2,1,0,1,1,1,0,8,1,1,0,1,6,3,0
0,0,0,0,0,2,0,1,2,1,2,1,0,4,0,1,3,0,1,2,1,2,2,4,1,1,0,0,117,1,1,55
1,0,4,0,2,0,1,2,2,2,0,1,3,0,2,3,0,0,0,0,1,2,0,0,0,1,6,1,1,2,0,2
2,0,1,0,0,1,1,1,3,4,3,1,0,1,1,0,1,1,2,0,3,1,2,1,6,1,2,2,3,1,2,5
1,2,0,1,0,0,2,1,1,2,0,0,0,0,0,3,0,0,0,2,2,1,1,0,1,0,0,0,3,1,1,0
2,1,1,1,1,1,0,1,2,3,0,3,4,0,1,1,0,1,0,0,0,3,0,1,0,1,1,2,1,3,1,5
1,0,0,3,1,1,1,0,2,1,1,2,20,0,0,1,1,0,0,0,0,1,0,2,0,2,2,11,1,0,0,0
0,1,0,0,4,2,0,0,0,1,4,5,1,0,0,9,0,1,1,0,0,0,1,1,1,1,2,0,4,1,1,12
1,2,1,0,1,2,2,1,3,2,0,1,0,0,0,12,0,0,453,0,1,0,1,1,0,0,0,0,1,0,0,1
2,1,1,0,0,0,2,1,0,0,0,0,2,1,0,2,1,3,0,1,2,0,0,0,1,0,2,0,1,0,0,5
