1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
7,3,33,0,0,0,12,1,0,2,0,8,3,3,1,2,0,1,0,1,1,0,1,0,3,1,2,3,1,0,0,3
1,0,5,5,0,44,6,3,0,72,0,1,1,1,1,1,0,1,0,4,1,1,2,0,2,0,1,1,1,0,0,0
6,0,1,9,0,0,1,0,16,2,0,4,1,5,1,4,2,0,1,1,0,1,1,0,2,2,1,1,3,4,1,20
3,5,0,2,2,0,4,1,1,3,0,0,1,5,1,1,1,2,0,0,1,2,1,2,2,1,1,1,1,0,1,0
2,0,1,7,0,0,0,1,13,0,0,2,1,0,0,2,22,1,0,2,1,0,2,0,2,0,0,2,3,0,0,5
1,1,1,0,12,0,0,4,1,1,2,1,0,0,0,0,1,25,7,0,0,0,1,0,0,1,0,1,1,2,0,0
8,0,3,0,1,1,0,0,1,1,0,46,0,2,2,3,0,3,1,0,2,1,2,2,0,0,1,1,0,1,0,1
0,1,1,8,0,0,0,2,0,0,0,1,1,0,19,4,4,0,0,2,0,2,0,2,0,0,0,1,1,2,0,0
0,1,4,8,15,1,3,9,0,2,0,0,2,2,1,0,0,1,1,3,0,0,0,1,0,1,1,1,2,4,1,0
0,0,1,1,6,11,0,0,0,1,2,5,2,0,4,0,1,2,1,1,0,2,2,1,1,1,4,3,0,0,0,0
3,0,0,3,0,1,16,7,10,1,1,8,2,0,2,0,1,0,2,1,0,0,2,0,1,4,11,0,1,3,5,1
1,2,0,1,0,0,1,0,0,0,1,3,2,18,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1
1,8,7,3,0,2,2,7,4,4,5,0,0,1,0,0,5,0,2,3,5,0,0,1,1,0,2,0,2,2,4,0
7,0,1,4,3,9,0,0,3,1,42,2,1,0,0,0,3,0,2,0,19,0,1,0,1,1,1,0,2,1,2,0
2,10,0,16,8,0,6,0,2,1,6,0,0,1,1,2,6,0,0,0,0,1,0,0,0,0,1,2,0,1,2,4
0,0,7,3,0,0,2,0,1,0,1,1,0,0,1,0,2,6,2,0,2,1,0,0,4,0,0,2,2,1,2,3
0,1,0,2,2,6,759,61,0,13,2,2,0,0,3,1,1,0,0,3,0,0,1,0,2,2,1,0,0,41,2,0
2,0,4,1,4,0,9,2,1,1,1,4,32,47,2,1,0,2,2,0,2,1,1,0,2,3,3,0,1,0,1,3
1,2,1,0,1,1,5,0,14,9,4,2,0,1,0,0,1,5,1,0,1,3,1,0,2,2,2,1,0,2,2,1
0,1,8,9,0,0,0,4,9,1,0,4,1,0,0,0,0,3,1,1,0,13,2,0,1,0,1,0,2,2,0,8
0,2,0,2,41,2,2,35,2,2,1,1,0,0,0,1,1,2,0,0,0,2,0,1,1,1,1,2,1,0,1,6
1,3,4,3,1,1,1,1,0,0,0,12,0,0,3,2,1,2,1,2,2,1,3,5,2,2,1,2,1,1,1,3
0,2,0,27,3,0,13,0,1,0,1,1,1,0,1,3,2,1,0,3,2,1,2,1,1,0,0,2,0,2,3,17
5,0,3,0,64,0,9,1,1,0,1,1,1,0,1,2,3,1,0,0,0,0,0,0,1,0,0,1,0,1,1,3
0,0,0,0,10,1,0,2,0,0,0,3,0,15,0,1,1,23,1,0,0,0,1,1,1,0,2,1,1,0,0,0
3,0,4,1,26,1,5,3,0,0,0,0,167,2,1,1,0,0,1,1,0,0,0,2,1,6,0,0,1,0,0,3
1,1,0,2,2,0,2,0,3,1,1,8,0,4,4,5,0,0,0,2,1,1,1,2,1,2,0,0,0,1,1,0
0,25,0,4,0,0,1202,0,21,2,42,2,0,6,3,1,7,1,0,2,0,0,1,0,2,0,0,0,2,0,2,0
1,13,0,2,5,1,6,0,0,1,0,8,2,1,1,2,0,1,3,1,1,0,0,1,1,2,1,2,2,10,1,3
