1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
3,1,3,1,1,0,0,0,1,0,1,0,0,2,0,0,10,0,0,1,0,1,4,1,0,0,2
0,1,0,0,1,2,1,1,2,0,0,5,1,3,0,1,2,1,0,11,0,0,0,1,1,2,0
0,0,0,1,1,2,0,1,2,1,4,0,1,0,4,1,1,0,0,0,0,1,0,0,1,4,9
0,0,2,0,1,0,2,2,0,1,2,0,0,21,6,0,1,1,9,3,0,0,1,11,2,2,3
0,1,1,0,2,1,2,4,1,0,1,0,0,0,0,2,0,0,0,0,1,3,1,1,0,3,1
0,1,2,10,0,46,1,0,0,0,0,4,4,9,2,1,2,4,0,1,1,1,0,3,0,1,1
0,2,1,4,0,3,0,0,1,1,1,1,0,2,1,1,1,0,9,0,0,2,2,0,0,0,5
1,10,2,0,1,1,1,8,21,7,5,2,2,1,2,1,6,0,3,0,0,1,1,1,1,4,0
3,0,1,1,6,0,0,3,2,1,3,1,1,0,2,2,0,0,2,0,0,1,1,2,0,4,1
1,0,2,83,9,0,1,3,0,1,0,14,3,3,14,1,0,1,0,9,0,0,3,0,1,1,4
0,4,9,1,1,0,1,1,10,0,0,0,1,1,0,7,0,2,2,0,0,2,0,0,2,1,5
1,0,0,0,0,1,3,0,0,0,1,1,2,0,1,1,1,1,1,2,4,0,1,1,6,2,0
1,1,3,0,0,1,0,4,5,0,2,0,0,0,0,1,1,1,0,2,1,4,3,0,0,0,10
0,1,0,0,164,5,4,0,1,1,0,0,2,0,1,0,1,0,13,0,0,2,3,2,0,1,7
4,0,1,1,1,2,0,0,0,2,0,0,4,0,1,11,2,0,2,0,1,12,1,1,1,0,0
1,2,1,2,2,2,1,68,3,4,1,0,1,3,6,0,1,0,2,2,0,0,0,0,0,0,0
0,2,1,5,4,1,2,0,0,1,0,3,0,1,4,0,0,1,0,0,0,1,0,0,1,0,18
0,5,0,1,0,1,0,0,5,2,1,0,0,0,5,5,3,2,514,0,1,0,0,1,0,2,0
4,112,6,5,8,1,2,1,0,1,0,0,2,7,2,0,1,5,1,0,3,0,0,2,0,1,0
0,0,2,1,0,0,8,3,2,2,3,8,0,58,0,1,0,0,5,0,0,0,0,0,0,1,1
3,0,1,10,4,0,2,0,1,104,2,0,0,2,1,0,0,1,4,0,0,2,0,0,1,0,1
