1,2,3,4,p
0,4,1,1,0
53,6,0,1,4
4,1,0,0,1
5,48,0,2,0
2,2,5,1,0
0,7,6,0,1
0,0,0,13,0
0,1,0,20,0
6,2,4,1,0
50,0,0,0,0
0,10,2,0,48
4,0,0,5,0
0,0,0,22,3
15,2,2,58,44
44,2,12,1,0
0,0,2,1,0
3,0,2,1,7
4,2,47,2,4
0,54,0,0,0
1,2,13,12,4
0,4,4,0,4
3,4,272,5,0
0,29,7,1,0
0,3,0,0,2
30,0,0,0,7
11,0,0,1,1
2440,1,0,2,1
0,3,0,1,0
16,0,5,0,26
0,157,1,0,1
2,13,3,0,1
13,4,1,5,3
0,10,109,1,3
0,1,18,0,1
0,0,1,0,1
0,5,5,6,8
11,4,0,1,20
549,1,2,0,1
6,2,0,0,0
2,5,3,584,2
1,0,41,14,3
0,533,0,3,0
0,76,0,7,3
2,0,0,1,0
0,3,10,0,0
281,38,3,21,1
2,2,2,2,238
0,1,3,7,0
0,0,35,2,0
3,0,547,1,4
0,62,0,0,63
0,109624,8,0,143
22,1,3,0,0
0,14,4,27,0
0,1,15,18,0
5,1,17,46,2
5,1,1,0,0
0,0,0,9,1
0,0,4,2,2
0,12,0,35,0
0,0,0,2,1
1,0,46,0,72
1,1,4,10,0
0,2,0,1,1
0,0,4,1,2
0,1,8,3368,1
1,1,17,5,21
0,625,46,0,6
1,2,7,0,4
3,0,0,8,0
1,8,0,0,14
1,3,1,1,5
2,5,21,0,668
0,521,0,3,2
6,10,7,0,0
3,178,0,0,15
3,1,11,11,2
0,1,11,1,10
1,0,0,0,0
2,0,0,81,9
1,0,0,1,2
14,2,0,1,7
56,28,16,0,1
8,1,0,0,0
8,0,2,0,92
35,10,1,8,4
2,0,1,1,1
0,18,0,0,3
0,2,0,25,0
1,44,1,15,1
2,1,0,1,1
101,0,1,1,1
0,0,0,0,0
0,0,2,2,90
11,1,575,13,10
3,0,22,0,19
0,1,19,0,0
2,0,17,12,4
1,1,0,0,11
2,3,2,2,0
0,9,3,1,4
0,0,5,0,0
7,141,2,1,0
94,5,25,0,4
14,3,11,1,1
2,4,0,0,1
0,0,6,0,4
1,22,1,1,1
0,1,0,0,6
0,0,114,4,0
0,0,0,0,0
0,3,0,0,7
2,20,29,1,18
2,0,1,47,0
0,0,3,0,3
10,0,0,1,10
6,4,3,19,1
1,1,0,0,1
0,0,0,5,2
0,4,3,18,0
0,0,1,1,8
1,5,60,7,0
0,0,0,3,3
0,1,1,0,0
0,0,0,0,1
3,0,12,0,0
0,1,6,0,40
1,4,84,20,2
2,9,0,1,3
0,0,1,3,2
0,1,13,0,8
5,0,0,0,39
2,0,0,0,1
0,0,0,3,0
480,0,0,2,32
0,0,0,1,1
0,0,1,1,1
0,6,0,15,1
0,16,56,1,6
0,15,1,3,9
4,6,4,8,3
27,0,0,0,4
20,0,27,0,2
11,0,1,1,0
18,10,3,0,0
3,2,0,15,0
28,4,0,4,0
0,0,1,0,36
0,7023,0,1,6
6,3,39,12,2
0,6,8,3,4
3,6,0,10,0
0,2,0,0,3
11,4,0,1,3
569,0,0,2,0
0,3,2,0,0
0,0,1,896,1
110,0,1,0,5
0,1,27,1,2
0,1,0,3,10
1,0,99,3,4
0,4,21,1,0
9,1,0,2,0
0,28,0,0,0
70,1,1,8,8
0,9,0,0,15
0,0,3,0,0
2,3,13,0,0
9,1,0,0,35
0,0,4,10,2
0,10778,7,2,14
3,4,2,9,2
0,0,1,15,0
5,0,2,2,4
0,4,0,0,8
0,0,1,1,0
3,5,5,3,3
0,0,0,0,7
0,5,14,1,8
540,9,2,2,2
10,1,0,0,92
3,6,0,0,1
0,9,7,519,2
6,3,2,5,6
1,0,1,0,5
2,0,1,0,1
269,1,1,0,4
13,0,0,0,11
0,0,0,5,6
9,0,0,2,2
0,5,3,0,3
12,0,1,0,8
1,1,0,9,0
1,0,4,7,0
27,0,0,0,2
140,1,1,0,36
3,0,0,12,3
3,0,0,0,19
0,4,0,2,0
0,0,0,1,3
3,0,2,5,1
11,0,0,0,19
4,1,1,7,0
0,11,0,0,2
316,2,3,0,5
1,0,25,0,10
0,0,0,0,3
1,8,0,3,0
1,0,0,89,1
2,0,10,0,0
3,2,1,23,4
0,117,0,0,1
1,5,2,0,5
0,0,20,10,0
0,6,8,4,13
0,4,4,2,4
2,5,0,1,2
56,2,0,1,15
0,0,6,1,1
332,19,1,5,1
0,0,2,0,0
12,7,75,14,0
0,1,0,51,0
0,7,0,7,0
0,0,9,20,9
0,8,0,0,3
1,1,10,44,1
7,0,1,2,1
0,1,6,0,1
0,2,29,0,2
0,0,0,0,7
12,1,0,0,0
1,0,0,0,1
1,1,0,1,1
1,0,0,24,9
15,0,2,8,1
0,14,7,2,1
5,7,0,0,4
6,18,18,6,0
0,2,3,0,0
5,6,0,0,2
2,16,0,0,3
0,0,0,1,1
0,1,2,0,1
1,3,1,3,0
4,6,0,1,2
2,0,1,4,1
0,0,0,0,31
0,0,0,3,96
0,0,11,0,0
0,0,1,2,0
3,0,2,0,0
3,1,0,0,10
4,5,1,9,6
7,2,2,0,0
