1,2,3,4,p
1,0,2,1,0
0,2,1,1,4
0,1,0,1,0
2,1,0,2,1
2,2,0,0,2
1,0,2,0,3
0,0,1,0,1
3,0,2,0,6
1,3,2,0,0
2,0,2,0,1
1,1,2,2,0
0,1,0,0,0
2,1,0,2,35
1,0,2,1,3
0,1,0,1,2
1,2,1,1,4
1,0,1,0,5
2,0,3,2,0
0,0,4,0,43
0,2,1,0,4
1,1,0,0,3
2,1,1,0,1
1,3,1,1,2
0,0,1,0,0
1,0,1,2,0
3,0,2,1,1
2,0,0,0,4
0,3,0,1,3
1,1,1,0,1
3,2,2,2,20
0,1,1,0,0
0,3,2,2,3
1,2,3,0,19
1,0,2,0,2
0,1,1,1,0
0,0,0,1,0
0,0,3,1,6
2,0,0,0,4
0,0,3,0,0
1,0,1,2,2
0,2,2,1,2
0,1,1,2,5
1,3,1,2,3
1,1,1,0,1
3,1,0,1,0
0,0,0,2,0
2,1,1,0,3
0,0,0,0,0
0,1,2,1,0
0,1,1,0,0
2,2,1,1,21
2,1,3,1,0
0,1,1,0,1
1,0,0,1,0
0,2,2,1,2
1,1,2,1,0
1,1,2,1,0
1,0,1,2,0
1,2,0,1,9
1,0,2,0,0
1,1,0,1,0
1,4,1,2,1
0,0,1,1,1
1,1,2,1,2
1,0,0,1,1
0,3,1,2,0
0,0,0,2,6
0,1,1,1,7
3,2,1,1,0
1,0,0,0,61
3,3,0,0,0
0,1,2,0,0
4,3,2,1,7
0,0,2,0,3
0,0,0,2,2
3,0,0,2,1
1,0,0,1,4
0,1,0,0,0
1,0,0,1,6
3,0,1,0,0
2,0,1,0,6
2,0,1,2,0
1,3,1,0,1
1,0,1,1,1
0,1,2,3,3
1,0,2,0,0
2,2,0,1,1
2,2,1,2,0
4,0,2,1,0
1,0,0,2,3
0,1,0,2,14
0,2,2,0,0
1,0,1,1,239
1,2,1,1,0
1,2,1,0,4
0,2,0,1,0
0,0,3,0,10
2,1,0,1,4
0,3,0,1,5
1,2,1,1,0
0,2,1,1,2
0,1,0,0,0
0,1,0,1,0
1,1,3,1,2
0,0,1,3,1
1,0,0,2,0
0,0,2,1,0
1,1,0,1,1
2,1,1,0,0
2,1,2,4,2
1,0,2,1,0
2,2,1,2,58
1,3,2,1,0
1,1,2,3,3
2,0,2,1,1
3,3,0,1,8
0,0,2,0,0
0,0,1,1,3
0,1,0,1,0
3,0,0,0,4
0,1,1,2,1
0,0,2,0,1
1,1,0,2,0
1,0,0,1,6
1,2,1,0,0
1,0,1,0,1
1,2,0,1,0
0,0,0,3,0
2,0,1,0,7
0,1,2,1,0
1,0,2,1,2
2,0,0,1,1
0,0,3,0,0
0,1,1,4,1
0,1,0,1,0
1,0,1,2,2
2,1,0,1,0
2,0,2,0,0
0,0,1,0,8
1,0,1,1,1
1,0,1,1,5
0,1,0,1,0
0,0,1,3,0
0,2,3,0,6
1,3,1,0,0
1,1,0,1,2
0,1,0,1,16
1,1,0,1,1
1,1,0,1,4
0,1,1,3,4
1,2,2,0,16
0,1,0,0,0
0,1,2,1,0
0,1,0,0,0
1,0,1,1,0
2,0,0,2,2
1,0,3,1,0
1,1,0,0,3
1,0,0,1,0
0,2,0,0,1
1,3,1,0,2
4,0,0,4,0
0,2,0,0,1
2,0,1,2,0
0,0,0,1,1
1,2,0,0,6
1,1,0,2,1
2,0,2,1,6
2,2,2,2,0
1,1,2,0,2
0,2,2,1,7
2,0,2,2,0
0,0,2,1,0
1,0,2,0,16
1,0,1,2,1
2,1,2,0,0
1,4,1,2,0
3,0,3,0,3
1,2,0,1,0
1,1,1,2,1
1,3,0,1,0
2,0,0,3,1
0,1,3,0,10
0,0,0,1,0
