1,2,3,4,p
200,1,0,0,1
8,2,1,0,9
1,2,1,0,18
0,1,0,2,0
1,10,0,0,0
2,2,0,2,0
0,3,9,1,1
5,1,0,0,1
3,0,0,0,0
2,0,0,0,3
0,7,13,0,86
58,396,12,1,1
1,0,1,1,0
6,4,0,0,40
9,4,3,9,1
1,3,0,0,6
0,1,5,1,11
3,0,0,2,2
3,0,74,6,1
1,0,1,0,0
1,0,0,0,0
2,0,1,14,14
0,3,3,10,0
0,15,0,0,12
3,0,1,0,1
0,2,0,4,1
2,0,6,0,12
10,0,5,0,0
2,2,1,1,3
28,5,2,0,0
2,0,5,0,0
6,1,1,0,1
4,8,0,1,1
3,0,9,0,4
2,41,19,17,8
0,0,0,0,0
2,1,3,0,2
24,5,45,15,1
13,0,1,1,1
3,32,28,1,8
3,0,2,11,9
1,0,1,1,0
0,1,0,10,0
19,6,0,0,1
6,2,4,5,0
0,0,48,0,0
1,8,0,1,4
0,1,0,0,0
0,0,0,15,1
10,0,0,0,0
0,15,6,95,0
6,5,1,0,2
4,32,1,0,3
0,18,2,0,1
0,4,3,1,0
0,5,0,2,4
1,3,4,0,2
0,0,0,3,7
1,0,0,46,2
2,0,10,0,0
7,0,3,4,1
2,0,0,0,0
2,0,1,27,0
1,4,0,3,4
0,0,13,3,3
0,0,7,0,0
1,2,0,0,1
2,3,1,2,1
2,2,7,7,13
12,0,3,0,3
0,3,0,0,0
0,126,1,3,0
1,12,0,11,2
2,2,2,0,4
1,16,2,13,2
1,4,3,1,2
0,1,0,1,1
0,0,13,1,0
3,12,0,0,12
7,1,4,13,0
0,0,2,0,1
61,1,0,2,1
1,0,0,1,1
1,0,0,4,0
1,18,1,0,5
0,0,0,8,1
1,3,1,0,0
4,29,6,0,15
1,0,0,4,8
12,0,0,12,0
0,2,50,0,0
0,2,0,8,2
0,0,0,1,3
0,1,0,0,2
1,67,0,1,0
1,1,37,0,3
4,1,9,0,1
1,68,0,18,2
9,1,0,3,1
17,0,2,9,0
7,0,2,5,0
2,0,9,0,33
0,4,2,0,11
45,0,0,16,0
0,3,0,0,0
0,0,0,0,2
0,14,1,5,10
0,1,0,3,1
0,0,0,0,1
2,0,4,6,3
6,1,0,12,0
0,1,2,0,0
0,1,5,0,0
0,1,0,0,0
11,5,1,0,2
0,35,5,0,0
0,11,0,287,1
13,1,13,0,2
14,0,3,0,0
0,1,1,3,0
31,3,2,0,33
1,0,0,0,1
0,1,1,0,6
0,4,0,0,4
1,1,0,2,0
42,3,0,1,13
5,0,2,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
1,1,0,0,1
8,5,1,3,1
3,1,24,15,2
0,3,4,58,252
0,0,9,1,0
0,1,1,2,5
6,1,0,0,0
0,10,2,7,1
11,1,2,12,0
2,0,0,3,2
4,1,5,42,0
0,9,0,36,0
16,6,4,0,0
8,1,6,1,0
1,1,0,0,0
1,1,2,0,1
8,0,3,4,0
3,3,4,0,0
22,5,0,1,0
0,3,2,1,0
3,0,0,1,0
56,2,1,2,3
13,0,3,0,0
0,0,3,0,11
9,1,1,1,1
7,9,2,0,0
3,0,0,0,2
0,3,0,0,12
1,10,6,31,1
7,12,0,66,25
0,0,0,0,0
48,0,0,0,0
2,3,1,37,2
3,0,0,33,3
2,0,1,0,0
13,0,0,0,3
3,6,9,2,3
0,17,0,5,0
3,4,11,3,3
0,7,1,0,5
5,1,0,811,19
1,0,0,27,9
5,19,0,3,3
0,7,1,0,6
3,28,1,2,0
0,1,0,1,10
1,0,21,7,11
0,0,0,0,1
0,3,0,8,4
10,4,6,0,2
2,5,2,1,10
5,0,8,0,1
9,0,1,6,0
0,1,0,1,5
7,2,0,11,1
1,0,2,13,1
0,4,0,1,18
2,0,0,0,21
0,28,0,0,5
0,66,0,3,2
0,0,73,0,0
0,0,0,0,0
16,2,5,0,0
0,7,27,3,0
1,0,1,0,1
2,0,3,0,2
0,5,0,0,3
0,1,2,1,2
0,2,1,1,2
1,5,0,0,1
0,3,3,0,1
8,13,0,4,22
495,0,0,3,7
1,7,0,2,0
5,1,0,1,0
0,13,0,11,1
