1,2,3,4,p
16,33,43,0,0
0,0,1,1,0
3,53,0,0,14
2,1,0,9,0
2,1,2,0,0
6,1,0,6,0
29,0,1,0,11
8,14,0,14,2
2,4,2,0,1
3,10,408,2,0
1,1,5,7,0
8,16,0,0,1
0,1,2,10,0
1,0,2,13,5
1,5,6,1,2
249,0,1,27,13
1,7,2,1,2
5,235,1,4,5
66,0,7,2,0
0,0,160,4,0
0,5,11,5,9
3,1,0,0,0
1,11,2,1,2
333,19,0,4,0
0,2,6,0,3
0,1,0,754,0
219,0,1,3,1
3,9,0,171,2
1,0,1,0,1
7,2,28,6,1
1252,6,2,2,0
2,1,4,0,1
7,65,0,1,0
0,0,0,0,0
5,0,0,0,125
0,3,0,0,0
0,0,2,0,1
0,0,0,0,2
6,0,0,2,2
4,21,0,21,1
0,0,9,0,0
1,1229,0,0,3
1,3,4,0,0
0,0,8,0,5
0,2,10,0,3
1,4,2,0,2
1,0,0,0,2
0,0,2,2,0
1,0,11,0,6
1,34,0,0,0
13,0,0,8,1
3,0,0,0,72
0,50,19,1,9
0,4,2,0,1
1,6,5,3,5
0,3,0,0,0
0,0,0,1,2
1,6,5,6,1
0,0,0,0,9
66,0,0,0,1
0,2,1,1,4
131,3,4,1,1
7,21,2,9,0
0,2,0,0,10
1,7,6,0,218
0,2,165,1,1
1,0,0,0,1
1,0,0,6,0
0,2,11,64,0
63,0,9,3,3
0,0,13,2,0
3,0,0,0,8
2,18,1,2,2
1,1,2,1,0
2,8,3,0,0
0,0,13,0,67
0,2,14,0,3
3,0,2,0,0
1,0,2,3,1
127,0,3,1,0
33,1,8,2,4
6,0,2,0,1
2,21,7,50,0
12,170,122,1,3
1,151,0,4,3
0,0,0,12,9
0,6,9,2,0
15,1,0,65,0
0,1,1,3,2
0,0,22,1,82
12,0,0,1,0
0,0,6,1,13
0,4,1,3,0
0,3,1,1,2
0,5,1,0,3
10,0,1,0,0
0,0,43,0,0
0,42,0,21,1
1,1,1,3,0
15,24,0,18,1
1,0,2,0,2
5,0,0,0,0
135,0,0,44,2
12,6,0,0,0
1,65,0,13,4
0,0,0,120,0
1,1,0,0,0
1,8,18,22,0
3,0,0,3,125
3,2,6,0,12
0,0,2,5,1
299,0,0,0,2
0,4,5,2,2
0,0,3,2,27
2,0,5,1,6
6,0,4,0,0
0,0,0,0,1
4,1,2,2,2
1,3,1,4,0
2,7,0,8,1
1,1,4,8,0
2,3,17,27,4
0,0,2,0,4
2,14,5,11,0
2,0,2,2,1
1,0,11,101,0
3,0,2,5,1
2,0,1,86,0
13,0,2,2,1
0,1,2,3,0
0,0,0,0,4
1,7,0,2,3
5,17,442,0,0
6,0,0,3,1
0,5,11,0,11
70,0,0,2,3
2,2,0,2,3
18,0,0,0,0
6,3,7,3,1
0,2,0,0,3
0,90,67,40,6
1,0,3,7,1
0,23,3,1,5
2,3,8,0,0
0,8,1,0,3
11,0,35,3,0
254,85,0,8,0
46,89,107,0,0
0,26,0,1,1
22,1,42,1,2
4,0,0,12,30
35,0,0,6,0
1,1,4,1,0
2,7,0,364,2
0,6,0,0,7
0,5,3,5,14
32,1,0,1,8
13,5,2,4,1
0,1,0,36,4
1,0,15,0,1
0,1,2,1,0
25,1,1,1,1
44,174,0,0,43
3,81,1,0,0
1,41,1,7,3
2,2,1,2,5
2,0,1,1,0
0,0,0,0,1
1,0,1,0,1
2,0,2,1,1
0,4,9,33,3
9,1,1,24,14
0,22,7,11,1
3,7,2,0,2
1,2,2,2,0
2,0,1,4,0
47,2,0,0,11
50,0,2,0,1
0,8,6,3,4
2,265,276,1,1
0,50,40,0,9
1,1,2,0,13
5,0,1437,1,4
3,0,0,0,5
0,0,40,0,1
9,1,3,1,4
4,3,7,0,0
1,0,0,4,6
0,2,0,1,9
2,2,21,6,0
4665,0,1,4,6
2,1,0,17,0
10,10,0,0,31
27,0,0,0,2
0,0,1,0,4
1,2,0,0,4
4,2,3,0,5
0,2,0,2,0
1,105,4,1,140
0,0,7,1,0
0,12,1,23,0
1,0,0,0,2
26,3,3,0,8
0,6,1,0,4
0,0,0,0,1
0,0,0,1,2
7,0,4,23,0
2,2,0,0,4
0,6,3,0,2
0,1,8,1,2
5,1,0,0,1
1,0,28,10,0
53,4,5,2,0
1,0,21,0,2
14,0,1,0,1
0,0,4,0,57
0,4,0,1,0
4,0,32,0,4
0,3,2,0,0
3,16,111,2,4
0,4,7,1,10
6,7,10,10,37
53,4,0,0,1
1,3,0,5,1
6,0,1,1,9
4,5,3,4,7
0,0,2,3,7
21,0,0,0,25
0,3,59,7,0
0,19,0,0,0
0,17,5,20,0
13,11,1,2,9
0,0,0,0,1
0,0,0,3,2
0,32,20,2,2
8,4,0,0,19
0,4,0,0,3
2,0,0,0,2
2,1,2,6,2
29,0,5,1,0
1,6,0,0,7
0,42,0,4,2
7,0,0,1,1
35,1,0,0,3
1,1,0,1,1
4,6,0,4,6
11,1,0,4,4
0,11,0,15,0
3,2,0,0,2
0,0,1,1,0
7,3,2,4,0
6,0,14,6,0
6,9,826,15,14
0,2,71,25,8
2,7,0,0,1
6,6,23,0,9
4,1,0,1,1
0,0,1,0,2
1,4,0,7,2
3,1,0,5,0
2,0,5,12,0
2,1,178,0,26
0,105,0,3,0
51,0,3,7,2
1,8,0,0,0
0,0,0,85,0
4,2,37,0,0
1,4,6,0,0
0,1,29,0,2
89,0,2,3,0
3,1,1,0,17
1,4,1,0,0
1,7,9,0,6
0,2,0,19,4
8,10,0,0,2
3,0,189,21,2
12,12,127,1,0
0,37,0,0,1
0,0,0,3,3
0,2,1,2,2
23,0,0,4,1
27,0,0,0,1
0,0,0,5,0
3,0,1,0,0
1,44,8,0,3
11,1,1,1,7
7,0,1,2,0
6,0,2,7,1
10,3,5,3,1
6,0,0,1,1
0,0,2,57,0
8,1,1,0,3
2,2,29,5,12
0,1,0,150,2
7,43,0,4,3
0,9,48,0,1
0,5,0,2,2
92,0,15,0,0
3,10,0,22,43
17,0,0,2,0
0,10,5,0,1
4,0,0,1,0
1,17,0,2,8
1,0,1,1,2
0,0,1,0,4
20,8,7,6,0
0,104,8,3,0
52,4,1,1,0
0,0,0,3,0
1,3,0,1,2
0,37,0,3,0
40,144,15,60,2
11,0,4,5,12
30,4,9,3,0
7,4,1,55,2
5,39,3,2,1230
11,1,0,17,31
0,0,0,0,0
5,0,2,0,0
1,3,5,0,1
13,1,310,2,1
4,1,28,2,0
5,0,6,9,0
12,2,29,0,20
0,2,0,0,1
3,0,18,3,31
0,7,6,0,1
1,1,0,6,7
0,1,0,5,0
10,0,0,2,4
5426,0,113,4,16
0,0,0,0,0
0,1,3,3,18
1,0,0,0,0
0,1,2,0,1
3,0,0,1,1
8,0,2,0,5
3,3,0,1,3
0,8,0,0,2
0,1,2,0,38
13,9,2,0,1
11,0,3,0,1
14,2,0,87,31
10,3,3,2,0
2,0,2,0,0
1,1,0,2,1
3,1,0,8,60
1,40,0,0,15
4,1,6,1,0
3,84,0,4,4
1,0,0,1,0
1,4,24,0,1
0,3,0,14,0
0,2,0,2,0
6,1,0,5,0
2,13,0,1,0
12,1,16,2,0
0,1,8,6,2
0,4,0,0,2
0,0,0,0,1
0,0,5,0,1
0,32,0,12,1
0,1,2,0,2
0,6,0,0,0
1,1,3,20,17
7,3,1,0,2
2,0,0,0,6
31,0,0,0,1
1,0,9,0,1
13,6,3,3,7
0,0,1,0,0
0,43,8,3,7
0,0,0,1,0
5,3,1,3,0
0,0,0,3,3
0,1,0,0,0
15,0,1,9,0
0,12,1,0,2
0,21,1,0,0
1,0,0,0,11
1,0,0,0,0
1902,3,0,0,0
1,4,0,0,0
152,0,3,0,10
3,0,0,0,0
2,0,496,45,1
0,38,0,0,0
820,0,30,4,1
0,1,36,3,0
0,7,33,1,0
0,1,3,16,1
4,0,0,2,2
149,46,0,0,5
0,0,11,13,0
15,0,3,0,4
1,9,1,3,1
7,2,4,3,1
0,0,6,2,6
5,3,0,1,0
51,10,0,3,0
6,0,1,0,14
26,5,1,202,0
0,2,41,1,0
1,0,0,1,1
0,2,0,5,0
0,126,0,11,1
0,0,2,0,0
1,7,0,27,0
6,1,0,0,2
3,7,0,0,1
7,0,0,7,10
3,47,1,0,1
5,3,6,1,0
1,6,286,0,5
2,42,1,3,3
12,1,1,0,3
25,0,3,0,8
58,1,1,1,4
4,0,1,5,4
1301,0,1,4,0
0,1,3,2,0
95,1,0,15,2
1,0,1,0,0
5,7,5,2,5
0,2,14,0,24
46,54,147,91,13
0,11,11,0,10
92,0,18,0,0
4,1,1,38,1
22,7,0,5,6
0,0,0,2,4
7,5,3,47,1
1,1,4,3,7
0,1,2864,0,1
0,451,0,64,2
286,32,0,2,0
3,4,0,0,0
0,0,5,0,0
5,1,5,2,0
2,0,2,1,0
