1,2,3,4,p
0,5,1,3,16
1,0,0,0,5
0,0,0,0,53
6,1,1,1,0
8,0,9,12,12
1,3,8,0,0
0,1,0,11,4
0,0,2,4,1
1,2,0,26,16
0,0,3,0,6
0,0,4,4,0
3,10,6,1,8
1,377,1,0,1
12,1,0,0,0
0,2,12,1,5
14,0,0,4,1
1,1,10,8,5
1,1,0,1,0
0,0,85,0,1
2,1,6,0,1
1,0,0,1,2
0,0,0,0,5
2,25,0,1,2
0,1,0,5,0
3,3,1,1,5
1,2,6,1,1
0,2,1,7,0
1,43,9,0,1
0,0,1,0,3
2,10,0,1,0
9,0,1,1,1
2,2,0,94,1
2,0,2,0,6
3,1,1,0,37
0,0,0,4,0
1,3,4,2,0
14,0,0,3,1
2,0,10,0,0
0,0,0,2,1
8,3,1,10,30
3,18,3,2,0
3,6,3,0,1
1,2,11,0,2
0,1,6,3,1
6,0,0,3,1
1,0,13,1,0
3,51,0,8,3
1,3,68,0,2
0,2,3,5,0
2,0,9,3,1
0,0,1,5,55
1,3,2,5,0
0,8,10,1,4
1,0,2,0,2075
1,2,0,1,5
0,5,3,1,1
9,1,0,0,4
0,0,12,2,1
1,5,0,12,1
0,0,0,3,11
0,0,0,1,1
0,19,0,1,2
0,9,0,1,0
16,0,7,2,3
6,0,0,2,3
1,1,7,0,2
31,1,2,1,2
0,3,1,0,5
0,0,1,21,304
4,1,0,0,1
10,2,1,30,0
0,2,0,2,5
1,1,0,1,23
0,0,2,0,4
0,4,3,0,2
0,0,0,1,8
3,1,1,2,15
0,17,2,0,4
1,2,0,0,0
0,21,0,6,7
0,2,3,14,0
3,1,2,13,0
96,1,0,0,0
0,7,0,0,5
3,9,3,0,0
3,2,0,5,0
91,7,0,1,0
0,2,0,0,0
36,3,0,1,0
11,1,1,0,5
1,7,6,1,4
0,1,1,3,0
0,1,0,2,0
0,0,1,1,0
0,0,1,1,0
10,14,6,6,0
10,0,1,2,30
0,1,0,3,2
1,0,2,25,1
2,1,2,3,0
6,0,2,0,8
1,6,4,11,2
1,0,2,0,8
0,3,16,1,10
1,5,8,0,0
0,3,1,0,2
2,22,1,2,0
1,0,0,4,28
0,2,5,2,3
5,19,7,0,0
1,0,0,1,0
1,3,7,0,20
1,1,0,0,0
5,0,10,1,4
0,2,0,0,2
1,0,0,0,8
4,2,2,1,4
0,0,3,3,8
2,0,0,1,2
0,1,0,0,4
0,2,7,2,0
0,0,2,9,0
9,2,0,2,9
1,1,2,1,0
3,0,2,11,0
0,0,0,0,34
0,2,3,0,6
7,3,77,0,3
1,2,19,0,4
1,0,6,0,37
1,0,0,8,3
5,0,0,2,2
0,1,0,0,0
10,1,0,6,16
0,5,3,0,0
0,4,20,0,6
1,2,0,1,1
0,1,2,5,0
3,1,23,0,3
2,2,0,1,41
6,1,2,0,0
0,0,0,0,2
0,2,0,0,0
0,1,2,7,16
4,1,3,0,4
0,2,0,0,0
0,2,0,16,0
1,18,50,0,3
10,15,0,18,3
0,3,2,3,0
8,0,2,0,2
0,4,4,17,0
2,1,1,1,1
0,4,4,24,2
5,0,0,0,9
1,2,3,0,2
1,1,1,0,5
0,1,19,1,11
0,1,0,0,0
8,7,0,0,19
1,3,0,0,0
0,0,4,0,0
1,1,0,0,1
0,0,0,0,6
0,0,0,0,30
1,0,0,1,7
44,15,0,0,0
0,1,1,3,3
4,0,0,0,7
3,1,0,3,0
0,1,3,1,1
5,4,0,0,3
4,10,1,0,4
0,0,0,3,2
0,3,5,1,0
0,0,2,1,1
0,7,6,0,0
0,0,2,0,3
0,1,5,0,1
4,0,0,1,0
24,4,0,0,2
0,5,0,6,4
3,0,4,1,3
0,0,6,1,1
0,1,7,0,0
2,2,1,2,0
9,0,1,3,7
37,0,0,0,0
0,6,0,0,0
2,1,0,1,6
0,3,12,0,0
2,6,2,6,1
0,0,1,0,3
3,11,0,0,1
5,0,0,1,1
0,0,0,2,5
1,2,0,1,0
1,4,1,1,1
0,6,0,1,11
3,0,0,11,9
1,3,1,0,0
5,1,2,0,1
10,0,2,3,3
0,3,5,4,0
2,0,23,0,0
3,3,20,3,20
1,0,0,0,17
0,0,6,0,3
0,3,1,1,1
1,3,0,0,3
0,1,2,1,1
0,0,2,0,0
1,4,10,1,137
0,4,0,4,0
2,0,0,0,2
4,0,0,0,2
1,0,1,1,3
16,1,0,11,0
71,0,2,1,27
11,2,3,1,1
1,1,1,2,0
0,0,3,3,0
0,0,2,0,1
1,0,0,0,2
1,1,0,0,4
5,1,5,11,0
0,3,11,0,0
4,29,0,0,0
1,4,0,1,8
0,0,0,3,4
13,0,3,0,3
0,7,0,1,11
5,4,0,0,1
3,5,5,2,26
1,1,75,3,6
0,2,2,0,9
30,1,1,0,3
11,1,5,1,0
17,0,0,0,0
6,0,0,8,22
0,5,6,2,2
1,1,0,5,1
0,0,19,0,1
0,0,0,0,0
1,3,0,0,0
1,0,4,2,1
1,19,0,8,1
2,2,1,2,0
9,13,0,0,5
3,1,7,25,0
3,2,0,0,12
2,0,0,1,1
20,38,2,17,5
19,3,1,2,0
10,1,0,0,1
2,5,0,4,0
1,0,0,5,1
6,1,1,0,1
3,2,1,1,0
5,5,0,1,3
0,2,0,3,3
4,2,0,21,1
2,17,2,1,1
2,0,6,5,6
0,0,2,0,1
7,2,0,0,0
9,0,0,0,0
0,1,6,3,0
2,1,1,11,0
0,1,7,5,1
1,0,1,1,15
1,3,15,12,1
1,5,0,0,0
12,10,2,5,4
0,0,0,0,50
5,4,0,1,3
3,1,0,0,6
3,6,3,0,4
8,5,2,1,1
1,0,0,3,0
0,0,0,0,0
0,17,2,1,0
3,4,42,0,0
1,0,2,8,5
14,21,1,9,6
2,3,0,3,1
2,0,5,4,0
3,0,30,0,0
0,2,3,1,0
1,2,4,0,9
0,6,0,0,6
18,2,2,0,2
2,4,5,9,4
4,4,0,0,0
4,4,6,1,0
2,0,0,4,8
0,0,1,1,1
2,1,3,0,0
2,0,0,4,63
0,2,8,0,2
4,2,3,0,2
2,4,1,1,14
0,1,1,0,1
12,1,1,0,3
0,5,4,2,2
0,2,0,0,2
0,45,8,3,0
2,3,0,0,3
0,47,0,4,0
4,0,5,1,5
0,0,1,1,5
0,2,0,3,1
13,3,7,4,0
1,9,0,0,1
20,3,15,1,0
0,2,0,1,34
0,0,1,4,4
0,2,0,18,1
12,1,17,1,2
0,1,4,2,2
0,0,0,0,3
1,0,3,2,2
2,8,5,0,8
1,0,0,1,2
9,5,4,0,1
0,1,0,1,0
0,4,3,0,3
0,0,1,0,12
1,4,0,0,2
0,2,0,4,26
0,4,1,2,88
9,3,3,5,2
9,30,0,0,1
0,15,0,1,1
1,0,0,16,1
0,0,3,0,0
5,1,0,10,62
0,18,5,23,0
0,1,2,29,0
2,1,0,4,27
1,2,0,1,3
1,0,8,3,0
1,2,3,3,7
1,0,7,1,1
100,0,1,5,7
1,0,1,0,0
6,2,1,2,3
2,5,0,1,217
1,3,14,1,6
0,0,0,0,2
0,1,3,2,2
1,1,1,23,1
1,0,2,1,2
0,3,0,1,8
5,1,6,10,0
2,6,2,1,0
0,1,0,7,0
3,1,3,0,2
1,5,4,0,3
1,0,4,0,0
2,2,0,0,5
0,1,2,0,0
0,1,0,0,2
3,0,1,2,0
3,0,0,0,2
6,4,4,2,0
1,23,4,0,3
3,5,0,0,0
0,5,4,2,1
1,0,0,0,5
137,1,1,2,7
5,2,0,1,0
1,3,1,0,5
1,5,7,13,0
3,1,3,1,0
2,6,3,2,1
0,3,4,3,1
0,0,2,5,0
0,0,0,1,502
4,0,0,0,4
2,3,6,4,6
6,3,0,0,2
1,19,13,0,1
3,1,7,2,0
2,0,9,0,219
1,4,0,1,0
0,0,4,2,1
2,16,10,1,0
3,13,0,2,3
476,0,0,3,1
0,10,5,6,0
0,0,36,2,17
0,0,0,0,14
0,1,0,2,1
2,0,0,1,3
0,0,7,3,4
0,0,3,3,0
7,36,1,0,0
4,118,1,2,0
0,1,0,1,3
2,1,2,4,3
5,0,1,0,4
0,2,1,1,12
0,0,0,1,0
0,0,0,1,1
1,0,0,0,9
0,1,0,2,0
4,0,11,1,0
6,0,0,0,0
0,3,1,0,0
1,4,2,0,3
0,1,0,2,10
3,1,14,5,1
0,0,2,3,4
0,1,4,5,0
0,0,6,0,0
0,0,1,6,7
0,0,2,1,0
0,0,0,1,15
11,8,0,2,0
78,1,1,0,4
1,0,1,0,1
0,6,1,13,0
6,1,0,0,0
2,4,56,0,0
1,3,0,8,5
0,9,3,5,2
2,16,0,0,2
2,17,0,1,3
1,1,0,7,4
0,7,13,0,0
14,1,1,0,3
0,0,3,4,5
2,1,0,5,30
2,1,7,0,1
2,3,0,12,12
1,6,0,2,0
0,0,2,45,1
1,3,2,2,0
0,1,1,2,5
4,0,0,32,0
0,0,3,0,0
5,1,0,0,3
0,0,4,0,0
5,2,1,0,1
0,42,130,57,8
1,5,2,0,5
3,0,1,1,4
0,1,1,2,12
1,1,0,0,11
1,0,1,0,2
0,2,2,0,0
2,1,0,3,12
1,0,4,34,4
11,0,0,66,3
0,4,1,0,1
4,13,5,2,2
1,5,2,0,0
2,1,2,1,1
0,2,10,28,11
35,7,0,22,3
8,3,0,0,2
0,9,0,8,1
0,0,3,6,0
0,0,2,10,1
1,5,1,0,1
0,1,47,0,0
0,0,2,1,1
2,0,0,7,0
1,0,5,1,1
0,8,0,4,1
8,0,10,4,1
3,1,0,0,15
5,10,4,11,13
0,1,0,5,3
1,0,12,2,42
1,0,4,2,0
3,2,0,6,0
3,1,5,11,116
8,1,12,0,22
4,2,0,1,33
0,0,14,1,10
0,8,7,1,3
7,0,0,2,0
6,1,0,1,3
0,0,3,0,1
0,0,0,1,0
12,7,0,0,0
0,0,0,2,4
0,1,1,4,7
2,27,1,0,0
0,0,9,1,0
2,0,0,0,0
0,0,1,0,1
0,7,0,3,1
0,3,2,0,17
3,2,0,2,1
0,79,6,0,0
2,7,1,0,0
0,3,0,1,6
28,0,1,3,0
8,0,282,6,8
0,0,0,1,0
0,2,4,4,0
4,0,0,2,1
9,4,4,1,1
0,5,2,5,3
1,1,1,5,0
3,0,0,6,108
1,11,0,5,1
13,6,2,5,7
1,5,0,1,1
0,15,1,0,0
0,3,0,3,2
95,3,5,0,2
2,4,0,1,1
2,6,0,3,7
3,4,1,1,4
1,10,1,11,29
1,1,6,4,3
40,11,0,3,0
0,0,3,1,1
5,0,5,3,16
3,2,3,1,0
7,0,1,3,1
1,0,5,0,4
10,0,4,2,1
