1,2,3
6731705,3346863,555897
6732096,3350864,556015
6731673,3346639,557009
6732132,3342802,556101
6735103,3341978,555378
6727939,3347705,554417
6730621,3344868,555950
6730468,3348104,555097
6732762,3351204,555890
6736801,3350984,556676
6730671,3347713,556185
6736831,3346427,556384
6731321,3349512,556826
6735023,3348147,557028
6729950,3342955,556752
6734829,3346428,557409
6732214,3349465,554804
6735388,3348229,556708
6732546,3346298,556660
6733584,3346501,557575
6733199,3348736,555113
6731139,3347173,557159
6731364,3347499,555820
6733072,3349813,556009
6736202,3346380,557421
6728337,3347731,556502
6735931,3348157,557785
6738460,3349926,557680
6732375,3344842,556657
6726861,3348826,556266
6727403,3347875,555970
6734246,3351266,555998
6730285,3350754,556108
6734487,3348446,557287
6730948,3348217,557168
6732277,3351019,557124
6733895,3344261,558318
6734563,3346973,556364
6736657,3349742,557241
6730404,3349905,557126
6729560,3348120,557613
6730240,3348188,555878
6730984,3346637,556420
6728534,3347751,555549
6727229,3345621,556833
6735010,3347739,555629
6732424,3349785,554771
6734579,3345441,555263
6732000,3345529,555903
6736443,3350263,556190
6735036,3347769,556678
6732793,3348079,557450
6730602,3345963,555263
6732319,3347235,556612
6739870,3344993,556790
6731614,3344648,556419
6733346,3345720,555369
6727911,3347396,556836
6734267,3348164,556972
6729646,3348980,556372
6731231,3351224,556514
6733258,3344796,558088
6734537,3348080,556882
6729100,3346483,555934
6733300,3348046,556403
6733617,3349231,555572
6734101,3347438,554955
6734641,3347514,557112
6732553,3350973,554305
6730783,3352477,555470
6734477,3347371,553915
6730207,3349244,556542
6733402,3346039,555090
6731584,3344267,556949
6733765,3349326,556205
6736570,3349471,555623
6728283,3349171,556967
6736198,3346697,556303
6733232,3349323,557111
6735120,3346702,556692
6732791,3349381,556737
6730088,3344860,554841
6740490,3345280,556775
6733129,3346071,556273
6735279,3346246,556515
6736081,3350206,557046
6733922,3342364,557474
6735086,3349449,556610
6729022,3350971,557952
6733275,3348157,555928
6736352,3349002,555878
6735068,3349137,555930
6735859,3351136,555565
6730192,3348230,557039
6733766,3351686,555277
6725075,3351868,557427
6735443,3347990,557060
6734700,3346589,556660
6731541,3344897,556119
6735178,3344970,556106
