1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
16,2,1,0,0,1,1,14,9,33,0,0,0,0,0,5,0,0,0,2,0,1
0,2,11,7,4,14,0,0,0,11,1,69,9,7,1,0,2,2,1,1,1,1
3,1,83,0,2,0,4,6,1,1,0,3,0,0,1,2,0,0,0,0,1,0
0,0,2,1,1,8,6,1,5,6,0,1,1,7,24,1,4,1,13,4,0,2
18,3,3,0,0,12,3,0,0,8,0,2,3,0,1,13,0,2,2,1,4,19
0,1,0,7,2,2,5,0,0,0,1,2,0,0,208,3,0,1,4,4,1,1
7,0,0,0,1,0,0,10,0,19,17,0,1,0,3,1,1,5,0,1,0,3
1,1,2,0,4,3,8,2,1,0,0,0,4,0,0,0,0,15,1,0,2,0
0,0,9,4,0,6,1,0,98,1,0,0,4,7,3,0,64,3,0,5,0,0
7,0,0,2,1,0,0,3,9,1,2,2,1,0,2,0,3,3,0,0,0,0
0,1,1,5,31,0,0,8,3,1,0,0,7,0,3,1,1,1,0,0,3,2
2,2,1,10,3,0,1,8,2,5,0,5,2,23,16,0,0,0,1,0,10,0
0,2,4,0,0,2,0,8,1,1,1,0,4,1,8,0,0,0,0,0,0,0
19,6,1,0,0,8,0,2,0,1,3,0,0,0,0,4,1,1,1,21,2,1
2,0,0,3,0,0,0,37,2,0,5,1,1,0,2,121,0,2,0,4,2,0
2,53,1,1,0,3,11,2,0,7,4,0,3,6,9,2,0,0,0,4,12,3
1,14,0,0,0,16,0,3,0,0,0,0,2,1,4,0,0,4,3,2,1,4
2,3,0,3,1,1,0,4,0,7,12,13,1,0,1,3,4,2,1,1,1,5
0,1,0,0,0,1,21,2,7,1,4,1,1,1,4,3,2,2,0,0,2,0
6,0,0,2,15,1,1,2,44,4,1,1,3,9,0,2,1,1,0,1,1,0
1,5,0,1,2,0,13,1,0,0,4,2,0,3,2,18,3,18,1,1,0,4
0,6,6,2,0,8,10,8,2,0,1,1,0,1,14,2,0,7,0,4,1,3
1,4,6,0,236,4,0,0,9,8,4,1,0,0,0,10,3,1231,6,3,0,0
0,2,0,8,28,2,1,2,0,1,6,1,10,16,0,6,0,2,0,0,0,1
0,0,1,8,8,20,1,2,0,3,0,2,1,0,1,1,0,0,42,1,1,0
2,0,14,1,0,0,5,3,0,22,0,3,0,1,0,0,2,2,3,2,1,6
0,14,0,6,18,12,0,2,3,1,0,0,1,0,1,13,0,1,0,0,0,4
0,14,16,0,0,90,0,0,1,3,3,4,4,0,1,21,0,5,0,1,6,0
6,3,1,4,14,2,18,4,1,0,3,1,3,0,1,1,3,4,1,0,1,10
14,1,0,0,0,2,1,4,1,0,9,4,1,5,0,10,0,1,3,1,3,0
2,1,0,0,1,0,1,0,0,2,9,3,7,0,2,4,3,4,1,2,6,1
1,8,0,2,1,4,69,1,0,0,1,0,9,0,0,7,5,1,2,1,0,3
0,2,11,3,0,0,49,1,2,0,1,0,0,4,6,0,6,1,1,3,1,37
0,2,0,0,0,0,1,52,2,0,0,132,4,0,1,1,0,2,16,11,2,0
11,3,2,0,0,0,1,1,4,0,0,8,11,1,1,2,0,0,0,1,2,4
0,1,5,0,67,5,0,7,0,0,2,2,0,0,13,0,0,1,0,1,0,3
8,89,2,10,6,0,2,1,0,0,3,4,1,0,0,0,4,0,5,0,1,2
0,0,0,2,0,5,15,0,2,0,0,2,7,0,4,1,3,0,1,0,1,0
4,4,1,18,0,16,2,0,11,0,0,2,3,0,0,0,2,1,0,1,1,2
0,2,5,0,9,3,0,1,0,3,1,9,3,0,2,4,1,42,0,1,11,659
1,7,3,0,14,0,4,2,5,0,1,214,4,1,2,3,0,0,0,0,5,0
83,2,2,0,0,0,0,1,1,0,1,3,5,13,1,0,0,0,2,1,1,18
0,13,0,0,3,0,1,7,2,22,1,3,1,0,0,1,1,1,0,0,0,0
2,1,0,1,4,0,3,0,0,2,5,9,1,3,0,0,4,0,0,5,1,0
4,1,0,1,0,0,5,20,0,0,0,0,1,0,0,1,1,1,15,2,0,0
4,1,10,0,3,1,4,1,3,5,0,17,1,3,0,0,12,9,1,3,1,0
9,0,1,0,2,4,0,1,0,1,1,0,2,4,1,1,0,0,0,1,1,0
1,3,0,1,0,2,0,1,0,0,0,0,4,32,0,2,3,3,0,0,1,1
1,5,22,0,0,3,0,4,3,3,0,2,0,0,0,0,2,1,4,0,4,2
1,0,252,0,1,0,9,23,2,40,1,0,0,24,2,7,0,1,4,2,594,3
8,0,0,3,25,10,0,1,1,0,0,1,2,0,1,0,8,0,8,0,2,1
13,4,0,3,1,1,4,6,0,18,0,15,1,2,0,2,0,1,0,0,0,8
16,1,1,0,1,0,0,0,2,13,2,0,0,1,9,1,4,1,2,4,1,17
34,0,22,1,2,0,0,0,466,3,5,6,2,2,2,0,2,1,36,1,4,47
91,1,56,2,61,0,2,1,0,0,11,0,0,0,0,3,0,3,0,4,0,1
0,1,0,2,2,0,0,3,4,1,0,0,14,14,1,0,5,0,1,0,1,6
0,0,1,19,16,1,0,2,1,0,0,32,0,2,5,0,1,49,0,0,2,32
6,4,0,1,2,5,0,4,3,0,0,0,4,3,0,0,0,73,0,1,0,0
7,27,0,10,3,1,1,0,1,14,0,2,4,4,1,6,0,3,0,1,1,1
0,4,1,0,2,1,8,1,49,0,8,4,0,23,0,5,3,2,0,1,1,5
5,0,1,0,38,0,3,3,6,1,1,0,2,0,1,2,2,2,0,1,1,10
2,0,25,2,5,11,11,1,1,3,1,0,0,2,0,4,2,0,0,1,1,0
3,15,2,0,9,0,0,2,6,42,5,2,10,0,3,4,2,1,0,6,0,0
1,3,4,0,1,9,2,3,0,2,2,2,2,0,1,18,39,0,2,0,5,17
0,1,2,23,3,15,0,7,3,1,0,3,0,0,1,0,1,27,1,28,1,0
2,0,29,22,2,3,0,1,0,3,0,3,1,0,0,5,0,13,1,10,0,0
