1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
2,0,0,0,1,1,2,0,3,2,8,2,0,0,0,1,1,8,1,0,2,3,0,1,1,2,0,2,0,1,2,0
0,4,0,3,3,0,2,0,0,1,0,0,0,1,3,2,1,2,1,1,1,9,1,0,1,0,2,3,1,1,1,1
1,0,2,0,0,1,1,6,1,0,0,12,16,2,11,1,0,1,83,1,0,8,0,2,3,97,6,1,1,6,3,2
2,12,3,9,3,1,0,25,0,1,0,0,2,0,0,79,18,1,0,0,2,2,50,0,1,7,1,1,1,2,2,0
0,2,3,2,0,0,0,10,5,1,1,0,1,10,3,0,1,0,2,5,5,2,1,4,1,1,0,2,0,1,0,1
0,0,7,0,2,0,0,1,2,0,3,0,0,5,2,3,0,2,0,1,5,1,0,1,13,1,1,0,1,5,0,6
2,2,2,101,0,0,4,0,2,3,6,4,1,0,10,0,1,36,1,8,8,6,2,0,0,1,8,0,1,0,0,1
1,1,3,13,0,4,1,0,2,14,0,1,0,1,0,7,4,19,0,1,0,4,1,0,1,0,1,1,2,0,4,3
0,1,1,0,2,3,4,0,0,4,13,3,4,0,2,7,0,1,34,6,1,2,0,50,0,3,2,10,0,1,0,6
13,1,9,2,559,1,37,23,2,0,0,2,2,1,0,1,0,3,1,7,5,2,0,26,1,3,0,1,2,0,1,2
0,6,3,5,2,1,0,0,1,0,0,3,0,1,1,13,1,1,0,0,1,1,0,1,2,1,0,0,0,0,0,0
8,0,2,3,0,0,6,2,1,0,4,2,0,0,0,0,2,0,1,3,2,3,0,33,3,1,9,1,1,1,0,9
1,30,1,1,3,3,3,18,6,2,10,7,0,1,13,0,0,1,1,3,1,0,1,1,5,0,0,2,0,0,0,0
1,3,19,0,5,1,1,0,0,0,3,1,3,1,0,11,3,1,1,0,3,0,0,1,4,3,1,0,1,0,1,1
124,6,3,0,0,4,0,3,2,0,0,2,0,2,1,1,0,0,0,1,1,12,28,0,1,1,0,3,1,3,0,2
26,4,0,3,6,0,0,1,3,1,0,0,6,0,29,9,1,1,4,7,54,1,1,1,4,1,7,1,2,5,0,2
7,6,3,2,0,1,1,0,0,22,1,0,4,3,0,4,0,0,0,0,2,1,0,0,64,1,5,3,1,2,1,1
8,2,0,1,1,1,4,0,4,7,3,21,0,2,2,0,9,1,4,0,0,1,2,4,1,1,2,1,0,2,1,2
31,3,2,0,35,0,1,0,0,2,0,2,4,0,2,20,1,1,12,0,0,16,2,7,1,1,27,1,1,3,0,1
1,45,7,4,1,0,38,7,6,92,1,0,0,0,1,11,0,4,0,9,1,0,2,1,1,1,1,0,1,1,2,4
6,2,0,0,1,0,1,12,14,1,3,3,0,3,1,2,13,4,0,1,3,1,3,0,0,0,1,1,4,1,2,0
11,1,4,0,1,0,0,2,3,6,0,17,2,3,0,13,0,1,8,0,0,3,0,4,0,2,2,0,1,1,1,1
3,2,0,0,4,1,0,1,2,62,4,9,0,0,2,0,5,13,2,3,85,3,1,0,9,17,7,0,0,1,2,0
6,3,2,0,1,22,0,18,1,2,0,1,0,190,1,5,35,0,0,0,3,49,28,0,1,5,2,5,4,1,0,1
8,2,0,0,0,3,0,0,1,0,1,1,18,1,3,6,1,3,0,5,0,1,0,16,0,3,2,1,0,1,2,0
6,0,2,1,1,18,2,2,7,1,1,1,2,3,0,2,2,10,2,0,3,0,10,4,1,2,3,0,0,2,2,2
3,0,4,1,4,1,10,0,0,9,1,0,1,0,0,13,0,0,0,0,1,5,3,1,0,6,1,0,1,0,5,8
0,41,0,0,0,4,2,11,0,0,0,2,3,0,1,0,0,0,7,3,0,1,8,2,2,3,1,1,2,0,1,20
1,1,0,0,0,0,5,8,0,1,0,6,10,17,3,1,1,2,2,1,27,3,0,0,1,0,0,2,1,222,2,0
