1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
6,3,3,146,3,0,0,2,0,1,4,14,0,0,42,0,1,7,14,3,5,13
1,2,14,2,4,8,8,0,1,2,0,2,3,2,0,0,6,2,0,10,1,0
0,38,84,1,7,0,0,1,3,0,7,0,1,0,2,6,0,0,4,2,1,0
2,0,9,0,7,10,1,8,5,0,1,9,0,3,5,20,1,1,4,2,2,1
2,8,0,0,1,11,1,1,25,9,0,0,213,2,1,0,21,11521,6,2,23,4
0,1,0,6,0,13,4,0,0,15,0,0,3,1,0,0,0,3,4,2,1,1
15,0,0,0,0,1,53,2,4,7,0,0,0,8,1,1,6,2,55,0,1,10
5,4,8,4,12,0,2,1,3,7,9,1,0,1,13,1,0,0,0,1,2,0
0,0,16,65,0,0,1,0,0,0,0,0,10,0,10,2,1,4,0,6,0,2
5,4,1,0,0,4,0,0,8,1,45,1,1,1,0,0,0,2,0,0,0,0
0,4,1,14,1,7,1,2,1,0,1,2,8,0,8,0,2,4,3,0,2,3
0,4,1,1,8,13,1,4,1,4,0,1,18,8,3,9,0,0,3,4,1,0
0,0,3,2,0,6,0,1,4,1,2,5,1,2,0,4,0,0,2,9,0,3
3,2,1,2,4,0,9,21,10,1,6,1,4,3,37,1,5,4,1,1,0,0
2,8,334,7,21,0,0,2,4,0,2,10,2,0,0,1,0,7,6,0,3,0
5,0,0,0,5,19,0,1,2,0,0,1,1,0,1,9,28,8,10,1,56,1
3,3,0,1,0,5,3,0,1,8,0,0,0,0,0,23,1,1,8,1,4,8
1,2,2,0,4,3,0,17,26,0,0,7,0,0,0,3,1,0,3,0,0,2
0,2,14,12,1,1,2,3,1,5,1,0,0,5,1,0,0,7,7,47,84,5
0,2,7,1,0,1,8,0,0,1,8,6,0,4,1,4,1,4,0,1,1,3
23,0,1,0,3,0,3,1,0,6,0,0,3,0,0,0,0,74,0,11,2,3
1,0,2,0,0,0,0,2,1,1,0,1,0,1,0,1,2,5,1,6,1,22
4,0,2,1,1,0,18,1,2,0,0,1,0,1,2,0,0,1,0,2,0,0
0,7,6,0,1,0,1,0,2,1,0,0,0,0,26,0,0,2,1,0,2,1
1,1,0,3,0,0,1,6,1,7,0,3,15,0,10,2,4,2,1,1,3,1
3,0,2,28,1,2,12,4,18,1,1,1,0,1,0,1,2,2,2,0,1,2
3,1,0,1,0,24,0,13,18,0,0,0,1,2,0,0,1,0,0,6,0,0
3,0,13,17,0,0,0,1,5,2,3,8,26,2,5,2,2,206,0,2,0,3
0,36,1,0,2,0,30,10,0,2,4,1,2,0,0,0,1,0,2,3,1,0
19,14,0,0,5,7,2,2,0,1,1,13,1,0,1,3,0,0,0,1,268,1
0,0,0,11,14,0,0,7,0,3,6,0,0,0,0,2,1,2,0,0,0,14
13,1,29,0,0,2,1,3,8,0,5,6,14,1,4,0,0,0,5,7,0,8
0,3,1,0,0,0,0,0,0,4,6,4,1,31,0,0,27,0,5,5,1,6
0,3,31,5,0,2,0,1,0,0,1,15,1,0,5,2,0,11,1,0,2,3
0,2,0,0,9,1,1,0,50,20,0,0,2,2,6,4,1,24,0,13,2,1
21,0,1,0,0,7,10,15,0,0,0,1,17,6,0,0,4,0,0,1,72,1
1,4,0,2,0,11,26,4,2,3,0,2,0,2,1,3,0,2,0,3,3,0
4,32,4,0,1,0,0,1,0,2,2,1,71,4,0,9,3,0,13,0,1,0
10,2,0,1,1,11,6,21,34,3,1,2,1,1,1,1,32,3,87,0,2,1
0,0,0,0,3,1,11,6,1,5,18,3,0,0,1,0,1,0,1,0,2,1
2,0,0,5,0,1,8,0,12,3,0,0,5,5,0,1,0,3,2,0,0,1
0,7,0,2,1,0,1,0,2,1,2,0,0,61,4,3,0,65,1,2,1,0
1,75,2,2,1,7,1,0,0,0,1,3,0,0,0,1,4,38,0,5,64,4
51,0,7,0,1,1,0,0,15,1,4,0,3,29,0,1,1,3,12,0,2,0
3,25,4,2,0,0,4,6,0,1,0,0,2,0,1,0,2,0,11,0,0,2
0,0,0,0,0,0,9,0,1,0,0,0,5,2,0,1,0,15,0,1,58,0
0,0,5,3,3,2,4,4,0,0,0,0,1,15,1,1,0,27,2,1,4,8
0,0,5,5,0,1,4,2,2,0,3,2,1,3,5,1,1,1,2,4,0,4
7,46,5,1,4,0,0,38,1,50,3,2,9,3,0,5,6,1,1,0,4,0
30,2,4,5,0,0,3,0,6,4,1,0,0,1,0,19,0,3,0,2,1,0
6,0,0,0,0,63,29,1,0,1,10,7,3,3,2,0,0,0,1,0,1,14
0,6,21,0,1,23,78,3,1,0,1,9,4,1,0,21,21,0,2,1,1,4
3,0,0,2,0,5,5,9,2,5,0,1,3,1,3,0,1,0,1,2,0,1
1,0,0,16,2,2,11,21,3,0,0,2,0,39,1,3,0,0,0,1,1,7
0,0,0,35,0,1,3,9,1,1,2,12,0,1,0,0,0,0,1,1,6,9
2,0,1,2,4,1,2,24,6,2,0,1,4,1,9,0,5,7,1,5,0,0
2,0,0,1,0,75,11,1,1,16,0,0,0,2,12,0,1,12,3,0,0,0
4,10,0,0,0,0,21,0,46,1,2,0,5,0,2,40,1,1,10,3,0,4
0,1,0,2,3,0,2,167,2,1,5,1,18,0,0,1,2,1,5,1,0,0
7,2,0,13,12,4,1,30,1,0,10,0,0,1,5,0,0,1,0,35,3,2
0,3,0,3,11,2,0,6,10,0,0,22,0,4,1,7,1,1,4,1,0,2
3,0,0,2,0,2,9,0,1,3,0,1,0,0,0,1,9,3,0,0,1,1
7,0,86,0,0,2,2,1,7,10,3,0,1,26,2,0,3,1,6,0,0,2
2,0,2,0,3,4,1,0,0,0,81,4,1,13,0,13,0,4,4,4,1,1
48,0,5,2,0,2,5,0,2,0,5,0,1,3,0,0,0,1,6,44,0,0
0,0,1,3,1,6,6,1,3,0,18,6,16,1,0,0,1,0,1,8,7,6
0,0,0,11,1,0,3,16,2,1,0,0,5,0,1,4,4,3,2,6,1,5
0,0,0,6,4,0,0,1,0,0,1,0,2,1,9,1,33,19,3,0,0,2
10,1,0,0,2,1,0,3,1,489,0,11,0,0,0,0,0,6,3,1,0,0
5,0,16,4,0,0,1,2,0,0,0,2,12,0,0,2,3,17,3,5,6,0
1,3,4,4,1,3,0,1,13,0,5,5,0,0,0,2,0,0,2,0,0,1
1,1,1,8,0,8,0,0,2,19,0,3,4,0,1,0,1,0,0,2,0,3
2,0,2,0,2,2,383,1,0,0,3,0,2,2,1,0,5,8,2,0,0,2
1,0,1,39,2,4,9,0,10,2,5,0,8,1,73,1,1,2,4,0,1,1
2,1,0,0,1,4,86,2,4,1,5,3,3,0,0,5,2,7,0,3,0,2
0,0,1,3,1,0,0,9,4,2,0,27,3,0,0,0,0,0,1,0,1,0
0,3,0,4,1,27,0,44,0,0,2,1,0,12,0,24,10,0,5,0,3,12
1,35,0,0,23,0,9,4,15,0,1,99,0,1,1,3,1,0,0,0,3,0
1,3,12,9,1,0,5,7,4,10,1,3,8,1,1,1,3,0,0,2,8,0
10,3,0,1,0,215,0,0,0,0,2,0,1,1,5,11,2,0,0,24,0,9
0,0,4,6,8,0,3,5,5,0,1,1,1,3,0,0,16,2,1,4,0,0
1,0,0,0,0,0,0,2,8,0,0,0,2,47,27,2,12,1,0,1,5,7
1,1,0,12,7,1,1,4,1,0,1,0,1,0,2,5,3,0,0,0,0,9
2,1,1,4,1,0,1,0,4,12,0,4,2,1,349,1,2,44,2,14,6,0
2,0,1,0,1,1,0,20,1,21,7,1,1,0,7,1,0,0,0,0,0,0
1,1,5,16,2,1,1,1,0,2,1,1,2,2,1,1,0,2,7,7,0,0
0,5,1,5,2,0,0,3,8,2,6,0,11,2,3,0,0,0,0,1,1,2
4,0,3,0,0,2,0,0,2,0,0,0,9,1,5,0,1,0,0,1,2,23
1,5,0,2,1,0,3,1,1,1,0,1,1,1,8,9,3,0,14,3,0,0
1,0,1,0,3,2,6,4,1,1,0,0,0,0,2,0,0,0,5,1,1,8
3,3,4,0,5,1,1,2,0,0,13,1,1,0,1,1,1,2,1,2,25,2
1,0,51,0,4,6,25,2,0,0,1,0,2,1,23,1,1,16,3,0,1,1
1,1,0,31,3,1,0,3,0,3,1,2,5,0,5,1,10,4,0,1,4,1
0,2,10,3,9,4,1,1,34,0,1,1,3,0,0,232,3,0,2,0,1,3
5,0,0,0,0,0,4,0,1,0,1,0,4,3,0,8,0,1,1,0,0,4
1,0,16,3,0,8,8,1,6,1,4,400,0,0,2,10,18,2,0,3,1,0
3,10,0,0,0,20,10,0,0,7,15,0,0,24,4,19,399,0,1,0,1,0
1,0,1,16,2,2,2,0,79,89,6,0,2,0,0,1,3,1,0,0,0,0
0,8,66,1,0,11,12,5,11,0,0,1,0,8,0,1,57,1,0,0,5,0
1,0,9,0,1,5,0,1,20,0,1,0,1,0,0,2,0,0,147,4,0,1
2,0,11,4,0,1,2,0,140,0,41,1,0,2,59,2,1,21,1,1,1,27
17,3,8,1,6,0,2,1,3,1,297,11,3,1,18,1,0,16,0,2,0,2
1,4,0,0,5,2,1,0,0,5,6,0,1,0,1,0,0,3,14,2,2,18
4,6,1,0,2,0,1,3,0,2,0,3,2,2,2,1,0,7,1,0,12,1
15,0,2,3,0,1,1,3,1,2,4,1,1,4,0,1,1,1,0,0,1,0
1,0,9,5,2,1,4,1,0,5,0,0,3,1,1,15,0,1,3,1,53,0
2,1,5,8,9,0,5,0,10,1,0,9,0,5,0,0,2,0,1,69,1,7
2,0,20,0,30,1,1,1,2,0,15,17,10,8,0,6,2,1,2,0,0,1
0,1,0,1,2,0,7,3,0,0,0,0,1,1,6,80,1,3,4,0,0,3
4,0,14,1,2,25,11,0,0,20,0,0,1,1,1,0,1,131,6,0,1,0
1,0,15,6,3,7,0,0,0,10,1,0,0,0,4,29,0,0,2,3,6,1
4,1,1,0,1,0,0,1,0,16,0,1,24,0,3,15,17,0,1,1,1,3
1,0,1,11,0,1,0,7,13,3,1,0,1,0,2,11,25,3,1,2,1,0
7,1,5,0,0,1,0,4,2,1,1,0,7,0,2,0,2,0,3,3,2,12
0,2,5,0,1,3,5,5,0,18,0,13,3,1,22,2,4,0,0,1,1,1
27,4,10,17,1,0,0,3,1,1,0,2,1,36,2,0,26,4,1,0,2,0
0,0,4,2,0,2,7,1,1,4,6,0,4,0,17,3,0,1,0,2,0,20
28,0,3,1,2,10,3,0,0,0,4,0,1,0,6,2,1,1,2,0,0,3
0,2,1,0,0,16,4,1,0,65,0,0,6,0,1,0,1,2,2,1,3,2
1,0,4,0,2,1,0,3,2,1645,2,1,1,2,5,3,86,0,1,0,0,11
11,1,0,3,1,1,1,0,1,21,3,1,25,1,0,1,4,4,0,0,1,0
3,0,0,0,0,1,0,0,1,0,4,4,0,0,1,0,9,0,0,2,0,2
2,3,0,0,3,0,0,0,2,0,0,0,1,3,4,0,0,1,0,0,1,0
10,0,0,1,3,0,0,0,0,0,19,2,0,0,0,3,0,0,4,1,3,0
0,2,5,0,0,6,0,3,4,0,2,0,0,1,9,1,0,4,2,6,1,0
0,77,1,0,4,0,0,1,1,0,0,46,0,0,6,1,0,3,1,3,0,0
0,6,412,0,0,428,0,2,4,2,0,0,3,10,2,0,1,75,1,3,2,2
0,11,0,0,1,2,0,1,8,1,0,5,0,0,1,1,1,1,0,0,5,1
5,3,3,3,2,2,2,9,0,1,0,6,0,2,0,1,0,0,6,2,2,0
1,7,1,2,1,7,2,27,1,0,8,19,0,6,0,2,4,2,2,6,1,2
0,5,0,4,1,0,0,2,5,0,1,0,35,0,2,0,0,0,0,2,0,0
2,4,3,2,0,3,5,1,2,13,0,7,1,2,0,3,4,2,3,0,51,1
3,0,0,0,7,3,3,1,1,1,2,7,19,0,1,6,0,4,0,2,16,4
1,0,0,4,0,0,6,1,1,4,4,2,31,7,0,1,7,5,0,1,6,2
0,0,2,26,1,2,0,7,9,1,9,3,0,0,5,1,1,7,9,12,0,3
0,166,9,26,1,1,16,67,1,1,1,0,0,0,0,2,2,0,0,0,0,1
8,1,5,0,0,0,0,0,6,0,0,3,2,1,2,6,0,0,0,0,3,7
3,1,3,0,0,3,1,1,1,21,4,1,4,4,3,0,3,0,1,34,5,7
2,1,14,3,2,0,2,2,0,0,4,0,4,0,15,11,0,25,2,3,0,1
0,585,9,2,1,0,2,0,106,1,2,0,2,1,25,2,3,0,28,0,1,0
1,0,0,1,5,0,8,1,8,0,3,0,0,2,0,2,0,1,1,1,0,8
2,4,0,0,0,10,3,4,10,0,1,0,1,1,0,33,1,7,0,0,2,3
1,7,5,0,0,1,0,0,9,0,0,0,0,0,5,1,0,0,1,6,2,2
8,0,2,1,1,5,0,16,24,0,1,1,1,1,1,1,3,2,5,0,5,0
1,0,0,3,2,0,3,0,11,0,11,1,5,5,0,4,0,0,1,0,0,3
4,0,0,5,21,1,3,9,2,5,3,0,2,2,0,5,2,1,1,0,11,2
