1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
145,1,7,3,0,1,6,0,0,1,1,0,9,26,0,0,4,8,3,0,1,0
3,1,2,1,0,2,0,18,5,0,16,0,1,0,23,5,18,0,0,0,1,0
8,1,3,0,0,1,2,1,5,2,7,0,1,4,3,76,1,0,26,7,0,1
3,0,1,2,0,5,3,0,1,3,0,1,10,4,1,0,2,1,34,2,0,2
1,2,1,3,0,1,2,0,0,0,0,116,7,12,40,0,3,9,2,1,0,56
0,0,3,72,0,0,2,0,6,0,45,17,2,8,17,0,1,0,0,0,0,1
3,0,3,0,0,0,1485,1,2,1,1,0,0,3,0,2,0,6,2,0,1,0
3,9,0,1,8,1,1,1,0,0,1,5,0,1,0,2,1,1,1,4,1,0
0,4,2,0,2,0,1,9,43,11,5,4,3,3,2,0,0,2,0,5,0,29
1,0,0,0,4,0,34,4,0,111,6,26,1,3,9,3,2,1,5,1,0,2
0,10,8,24,0,0,8,0,9,21,1,2,0,11,12,1,1,1,2,4,2,1
0,0,1,7,6,2,1,0,2,0,0,1,9,3,2,0,31,26,1,0,249,0
2,0,0,0,4,2,1,1,10,0,8,2,1,22,0,1,0,1,1,0,0,13
4,1,0,11,1,0,0,0,1,1,1,2,7,58,4,5,9,2,16,0,0,1
3,0,1,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,2,22,0,1
0,4,0,1,0,4,0,3,0,6,3,1,0,3,2,28,0,0,0,0,2,0
0,0,19,26,2,2,1,0,17,38,0,1,1,1,15,2,1,1,0,3,1,2
0,4,1,9,0,0,1,3,0,2,31,29,81,2,0,0,9,0,0,0,1,1
3,0,1,1,0,0,0,0,6,0,1,1,1,0,3,2,22,1,1,0,0,1
2,0,0,6,2,0,0,1,0,7,10,3,3,2,1,183,1,1,4,1,2,1
3,0,0,0,0,2,14,0,6,2,0,1,4,1,5,7,2,5,0,1,0,6
4,5,1,0,0,3,17,1,0,2,1,4,2,5,7,0,3,0,0,8,21,1
44,0,1,0,11,4,0,5,2,1,2,0,0,43,0,1,3,1,0,3,7,1
0,2,0,0,5,1,0,0,0,1,1,2,0,0,3,99,10,4,1,2,0,1
0,1,1,0,14,0,2,0,2,2,17,1,0,7,1,0,0,6,13,1,8,0
2,1,0,4,3,0,0,45,3,14,0,0,2,92,1,1,9,22,3,4,4,5
1,0,17,4,0,16,1,14,1,0,1,0,2,162,3,1,5,43,5,0,1,0
2,7,0,0,1,0,0,2,35,1,0,1,7,0,2,0,0,0,0,1,0,0
3,4,0,0,8,0,0,2,0,2,0,0,9,6,0,5,6,2,4,0,0,2
1,0,2,0,2,2,0,0,0,16,1,2,0,2,1,8,2,4,1,0,0,0
1,4,2,3,3,0,0,1,3,0,6,1,0,1,1,0,2,2,3,5,24,0
1,1,2,2,1,1,6,7,1,2,2,3,0,1,0,5,0,1,3,1,1,33
1,0,0,2,0,2,0,2,0,5,47,2,16,1,5,0,11,1,0,0,2,0
0,0,5,0,0,0,0,8,1,23,6,3,1,0,11,0,5,1,1,0,2,1
195,2,0,0,2,1,0,1,0,2,3,0,0,7,1,2,7,3,1,0,8,0
4,0,6,0,0,1,0,0,16,1,0,9,1,0,0,1,1,0,0,7,0,2
0,1,2,0,0,0,6,139,2,0,3,0,0,44,0,1,1,0,1,0,2,11
8,2,1,2,9,7,1,2,0,11,1,0,3,5,0,31,1,3,3,3,0,0
0,4,46,0,0,5,5,3,8,0,1,0,0,5,1,9,5,4,0,4,1,14
0,0,0,0,0,1,5,0,0,1,2,9,0,0,0,0,2,44,0,0,2,4
4,1,1,0,2,1,4,3,0,3,40,0,0,12,25,1,0,0,1,5,10,21
6,0,0,1,0,8,2,4,21,0,0,2,0,25,0,0,2,0,0,5,4,3
0,0,5,1,0,0,1,1,0,2,5,0,4,1,1,1,1,6,0,1,1,3
1,3,18,2,22,5,8,3,3,0,30,0,0,1,39,0,0,4,1,16,2,0
1,2,2,0,0,0,1,0,3,1,0,1,0,0,2,1,8,15,1,0,1,0
3,0,0,9,5,6,0,0,3,9,9,1,29,1,1,0,0,17,1,10,2,5
0,3,2,0,1,0,0,0,0,0,1,4,4,1,1,2,4,0,1,0,24,0
0,0,0,2,0,3,0,0,4,7,5,5,0,0,1,0,2,10,0,2,1,0
0,2,1,0,0,1,3,4,0,2,4,8,2,4,0,1,0,3,0,13,1,14
0,2,1,1,4,1,7,1,0,12,1,9,0,4,1,5,0,0,1,0,0,7
0,0,0,1,0,0,4,4,2,0,0,1,0,0,0,97,1,0,4,0,2,4
3,2,0,0,2,11,10,44,3,1,2,5,0,2,1,0,74,1,1,0,0,0
0,0,3,1,4,1,0,4,6,0,0,5,1,0,21,0,1,5,1,2,7,0
12,2,3,1,1,0,0,0,2,9,2,2,5,14,1,3,1,0,0,7,1,0
5,0,58,0,0,3,0,6,23,0,0,0,12,2,2,1,0,8,0,1,3,4
3,0,1,0,8,8,0,0,1,0,7,0,4,1,29,7,9,0,6,1,2,0
3,0,4,4,9,0,0,1,2,11,2,1,3,2,0,0,3,4,3,2,3,9
0,1,0,3,0,0,1,0,3,0,1,1,2,1,0,4,2,11,4,1,0,9
1,1,5,0,1,22,35,7,0,0,2,2,1,0,0,2,1,2,0,0,0,0
5,0,0,0,4,3,2,0,2,136,0,0,5,4,1,2,2,20,0,4,3,2
0,9,3,0,1,1,0,0,878,3,0,5,4,0,4,0,0,2,0,1,0,0
0,0,10,4,0,5,8,26,0,0,1,3,0,0,1,3,0,11,2,5,0,0
3,24,2,2,0,19,3,1,2,0,1,0,5,1,3,4,1,4,1,2,0,0
2,0,0,2,2,1,0,2,0,1,2,0,0,0,0,1,0,0,0,1,1,62
2,0,10,0,0,2,2,0,0,0,5,4,12,0,0,1,1,1,2,1,2,0
4,0,1,0,5,447,0,0,0,0,1,3,0,37,1,1,0,5,0,0,0,0
0,1,0,1,0,0,3,1,0,1,1,24,0,12,18,0,0,0,19,1,6,1
4,0,0,0,0,14,1,1,0,0,1,4,13,2,0,0,2,31,0,0,0,0
6,4,50,0,0,0,96,6,2,1,2,0,2,0,13,0,4,0,0,0,0,2
8,1,0,0,1,1,0,34,1,0,1,140,0,0,11,4,1,1,17,1,0,8
0,1,5,6,8,0,1,13,0,1,8,8,0,1,2,0,0,6,0,0,3,65
2,0,2,2,1,1,8,1,1,1,0,0,7,13,0,0,1,1,0,0,0,0
18,4,17,0,2,0,5,1,0,2,0,1,0,1,1,1,0,30,0,2,2,0
0,0,0,0,2,0,10,3,10,4,1,1,0,0,0,0,13,2,0,1,7,0
1,6,6,1,2,6,1,1,0,0,0,1,1,1,6,0,1,6,2,0,18,0
5,1,0,0,1,0,8,0,0,0,0,0,0,0,1,8,0,0,2,0,2,1
3,1,3,0,1,10,1,5,1,0,3,0,1,0,1,3,4,0,7,8,3,28
2,3,1,0,0,0,5,8,0,1,0,2,19,4,1,6,0,5,0,2,1,3
5,0,0,1,1,3,2,0,6,0,5,2,1,2,4,1,0,10,63,7,0,0
1,5,1,0,6,0,5,11,4,7,1,0,10,1,4,0,0,2,1,3,85,1
5,1,9,1,7,16,2,0,0,0,1,9,1,11,0,0,0,0,0,0,0,1
