1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
1,1,3,3,87,4,18,1,2,1,0,1,9,48,4,0,3,1,1,1,1,3,1,0,2,1,2,3,1,0,0,2
4,0,1,2,1,5,115,3,0,0,6,0,2,21,13,0,0,1,3,0,0,2,1,3,0,1,1,1,0,3,2,0
0,4,2,1,5,1,1,6,0,0,36,0,2,1,2,2,2,0,5,0,1,1,2,4,3,0,0,0,1,0,2,0
0,2,3,7,3,0,1,2,0,0,26,3,1,1,0,1,1,7,22,1,1,1,1,5,1,1,0,0,2,2,1,1
5,0,0,0,2,0,1,0,0,1,13,0,2,0,5,1,2,0,1,1,0,1,0,1,3,11,1,0,0,2,2,0
0,0,3,0,1,37,6,0,1,1,0,0,1,0,0,1,2,1,3,1,1,8,1,0,2,1,2,1,1,27,2,0
1,0,2,21,0,0,0,1,0,1,1,3,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,39
2,46,33,2,0,1,0,108,80,1,2,0,3,1,3,3,2,1,3,2,0,1,3,0,0,1,0,1,1,0,0,6
0,1,1,0,4,0,0,1,5,1,4,4,0,0,0,0,0,1,2,1,2,0,1,1,1,1,0,1,0,2,3,0
1,6,6,7,0,0,1,1,0,0,32,6,3,5,1,1,2,0,1,0,0,0,2,2,1,0,2,0,2,0,3,1
1,3,3,4,4,1,0,6,7,71,4,1,2,0,0,0,7,1,1,14,1,4,2,2,0,1,1,1,1,3,0,0
0,0,1,1,0,1,4,0,0,2,1,0,4,4,0,0,2,1,2,2,0,0,1,1,1,0,0,2,1,0,1,0
10,0,1,7,0,1,0,8,3,0,1,0,1,0,1,0,0,1,0,1,1,17,1,1,0,1,1,2,3,1,1,0
0,1,0,0,1,0,1,0,0,2,86,0,6,2,0,0,0,0,0,1,1,1,0,2,0,0,2,1,0,3,2,0
0,0,1,5,9,1,0,1,0,0,4,6,1,0,8,1,2,1,2,1,0,1,1,0,1,0,0,3,2,0,2,3
1,1,0,1,5,3,1,0,46,0,0,1,0,0,1,0,0,0,1,1,10,1,0,0,10,1,0,0,0,1,1,0
1,14,2,0,3,2,0,1,4,26,4,1,0,0,1,0,0,0,2,2,3,0,3,2,2,1,0,2,2,3,2,2
0,0,2,0,1,0,15,8,3,2,8,3,9,1,1,7,0,0,0,1,0,2,1,1,2,1,1,1,1,3,1,0
0,2,0,0,2,0,0,2,0,0,11,0,0,12,0,1,1,3,1,1,1,0,0,0,1,4,3,1,1,1,1,0
0,0,1,4,2,2,2,1,0,0,0,0,0,0,1,1,101,0,1,1,2,2,10,2,2,0,0,0,1,2,3,11
16,6,0,3,0,17,0,3,2,3,1,1,1,3,1,2,1,0,1,0,1,0,0,1,0,1,1,2,3,0,0,1
4,3,6,3,1,4,0,0,0,0,2,0,0,3,2,2,0,0,0,1,0,1,2,1,0,0,1,1,2,2,1,1
0,0,0,2,0,1,0,0,0,0,0,9,0,0,8,0,2,0,5,1,1,13,2,0,0,3,2,3,1,3,1,2
5,0,3,0,0,0,2,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,3,1,1,1,2,2,0,1,2,11
0,0,2,0,0,0,2,0,0,1,0,0,7,2,0,1,1,0,1,1,1,2,1,1,0,3,0,2,4,4,0,2
0,1,1,0,1,3,0,0,0,1,0,34,13,19,1,1,2,0,2,2,2,4,0,1,1,0,1,0,1,1,0,1
0,0,0,32,1,2,0,2,0,0,68,0,0,2,0,2,15,2,0,4,0,1,0,0,2,0,2,1,1,1,1,1
5,2,1,1,0,0,0,14,0,3,0,2,10,0,1,1,0,3,0,1,14,1,1,1,2,0,1,1,0,1,1,7
1,0,5,1,0,0,2,3,2,1,31,6,10,2,0,0,0,10,1,1,2,0,0,1,0,0,0,1,1,0,2,1
5,6,2,0,1,15,0,0,4,0,9,4,2,1,1,1,4,2,0,0,7,0,0,1,2,29,1,2,3,2,0,0
0,5,1,1,1,1,5,1,0,10,1,11,0,4,35,0,1,1,1,2,0,0,2,2,1,2,0,0,1,0,0,0
2,0,0,9,9,33,18,11,2,1,3,0,0,1,0,1,0,3,2,0,1,1,0,1,0,1,2,0,1,0,0,0
80,0,5,0,2,2,0,0,22,0,0,1,27,7,1,1,1,4,0,1,1,0,1,1,2,0,2,0,0,6,1,1
1,0,3,136,2,2,0,1,7,0,8,0,2,11,0,9,1,0,1,1,2,0,0,2,0,2,2,0,1,0,1,4
2,6,0,6,0,1,1,1,10,5,3,1,0,0,2,1,34,5,0,1,2,0,2,1,1,1,1,1,1,2,1,1
6,0,0,1,6,0,4,0,12,0,1,0,0,0,0,1,4,2,0,6,4,0,2,3,1,0,3,2,3,0,0,2
0,0,0,4,7,5,0,0,2,4,1,0,0,0,2,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
0,1,1,2,1,1,7,1,39,8,0,1,1,0,0,0,1,0,0,1,2,2,1,1,0,1,1,3,2,0,1,1
1,2,1,4,1,5,0,0,1,1,0,10,3,13,0,1,0,2,0,1,2,0,1,1,0,1,0,2,0,0,0,0
0,0,0,25,0,0,0,6,0,2,3,1,0,1,10,6,0,1,3,0,3,3,9,2,7,3,2,1,1,0,2,6
0,9,0,2,1,0,1,0,0,4,0,0,1,0,1,0,1,0,0,0,2,0,2,2,1,0,1,1,1,2,0,2
1,0,0,44,3,8,5,0,3,4,1,0,0,0,2,0,1,1,9,0,2,0,0,1,1,0,0,0,2,0,1,1
0,1,0,0,2,1,1,0,0,0,8,1,2,0,6,1,1,0,0,1,2,9,0,0,0,0,2,2,1,1,1,4
0,0,1,2,1,33,0,5,29,0,0,1,0,1,1,3,2,2,0,0,1,2,1,3,0,0,0,0,0,2,1,2
0,0,0,2,0,0,17,1,1,8,2,12,2,0,1,2,0,1,0,0,0,2,2,4,1,0,0,1,22,1,1,1
0,0,0,0,1,1,1,15,0,1,0,1,7,1,1,2,1,0,2,0,5,0,1,3,2,1,0,0,2,0,1,18
0,2,0,2,0,3,0,2,3,0,18,5,0,0,0,1,0,1,0,0,1,1,4,0,1,0,0,1,2,0,0,0
14,3,0,1,3,0,0,1,4,2,1,18,1,1,2,0,0,2,2,1,3,1,1,0,2,0,0,1,3,1,0,0
0,0,0,1,68,15,2,1,40,5,1,0,0,1,1,3,0,0,0,0,0,0,2,3,0,2,2,1,1,1,2,1
3,0,3,1,4,4,0,0,2,2,0,0,1,0,10,0,2,0,16,1,1,2,0,2,0,0,0,1,1,2,1,1
0,1,6,0,12,1,0,1,1,1,1,0,1,0,0,1,0,1,3,0,0,0,0,0,2,0,0,3,1,2,0,0
9,0,1,0,0,0,2,4,6,3,7,6,1,3,0,1,1,2,2,1,1,0,0,2,1,0,2,3,2,1,0,0
0,0,5,0,1371,2,2,3,3,0,0,0,0,0,2,1,1,0,0,5,0,1,0,3,1,4,0,0,0,1,1,1
