mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.1638886838585477e-8,1.0258508974468025e-6,0.0,0.0,0.0,0.0,0.0,0.0,417.4044046329193
1.148096311397982e-8,1.4014376688287534e-6,0.0,0.0,0.0,0.0,0.0,0.0,435.84375887821454
8.695098127894439e-9,9.445650975532275e-7,0.0,0.0,0.0,0.0,0.0,0.0,350.2186293652748
1.1730487479411762e-8,1.1390740201536825e-6,0.0,0.0,0.0,0.0,0.0,0.0,448.3679968676537
7.998872895051007e-9,1.4055770616280648e-6,0.0,0.0,0.0,0.0,0.0,0.0,362.5580803080594
7.482303298076758e-9,1.4296280828093189e-6,0.0,0.0,0.0,0.0,0.0,0.0,341.4605631763175
1.0534701387744711e-8,1.326280445257741e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.7488224899918
8.9786861219047e-9,1.4483873640002087e-6,0.0,0.0,0.0,0.0,0.0,0.0,391.1072136456439
8.541100294987425e-9,1.1045014395827479e-6,0.0,0.0,0.0,0.0,0.0,0.0,386.05343497137267
1.3299135670037425e-8,9.799685052187606e-7,0.0,0.0,0.0,0.0,0.0,0.0,409.6999077393863
8.775773012651207e-9,1.1382197802495854e-6,0.0,0.0,0.0,0.0,0.0,0.0,371.7464488473246
1.0605259663292775e-8,1.222682822032258e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.4314690033396
1.0450505913749631e-8,1.0507809396306848e-6,0.0,0.0,0.0,0.0,0.0,0.0,370.9261386731702
7.509299410715955e-9,1.3663418022709777e-6,0.0,0.0,0.0,0.0,0.0,0.0,336.98419341646337
1.203690395825258e-8,1.4653813568476844e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.19080691839054
1.0722630477970988e-8,1.3497735004719886e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.6334924971106
9.369172535659379e-9,1.0131763702842659e-6,0.0,0.0,0.0,0.0,0.0,0.0,346.27451256569
1.1908683568558558e-8,1.4806483992916593e-6,0.0,0.0,0.0,0.0,0.0,0.0,402.12278670112596
9.914543182586677e-9,1.5720807078623998e-6,0.0,0.0,0.0,0.0,0.0,0.0,377.5149888110741
1.0319917646608209e-8,1.500064245195292e-6,0.0,0.0,0.0,0.0,0.0,0.0,403.2132530753511
8.699631397999386e-9,1.4577172057558374e-6,0.0,0.0,0.0,0.0,0.0,0.0,379.21862431170007
1.1561141190929642e-8,1.6240938193988464e-6,0.0,0.0,0.0,0.0,0.0,0.0,394.86510937511605
1.029619061868132e-8,1.3701109531891832e-6,0.0,0.0,0.0,0.0,0.0,0.0,400.22995876300234
8.761407606243621e-9,1.3028551429745275e-6,0.0,0.0,0.0,0.0,0.0,0.0,352.1677773374731
1.0913402521840022e-8,1.6107395495813086e-6,0.0,0.0,0.0,0.0,0.0,0.0,400.5968111937801
8.722942454431998e-9,1.4717153063783517e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.26966482239163
1.0240597248754108e-8,2.0372674746793347e-6,0.0,0.0,0.0,0.0,0.0,0.0,429.0919215421499
1.0571042200877031e-8,1.1117780249912911e-6,0.0,0.0,0.0,0.0,0.0,0.0,385.00109277955755
1.01396345944274e-8,1.28115248278419e-6,0.0,0.0,0.0,0.0,0.0,0.0,379.2282104386203
9.152085769063666e-9,1.6712943835505477e-6,0.0,0.0,0.0,0.0,0.0,0.0,378.8966953700625
9.542845829892334e-9,1.2923783646875635e-6,0.0,0.0,0.0,0.0,0.0,0.0,384.8325928393433
1.3713066206328815e-8,9.287697068568065e-7,0.0,0.0,0.0,0.0,0.0,0.0,427.8328501242864
9.914120056700053e-9,1.148038556666576e-6,0.0,0.0,0.0,0.0,0.0,0.0,364.3571339357914
1.04717927412081e-8,1.094548682449031e-6,0.0,0.0,0.0,0.0,0.0,0.0,373.2046264895696
1.0535851237110578e-8,8.648058437149112e-7,0.0,0.0,0.0,0.0,0.0,0.0,360.1336253772741
1.1908628218600579e-8,1.1436907704486206e-6,0.0,0.0,0.0,0.0,0.0,0.0,373.83881710685296
1.0062937148075534e-8,1.2207112853293836e-6,0.0,0.0,0.0,0.0,0.0,0.0,383.60686546413524
1.0767104029233661e-8,1.0469058788863855e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.9232857964139
1.191954420497524e-8,1.0928728411587473e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.71174380406626
9.877427539297105e-9,1.2675777529016644e-6,0.0,0.0,0.0,0.0,0.0,0.0,383.4650818392748
8.433951465058136e-9,1.676022341847987e-6,0.0,0.0,0.0,0.0,0.0,0.0,374.83006734458536
7.972600263723918e-9,1.7547630117074645e-6,0.0,0.0,0.0,0.0,0.0,0.0,377.6796160213563
1.1461903617083896e-8,1.2047756482620193e-6,0.0,0.0,0.0,0.0,0.0,0.0,381.1052189832037
9.188792554044787e-9,1.6542583628265868e-6,0.0,0.0,0.0,0.0,0.0,0.0,391.6438731150009
1.1823253676605353e-8,1.283472172358207e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.25430877098114
1.2305323877185365e-8,1.2256070531045955e-6,0.0,0.0,0.0,0.0,0.0,0.0,403.09711780394406
9.571739439415667e-9,1.145871144216937e-6,0.0,0.0,0.0,0.0,0.0,0.0,368.27965602939275
9.745893358662038e-9,1.197546543309558e-6,0.0,0.0,0.0,0.0,0.0,0.0,376.84771424648466
1.1614979384177483e-8,1.1041497006417257e-6,0.0,0.0,0.0,0.0,0.0,0.0,384.78147045021865
1.0305038506203068e-8,1.5711810155673418e-6,0.0,0.0,0.0,0.0,0.0,0.0,371.3480642883505
1.147920414600244e-8,1.1109706689113273e-6,0.0,0.0,0.0,0.0,0.0,0.0,366.0206457946847
9.350359641280486e-9,1.1166829998340057e-6,0.0,0.0,0.0,0.0,0.0,0.0,355.29774019604895
8.38023866957906e-9,1.094728093892509e-6,0.0,0.0,0.0,0.0,0.0,0.0,336.2465857430187
1.2268253737378405e-8,9.1713826052483e-7,0.0,0.0,0.0,0.0,0.0,0.0,400.0835196269248
1.001744958647105e-8,8.789955670757212e-7,0.0,0.0,0.0,0.0,0.0,0.0,372.4168997069594
1.0341723622090805e-8,1.2659509890964085e-6,0.0,0.0,0.0,0.0,0.0,0.0,367.80287985565394
1.2253788996094757e-8,9.461260414559717e-7,0.0,0.0,0.0,0.0,0.0,0.0,426.0914828855267
8.200500753600213e-9,1.4295743509654663e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.5222144488945
1.2017971880371715e-8,1.2988930125760955e-6,0.0,0.0,0.0,0.0,0.0,0.0,477.1871799658973
1.1484294521507392e-8,1.2118137598855592e-6,0.0,0.0,0.0,0.0,0.0,0.0,422.71361642338604
1.0299580497461895e-8,9.763113850236375e-7,0.0,0.0,0.0,0.0,0.0,0.0,413.8560776687092
8.930526990839951e-9,1.2612264162692957e-6,0.0,0.0,0.0,0.0,0.0,0.0,367.81770657086554
7.006585607867706e-9,1.8923295275074987e-6,0.0,0.0,0.0,0.0,0.0,0.0,352.2334633556351
1.1563279379028423e-8,1.2569491397535553e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.58026938486455
9.618293418216745e-9,1.1648911904916335e-6,0.0,0.0,0.0,0.0,0.0,0.0,375.6485265727289
7.538158308826198e-9,1.181321650258099e-6,0.0,0.0,0.0,0.0,0.0,0.0,347.9643260525171
1.1979270492581723e-8,1.5318384240714855e-6,0.0,0.0,0.0,0.0,0.0,0.0,420.5480801664317
9.228472086495821e-9,1.4787122278929317e-6,0.0,0.0,0.0,0.0,0.0,0.0,391.1823639654467
8.08213559940976e-9,1.800482821315108e-6,0.0,0.0,0.0,0.0,0.0,0.0,371.93005230907033
1.0303939084423605e-8,1.301300902583023e-6,0.0,0.0,0.0,0.0,0.0,0.0,386.95993761248184
7.417507888985179e-9,1.5302787449270684e-6,0.0,0.0,0.0,0.0,0.0,0.0,334.7520359317826
9.952259850920405e-9,1.2825695731063144e-6,0.0,0.0,0.0,0.0,0.0,0.0,370.08231115105707
8.159970424372526e-9,1.6553027951586647e-6,0.0,0.0,0.0,0.0,0.0,0.0,390.94575008300234
1.1330824231376455e-8,1.4601181410545939e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.4205060586681
1.292985854007966e-8,9.956471420171094e-7,0.0,0.0,0.0,0.0,0.0,0.0,438.08036053954413
9.278929274519139e-9,1.2723376566033002e-6,0.0,0.0,0.0,0.0,0.0,0.0,356.6598690050623
8.803931676394755e-9,1.5287397890476084e-6,0.0,0.0,0.0,0.0,0.0,0.0,339.1117433602676
1.4178558182341061e-8,1.1228302693392975e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.952988399776
